team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
LOUISVILLE SLUGGERS,23,214,10.772459680133203,7616,6841,1787,253,975,924,176,0.2612191200116942,1166,74,36,1204,498.30043444444453,1439.61797,3.846229768439109,1.234663782161235,8,9,8,8,10,6,7,8,6,7,43,34,77,1,50
HOOSIERS,23,239,10.725682887563694,7923,7015,1750,278,1007,987,214,0.2494654312188168,1134,73,47,1048,482.11163777777773,1448.8423400000001,3.826282839506172,1.2776387477954145,10,10,10,10,2,5,8,3,7,2,42,25,67,2,50
NATIONAL PASTIME,23,269,10.550305207670437,7562,6794,1742,240,914,893,131,0.25640270827200473,1208,76,84,1198,503.2794122222222,1458.75668,3.74959826986755,1.2075800331125828,4,4,4,3,5,8,10,7,9,8,20,42,62,3,50
MELONHEADS,23,214,9.832590158533755,7318,6501,1631,243,916,896,183,0.25088447931087526,1299,77,19,1267,562.1322677777779,1612.6594099999998,3.8946808391070062,1.2414622093918397,5,5,5,9,3,9,3,10,5,6,27,33,60,4,50
BIG RED MACHINE,23,209,9.832787925223435,7552,6696,1696,260,956,928,136,0.2532855436081243,1261,75,27,1191,554.098338888889,1597.8299100000002,3.9547066217287874,1.2671133306899287,9,8,9,4,4,7,4,6,4,3,34,24,58,5,50
WESTSIDE MARAUDERS,19,270,10.655676727025675,6833,6081,1567,244,884,861,159,0.2576878802828482,1065,68,32,1123,448.42224,1274.6071760000002,3.789483718309859,1.1968142497652585,6,2,2,7,8,3,6,5,8,9,25,31,56,6,50
FREE BIRDS,23,250,9.329986325237613,7435,6617,1701,224,901,884,141,0.25706513525766966,1269,78,27,1239,567.542798888889,1604.7482499999999,4.0251262332545314,1.2645770291568164,3,3,3,5,7,10,4,9,3,4,21,30,51,7,50
ERIE LAKERS,23,193,8.42711093421937,7366,6541,1696,250,932,916,122,0.25928757070784286,1040,58,65,911,497.11659111111123,1387.05622,4.301970500000001,1.333707903846154,7,6,7,1,9,2,9,2,1,1,30,15,45,8,50
BLUE SOCKS,16,270,8.672700104739814,6996,6315,1623,219,857,859,147,0.2570071258907363,540,37,29,583,220.18333444444448,628.77051,3.6697222407407413,1.1643898333333331,2,1,1,6,6,1,5,1,10,10,16,27,43,9,50
FREE AT LAST,23,246,8.481965019933272,7631,6719,1659,240,933,900,130,0.24691174281887185,1142,69,27,1105,512.8698366666667,1421.21674,4.041881374781086,1.244498021015762,4,7,6,2,1,4,4,4,2,5,20,19,39,10,50
