team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
HOOSIERS,23,223,10.22101701611912,7979,7090,1773,267,1006,979,198,0.25007052186177714,1250,76,16,1112,546.9111033333334,1612.0542699999999,3.9377599440000006,1.2896434159999999,10,10,10,10,2,9,2,4,5,2,42,22,64,4,32
MELONHEADS,21,270,10.682886641461165,7318,6516,1659,259,932,928,157,0.2546040515653775,1165,73,22,1159,486.5074,1392.2248800000002,3.7584262660944208,1.195042815450644,7,5,6,6,4,6,3,6,10,10,28,35,63,5,32
BIG RED MACHINE,23,209,9.787649539316877,7615,6737,1699,264,962,934,130,0.25218940181089505,1250,75,27,1164,539.0991677777778,1584.99193,3.881514008,1.2679935439999999,9,8,7,4,3,8,4,7,6,5,31,30,61,6,32
NATIONAL PASTIME,23,253,10.432805374634562,7696,6934,1786,254,947,940,152,0.25757138736659935,1120,70,79,1089,495.2290077777778,1394.0911800000001,3.9795188125,1.244724267857143,6,6,8,5,8,4,10,2,4,6,33,26,59,7,32
FREE BIRDS,23,248,9.256701901509016,7603,6751,1723,233,920,910,129,0.2552214486742705,1343,81,0,1298,605.9942711111112,1708.73944,4.061018942665674,1.2723301861504095,2,4,3,3,6,10,1,10,3,4,18,28,46,8,32
ERIE LAKERS,23,196,8.078204883917342,7177,6385,1662,236,901,881,128,0.2602975724353955,962,58,54,919,437.3052122222222,1236.52844,4.091213004158004,1.2853725987525988,3,2,2,2,9,1,7,1,2,3,18,14,32,9,32
FREE AT LAST,22,214,7.958827540289724,6948,6087,1495,219,865,812,165,0.24560538853293906,1196,68,32,1103,553.0801344444445,1547.80333,4.161974255852844,1.2941499414715718,1,1,1,9,1,2,5,3,1,1,13,12,25,10,32
WESTSIDE MARAUDERS,23,263,10.976810597779345,7274,6478,1661,267,931,926,135,0.2564062982401976,1355,84,32,1362,584.6162366666666,1650.378796,3.8830598745387452,1.2179917313653137,10,5,7,5,6,10,4,10,7,9,33,40,73,1,33
NATIONAL PASTIME,23,256,10.449000189513052,7552,6777,1744,243,929,901,143,0.2573410063449904,1302,80,52,1233,557.2897311111111,1606.03413,3.852233164362519,1.2335131566820277,6,4,5,7,7,9,7,8,9,8,29,41,70,2,33
BLUE SOCKS,23,234,9.99902529589342,7988,7247,1867,234,948,951,178,0.25762384434938596,989,60,95,1031,439.6717033333334,1232.26466,4.00105695652174,1.2459703336703742,4,9,10,9,8,2,10,2,3,7,40,24,64,3,33
LOUISVILLE SLUGGERS,23,210,10.590242147753948,7309,6573,1697,259,940,917,173,0.2581773923626959,1101,69,66,1116,479.69869111111115,1385.13036,3.9212427066303364,1.2580657220708449,9,6,6,8,9,3,9,4,6,4,38,26,64,3,33
BIG RED MACHINE,23,211,9.75880965154699,7531,6667,1675,267,947,932,118,0.25123743812809357,1207,71,46,1152,518.1233211111112,1514.93495,3.8633884755592383,1.255124233637117,10,8,8,3,3,4,5,6,8,5,32,28,60,4,33
HOOSIERS,23,234,10.20864725199958,7971,7065,1783,250,1002,944,225,0.25237084217975936,1195,75,14,1137,534.4061422222222,1539.19798,4.024816133891213,1.2880317824267782,8,10,9,10,4,6,3,5,2,2,41,18,59,5,33
MELONHEADS,19,270,10.343637003319547,6497,5796,1478,225,840,815,173,0.2550034506556246,1196,79,0,1234,490.43818000000005,1411.59324,3.690588311036789,1.180261906354515,2,1,2,8,5,8,1,9,10,10,18,38,56,6,33
ERIE LAKERS,23,209,8.274364555431745,7450,6595,1725,248,942,926,114,0.26156178923426837,910,53,47,862,398.55858888888895,1153.51872,3.9417882417582426,1.267602989010989,7,7,7,2,10,1,6,1,5,3,33,16,49,7,33
FREE BIRDS,23,242,9.041222109954404,7271,6439,1616,230,872,870,119,0.25097064761608945,1206,76,59,1206,529.7302655555557,1511.72388,3.9532109369817587,1.2535023880597016,3,2,4,4,2,7,8,7,4,6,15,32,47,8,33
FREE AT LAST,22,221,8.1567765292846115,7249,6360,1576,236,906,866,142,0.24779874213836478,1239,72,2,1068,566.8910533333333,1605.95335,4.117852687651331,1.2961689669087975,5,3,3,6,1,5,2,3,1,1,18,12,30,9,33
