team,n_sims,wins,top_3,avg_rank,avg_pts,avg_sgpar,avg_hit_pts,avg_pit_pts,min_pts,max_pts
WESTSIDE MARAUDERS,50,42,49,1.26,74.68,11.119716350258505,35.14,39.54,62,80
LOUISVILLE SLUGGERS,50,6,40,2.72,67.92,10.54452209506788,37.32,30.6,59,75
NATIONAL PASTIME,50,3,35,2.92,67.32,10.518366159996557,30.98,36.34,59,75
HOOSIERS,50,3,20,3.68,64.86,10.324996837874854,39.94,24.92,57,77
MELONHEADS,50,0,15,4,63.38,10.024830758649804,27.42,35.96,53,70
BIG RED MACHINE,50,0,0,5.66,57.18,9.811055358107016,29.06,28.12,49,65
BLUE SOCKS,50,0,6,5.94,55.06,9.870323527991424,24.72,30.34,45,70
FREE BIRDS,50,0,0,7.4,46.14,9.268984879590537,16.64,29.5,39,52
ERIE LAKERS,50,0,0,8.52,37.82,8.14933924566365,24.62,13.2,30,47
FREE AT LAST,50,0,0,9.16,33.74,8.207609001198838,18.32,15.42,24,47
