team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
WESTSIDE MARAUDERS,22,270,11.128192349624657,7253,6458,1667,254,934,905,171,0.25812945184267577,1321,83,32,1346,569.3737455555556,1626.8681760000002,3.879154965934898,1.2315429038607117,9,6,6,8,8,9,7,9,7,7,37,39,76,1,1
NATIONAL PASTIME,23,270,10.575616666867857,7556,6742,1722,248,934,899,137,0.2554138237911599,1201,76,84,1207,504.34898111111113,1448.26964,3.779467801831807,1.2058864612822648,7,6,5,5,6,7,9,7,10,9,29,42,71,2,1
LOUISVILLE SLUGGERS,23,181,10.622157246874423,7662,6856,1762,267,970,940,154,0.25700116686114355,1138,68,63,1137,491.2913977777778,1430.98419,3.885432847100176,1.2574553514938487,10,9,9,6,7,4,8,5,6,3,41,26,67,3,1
MELONHEADS,23,234,10.035854743597715,7318,6507,1631,250,917,909,161,0.2506531427693253,1289,80,27,1242,543.6627644444445,1582.1520200000002,3.795938619084562,1.2274259270752523,8,4,7,7,2,8,5,8,9,8,28,38,66,4,1
HOOSIERS,23,230,10.239137148696713,7806,6907,1732,254,993,950,217,0.25076009845084696,1180,71,24,1097,517.1610977777779,1469.85321,3.9444490508474583,1.245638313559322,9,10,10,10,3,5,4,4,4,6,42,23,65,5,1
BIG RED MACHINE,23,216,9.850329496062852,7685,6861,1746,254,950,939,135,0.2544818539571491,1247,75,27,1165,541.43915,1562.27851,3.907740457097033,1.2528295990376905,9,8,8,4,5,6,5,6,5,5,34,27,61,6,1
BLUE SOCKS,19,260,9.995642169525647,7312,6590,1711,225,919,890,187,0.25963581183611534,840,56,29,869,359.9943188888889,1006.03289,3.8570819880952385,1.1976582023809523,3,5,2,9,9,2,6,2,8,10,28,28,56,7,1
FREE BIRDS,23,244,9.2355193612979,7344,6544,1641,246,867,905,113,0.2507640586797066,1336,84,0,1356,590.260837777778,1679.92489,3.976308038922157,1.2574288098802395,6,2,6,1,4,10,3,10,3,4,19,30,49,8,1
ERIE LAKERS,23,202,8.17139679854641,7343,6557,1709,239,913,896,127,0.2606374866554827,1096,64,24,973,501.76581555555555,1429.91473,4.120339726277373,1.3046667244525547,4,3,4,2,10,3,4,3,1,1,23,12,35,9,1
FREE AT LAST,22,236,8.270720949758589,7585,6676,1663,240,935,894,128,0.24910125823846616,866,51,91,842,394.1168555555555,1126.84613,4.095902655889145,1.3012080023094688,5,7,3,3,1,1,10,1,2,2,19,16,35,9,1
