player,from_team,to_team,round,pick,ForceKeeper,DropPenalty
Nolan Arenado,Blue Socks,,,,0,5
Tommy Edman,Blue Socks,,,,0,5
Jung Hoo Lee,Blue Socks,,,,0,0
