playerid,xMLBAMID,Team,PlayerName,auction_type,fg_auction_dollars
29622,686217,MIL,Sal Frelick,bat,11.207108817531118
15440,571510,CHC,Matthew Boyd,pit,11.150949567328245
31349,687363,STL,Victor Scott II,bat,11.137697229686296
29839,686218,LAD,Emmet Sheehan,pit,10.853684058909813
NA,802139,STL,Jonathan Wetherholt,bat,10.746448172129947
27914,694037,CHC,Daniel Palencia,pit,10.599615266822829
20423,676254,SFG,Ryan Walker,pit,10.560564184206775
18882,664040,PIT,Brandon Lowe,bat,10.528522190342855
9777,571448,ARI,Nolan Arenado,bat,10.283061392612819
19238,666971,ARI,Lourdes Gurriel Jr.,bat,10.221962617867211
35333,695505,CIN,Chase Burns,pit,10.209312637296657
20202,669016,PHI,Brandon Marsh,bat,10.205044856646799
19291,668678,ARI,Zac Gallen,pit,10.121734901935856
19470,669242,LAD,Tommy Edman,bat,10.11301732302063
25327,682842,MIL,Abner Uribe,pit,10.003479444358929
12970,605397,SDP,Joe Musgrove,pit,9.980432421783417
17998,664126,MIA,Pete Fairbanks,pit,9.687086530064128
33829,684007,CHC,Shota Imanaga,pit,9.28466572820309
21454,663457,STL,Lars Nootbaar,bat,9.191632264942408
17338,650489,COL,Willi Castro,bat,8.911344102835772
26378,666157,CIN,Nick Lodolo,pit,8.819553943602727
16400,625643,ATL,Reynaldo Lopez,pit,8.385092268219168
17722,656730,MIL,Trevor Megill,pit,8.358253579577099
10324,542303,PIT,Marcell Ozuna,bat,8.291273805356823
17988,663886,CIN,Tyler Stephenson,bat,8.085647739103882
26197,683734,MIL,Andrew Vaughn,bat,8.025899189621178
18684,645261,MIA,Sandy Alcantara,pit,7.878017363652617
27768,691587,MIA,Eury Perez,pit,7.569058903928359
21690,665795,CHC,Edward Cabrera,pit,7.5675007339950735
21840,666023,SDP,Freddy Fermin,bat,7.546770069272624
28820,694208,CHC,Moises Ballesteros,bat,7.5032309081093285
11156,518876,ARI,Merrill Kelly,pit,7.443554719142272
31846,680885,ATL,Spencer Schwellenbach,pit,7.375605751228067
17878,642701,PIT,Dennis Santana,pit,7.205901396664605
27475,691023,STL,Jordan Walker,bat,7.198996668535397
31623,694819,MIL,Jacob Misiorowski,pit,7.128853591830487
33703,690997,NYM,Nolan McLean,pit,6.990046094780356
27478,672275,SFG,Patrick Bailey,bat,6.712068755279029
14771,641941,CIN,Emilio Pagan,pit,6.643577714199071
22210,669093,SDP,Jeremiah Estrada,pit,6.4367343552702625
22263,669357,STL,Nolan Gorman,bat,6.342289102995065
23793,677952,PIT,Braxton Ashcraft,pit,6.272791179654895
29592,681393,MIA,Connor Norby,bat,6.258832842547882
26477,687462,PIT,Spencer Horwitz,bat,6.240046874632307
19352,669221,ATL,Sean Murphy,bat,6.022629527345459
18036,630105,SDP,Jake Cronenworth,bat,5.84043394942638
26123,683146,NYM,Brett Baty,bat,5.658147126678493
22184,668901,NYM,Mark Vientos,bat,5.607938342399475
15873,640455,NYM,Sean Manaea,pit,5.604717323556439
11486,592662,SFG,Robbie Ray,pit,5.5571785126098865
13620,608348,CHC,Carson Kelly,bat,5.499645700628936
30115,663158,ATL,Robert Suarez,pit,5.392722957157684
27782,694297,ARI,Brandon Pfaadt,pit,5.3188571592334135
29993,691781,WSN,Brady House,bat,5.001489169103002
14854,573262,ATL,Mike Yastrzemski,bat,4.879486718735726
20039,670970,SDP,Adrian Morejon,pit,4.837520230467109
21622,664983,COL,Jake McCarthy,bat,4.798935121601797
15507,640451,CHC,Hunter Harvey,pit,4.764841439302152
19574,668941,STL,JoJo Romero,pit,4.761111766479785
26253,669194,ARI,Ryne Nelson,pit,4.672529733405661
19901,657757,SDP,Gavin Sheets,bat,4.665033848835037
31475,701656,MIL,Logan Henderson,pit,4.5704435469959925
25807,669707,PIT,Jared Triolo,bat,4.569435343093493
21844,666129,MIA,Braxton Garrett,pit,4.487130432009938
19716,669160,STL,Dustin May,pit,4.398066160776652
29911,671096,CIN,Andrew Abbott,pit,4.3913648799877105
26202,663968,PIT,Jake Mangum,bat,3.971428221339217
17780,621237,PHI,Jose Alvarado,pit,3.8457523274272094
13301,571970,LAD,Max Muncy,bat,3.723048360493244
27555,669003,MIL,Garrett Mitchell,bat,3.5697049342175875
22532,671289,COL,Tyler Freeman,bat,3.5241477099625156
17312,657006,CHC,Justin Steele,pit,3.4788008947471165
17594,656605,PIT,Mitch Keller,pit,3.296966362011928
31776,689147,PHI,Orion Kerkering,pit,3.2734144996283603
