Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,Name,xMLBAMID,playerids,playerid,fg_auction_dollars
SEA,Mariners,13,10,32,32,0,0,NA,195,788,169,81,75,25,197,43,NA,9,3.4646,1.08058,9.09439,1.96283,4.63331,1.15706,0.250408,0.0540453,0.1963631436228752,NA,0.228575,0.278606,0.737311,3.57159,934.1,4.7902564102564105,888,4.553846153846154,3.54598,3.31022,19,37.86000061035156,11,AL,Bryan Woo,693433,30279,30279,NA
PHI,Phillies,12,10,31,31,0,0,NA,179,742,157,81,75,23,197,56,NA,5,3.77514,1.19247,9.94072,2.80408,3.5451,1.16939,0.265906,0.0750066,0.19089914858341217,NA,0.230949,0.291094,0.730128,3.63381,844.5000000000002,4.717877094972068,807,4.5083798882681565,3.53207,3.38976,17,74.839996337890625,26,NL,Jesús Luzardo,666200,19959,19959,18.11055002850776
BOS,Red Sox,12,9,29,29,0,0,NA,169,713,166,74,68,17,149,49,NA,5,3.61481,1.26891,7.9406,2.60122,3.05265,0.886565,0.209137,0.06851,0.1406271532177925,NA,0.25124,0.301904,0.735032,3.60667,745.9000000000002,4.413609467455623,760,4.497041420118343,3.37199,3.41206,17,175.4199981689453,3,AL,Ranger Suárez,624133,17277,17277,NA
PHI,Phillies,10,6,24,24,0,0,NA,147,598,124,59,54,16,160,39,NA,7,3.3133,1.10709,9.80944,2.36162,4.1537,1.00665,0.268112,0.0645478,0.20356428623199463,NA,0.224809,0.286761,0.744493,3.33298,750.6,5.106122448979592,709,4.8231292517006805,3.31777,3.60301,15,118.06999969482422,26,NL,Zack Wheeler,554430,10310,10310,20.922357034624465
SEA,Mariners,12,9,31,31,0,0,NA,173,711,160,74,68,21,170,32,NA,7,3.52154,1.11149,8.83432,1.67718,5.26735,1.07605,0.239414,0.0454524,0.19396116212010384,NA,0.238869,0.290629,0.726773,3.40725,828.9000000000001,4.791329479768787,815,4.710982658959537,3.26853,2.68705,18,69.160003662109375,11,AL,George Kirby,669923,25436,25436,NA
MIN,Twins,11,10,29,29,0,0,NA,167,685,147,76,70,24,183,40,NA,9,3.79136,1.11724,9.83017,2.13676,4.6005,1.31384,0.266837,0.0580017,0.20883526280522346,NA,0.231324,0.286077,0.729321,3.71812,777.3999999999999,4.65508982035928,742,4.4431137724550895,3.14341,2.7826,16,75.529998779296875,8,AL,Joe Ryan,657746,21390,21390,NA
TBR,Rays,9,7,24,24,0,0,NA,139,565,119,56,51,16,150,39,NA,3,3.33439,1.14208,9.7338,2.53833,3.83473,1.04085,0.265426,0.0692163,0.19620982557535172,NA,0.228174,0.289416,0.755946,3.39199,696.4000000000002,5.010071942446045,661,4.755395683453237,3.1299,3.08784,14,215.16000366210938,12,AL,Shane McClanahan,663556,21483,21483,NA
PHI,Phillies,11,10,31,31,0,0,NA,180,752,172,89,82,26,177,45,NA,5,4.115,1.20929,8.8635,2.25871,3.92414,1.3038,0.235784,0.0600857,0.17569874599575996,NA,0.246019,0.294131,0.711931,3.89329,769,4.272222222222222,766,4.2555555555555555,3.10934,2.62677,16,211.3300018310547,26,NL,Aaron Nola,605400,16149,16149,11.708776771275904
SEA,Mariners,10,7,29,29,0,0,NA,163,661,139,67,62,21,178,39,NA,5,3.4104,1.0866,9.82594,2.14171,4.5879,1.15354,0.269652,0.0587747,0.2108776941895485,NA,0.224654,0.281699,0.745619,3.43171,810.5000000000001,4.97239263803681,766,4.699386503067485,3.05453,2.85073,17,34.02000045776367,11,AL,Logan Gilbert,669302,22250,22250,NA
TOR,Blue Jays,12,10,31,31,0,0,NA,182,763,171,85,78,24,177,53,NA,3,3.87709,1.23131,8.75562,2.60047,3.36694,1.19279,0.231941,0.0688877,0.1630529686808586,NA,0.242434,0.291127,0.731784,3.83421,792.9999999999999,4.357142857142857,784,4.3076923076923075,3.04345,2.57431,17,119.69999694824219,14,AL,Kevin Gausman,592332,14107,14107,NA
TEX,Rangers,10,10,29,29,0,0,NA,173,715,160,79,73,22,164,45,NA,7,3.77572,1.18397,8.50042,2.33714,3.6371000000000002,1.12281,0.228612,0.0628555,0.16575628519058228,NA,0.241168,0.289339,0.720775,3.76456,765.5999999999999,4.4254335260115605,751,4.341040462427745,2.9479,2.69383,16,147.52999877929688,13,AL,Nathan Eovaldi,543135,9132,9132,NA
SDP,Padres,10,9,29,29,0,0,NA,161,681,143,72,66,20,170,58,NA,7,3.68187,1.24561,9.47316,3.25774,2.90789,1.11873,0.249387,0.085762,0.1636245772242546,NA,0.231753,0.288067,0.749026,3.86931,718.6000000000001,4.463354037267082,690,4.285714285714286,2.90704,2.69389,16,125.55999755859375,29,NL,Michael King,650633,19853,19853,12.250889730152604
MIL,Brewers,10,8,28,28,0,0,NA,149,613,131,66,62,21,158,40,NA,6,3.7426,1.15307,9.52923,2.43324,3.91627,1.26325,0.257034,0.0656324,0.19140185415744781,NA,0.231769,0.284489,0.738608,3.77438,681.7000000000002,4.575167785234901,650,4.3624161073825505,2.90506,2.75491,15,112.2300033569336,23,NL,Brandon Woodruff,605540,16162,16162,15.481622744545195
BAL,Orioles,8,7,26,26,0,0,NA,137,573,122,60,55,15,145,43,NA,6,3.61775,1.2048,9.51636,2.84575,3.34406,0.99243,0.253573,0.0758277,0.17774490267038345,NA,0.233447,0.294956,0.732747,3.54419,655.1000000000001,4.781751824817519,633,4.62043795620438,2.88553,2.37964,15,70.470001220703125,2,AL,Kyle Bradish,680694,24586,24586,NA
TEX,Rangers,11,9,29,29,0,0,NA,160,677,139,73,68,19,182,60,NA,8,3.82311,1.24403,10.2504,3.36315,3.04787,1.09722,0.268971,0.0882487,0.18072225898504257,NA,0.228277,0.293293,0.733187,3.70742,748.9,4.680625,713,4.45625,2.88368,2.49712,16,165.2100067138672,13,AL,MacKenzie Gore,669022,22201,22201,NA
TBR,Rays,10,8,31,31,0,0,NA,160,656,147,70,65,18,144,42,NA,5,3.64079,1.18012,8.07665,2.33886,3.45325,1.03823,0.219032,0.0634278,0.15560423582792282,NA,0.241865,0.28828,0.728648,3.71698,727.3999999999999,4.546249999999999,713,4.45625,2.88004,2.94087,17,152.6300048828125,12,AL,Drew Rasmussen,656876,25385,25385,NA
LAA,Angels,11,10,31,31,0,0,NA,176,757,163,82,75,15,164,76,NA,10,3.8589,1.358,8.386,3.90748,2.14614,0.756463,0.216575,0.100914,0.11566116660833359,NA,0.242555,0.300681,0.717336,3.84496,764.1000000000001,4.341477272727274,755,4.2897727272727275,2.87602,2.82806,17,343.95001220703125,1,AL,José Soriano,667755,22100,22100,NA
