Team,ShortName,W,L,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,ERA,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,FPTS,FPTS_IP,SPTS,SPTS_IP,WAR,RA9-WAR,QS,ADP,teamid,League,Name,xMLBAMID,playerids,playerid,fg_auction_dollars
CLE,Guardians,7,8,21,29,0,1,NA,121,529,123,63,58,17,100,47,NA,4,4.30399,1.39511,7.39624,3.4603,2.13746,1.22672,0.188588,0.0882301,0.10035815089941025,NA,0.256738,0.293565,0.73036,4.52714,417.50000000000006,3.4504132231404965,435,3.5950413223140494,1.08408,1.05021,10,999,5,AL,Logan Allen,671106,27589,27589,NA
SDP,Padres,5,3,0,70,0,15,NA,70,289,52,28,26,8,95,28,NA,2,3.28614,1.15438,12.258,3.65198,3.35655,1.04581,0.329522,0.0981728,0.2313488870859146,NA,0.202585,0.285245,0.766674,3.23583,444.40000000000003,6.348571428571429,406,5.8,1.07124,0.816176,0,606.15997314453125,29,NL,Jeremiah Estrada,669093,22210,22210,6.3897028374589295
NA,NA,7,8,24,24,0,0,NA,133,578,133,74,69,21,119,51,NA,4,4.67505,1.38573,8.03647,3.46899,2.31666,1.4132,0.205484,0.0886983,0.11678563803434372,NA,0.254597,0.292908,0.709604,4.64042,453.1000000000001,3.4067669172932336,465,3.4962406015037595,1.07001,0.882512,11,614.90997314453125,-1,NA,Lucas Giolito,608337,15474,15474,NA
COL,Rockies,7,10,26,26,0,0,NA,143,627,155,87,81,24,114,52,NA,6,5.07701,1.44945,7.15306,3.28987,2.17427,1.49721,0.181027,0.083259,0.09776832908391953,NA,0.272007,0.303452,0.692794,4.92485,414,2.895104895104895,457,3.195804195804196,1.06239,1.35885,11,999,19,NL,Michael Lorenzen,547179,14843,14843,-14.023204081989622
TOR,Blue Jays,5,4,0,63,26,4,NA,63,259,50,26,24,8,76,23,NA,4,3.38611,1.1543,10.8966,3.29687,3.30514,1.11178,0.294062,0.0889711,0.2050904706120491,NA,0.213272,0.281493,0.76113,3.58728,454.80000000000007,7.21904761904762,428,6.7936507936507935,1.04182,0.967083,0,111.33000183105469,14,AL,Jeff Hoffman,656546,17432,17432,NA
CHC,Cubs,4,2,0,52,5,13,NA,52,211,43,19,18,5,58,15,NA,2,3.09074,1.10258,10.0414,2.51443,3.9935,0.850358,0.274882,0.0688324,0.20604968070983887,NA,0.220209,0.288249,0.754855,3.09379,353.5,6.798076923076923,337,6.480769230769231,1.03819,1.02163,0,741.80999755859375,17,NL,Hunter Harvey,640451,15507,15507,4.732941483205563
HOU,Astros,7,6,19,33,0,1,NA,109,481,103,58,53,14,105,53,NA,7,4.39004,1.42566,8.67703,4.3346,2.00181,1.12842,0.218973,0.109387,0.10958520323038101,NA,0.244593,0.29553,0.71632,4.46667,400.6000000000001,3.675229357798166,397,3.6422018348623855,1.02783,0.83083,8,999,21,AL,Lance McCullers Jr.,621121,14120,14120,NA
SEA,Mariners,4,3,0,63,3,12,NA,63,266,51,24,22,5,76,26,NA,3,3.10222,1.20889,10.818,3.65507,2.95972,0.713789,0.284877,0.0962516,0.188625730574131,NA,0.213222,0.29129,0.755369,3.12534,400.1,6.350793650793651,378,6,1.02609,0.969758,0,741.8800048828125,11,AL,Matt Brash,666374,25756,25756,NA
TOR,Blue Jays,8,9,19,51,0,1,NA,142,611,144,75,69,22,118,43,NA,7,4.3964,1.31379,7.47468,2.69948,2.76893,1.38973,0.193135,0.0697506,0.123384028673172,NA,0.256823,0.290082,0.716993,4.5391,495.79999999999995,3.4915492957746475,514,3.619718309859155,1.01965,0.815359,8,722.78997802734375,14,AL,José Berríos,621244,14168,14168,NA
WSN,Nationals,7,10,26,26,0,0,NA,141,603,156,80,75,23,93,32,NA,5,4.76511,1.3352,5.94461,2.05378,2.89447,1.49439,0.154367,0.0533316,0.10103503987193108,NA,0.275515,0.294844,0.693213,4.75538,429.9000000000001,3.0489361702127664,481,3.4113475177304964,0.987354,0.915946,11,999,24,NL,Miles Mikolas,571945,9803,9803,-7.784195878792673
KCR,Royals,4,3,0,66,1,17,NA,66,271,56,28,26,8,72,20,NA,3,3.49785,1.14439,9.78566,2.726,3.58975,1.06412,0.265049,0.0738348,0.19121386110782623,NA,0.224357,0.284169,0.740595,3.55215,392.4000000000001,5.945454545454547,374,5.666666666666667,0.975487,0.888708,0,732.280029296875,7,AL,Matt Strahm,621381,13799,13799,NA
TEX,Rangers,5,4,0,64,20,6,NA,64,268,55,27,25,7,70,23,NA,2,3.54134,1.21464,9.8588,3.17538,3.10476,0.980122,0.26148,0.0842189,0.17726106941699982,NA,0.226702,0.289894,0.741024,3.52338,433.5,6.7734375,418,6.53125,0.919141,0.921198,0,249.91000366210938,13,AL,Robert Garcia,676395,23363,23363,NA
ATL,Braves,5,4,0,67,8,11,NA,67,277,59,29,26,7,70,21,NA,2,3.55866,1.1931,9.34019,2.81834,3.31407,1.00291,0.25133,0.0758372,0.17549274861812592,NA,0.232766,0.292081,0.736036,3.55464,411.29999999999995,6.138805970149253,399,5.955223880597015,0.917023,0.967349,0,205.19000244140625,16,NL,Robert Suarez,663158,30115,30115,5.366263400621187
MIA,Marlins,6,9,21,41,0,1,NA,133,570,143,77,71,23,103,34,NA,3,4.8207700000000004,1.32144,6.91305,2.28314,3.02787,1.54383,0.179784,0.0593764,0.12040778622031212,NA,0.267265,0.293316,0.688603,4.66075,428.50000000000006,3.221804511278196,465,3.4962406015037595,0.916817,0.633352,8,999,20,NL,Chris Paddack,663978,20099,20099,-7.448973192542221
TBR,Rays,5,3,0,66,8,13,NA,66,271,51,26,24,8,83,24,NA,5,3.25993,1.13475,11.3678,3.30962,3.43477,1.02424,0.307943,0.0896544,0.2182881385087967,NA,0.209926,0.286894,0.758315,3.43237,428.4000000000001,6.490909090909092,397,6.015151515151516,0.90217,1.02862,0,607.41998291015625,12,AL,Garrett Cleavinger,664076,17897,17897,NA
TBR,Rays,5,4,0,68,12,11,NA,68,284,55,30,28,9,81,25,NA,5,3.66026,1.18386,10.7525,3.36531,3.1951,1.13734,0.285993,0.0895098,0.19648323953151703,NA,0.216791,0.283059,0.743266,3.71286,425.5,6.257352941176471,399,5.867647058823529,0.90072700000000006,0.846834,0,363.3500061035156,12,AL,Edwin Uceta,670955,20539,20539,NA
NYY,Yankees,4,3,0,64,2,14,NA,64,272,51,27,25,5,74,30,NA,3,3.52396,1.27293,10.4252,4.2688,2.44218,0.768422,0.272715,0.111669,0.16104591637849808,NA,0.21477,0.288205,0.734756,3.51532,394.5,6.1640625,370,5.78125,0.897342,0.798044,0,999,9,AL,Camilo Doval,666808,21992,21992,NA
NYY,Yankees,4,3,0,61,1,16,NA,61,260,47,25,23,7,82,28,NA,3,3.38514,1.23579,12.0746,4.17061,2.89517,0.963389,0.314626,0.108673,0.20595304667949677,NA,0.20589,0.28893,0.759252,3.38168,383.1000000000001,6.28032786885246,354,5.80327868852459,0.887404,0.736707,0,999,9,AL,Fernando Cruz,518585,7048,7048,NA
BOS,Red Sox,5,5,10,40,0,1,NA,82,357,80,39,36,8,76,34,NA,3,4.00016,1.38573,8.3265,3.70163,2.24941,0.887922,0.212479,0.0944597,0.11801930516958237,NA,0.249374,0.303698,0.725582,3.90716,345.4000000000001,4.212195121951221,351,4.280487804878049,0.881418,0.855167,4,999,3,AL,Patrick Sandoval,663776,19447,19447,NA
SFG,Giants,5,3,0,63,27,5,NA,63,264,55,25,23,5,68,20,NA,5,3.27066,1.18208,9.73605,2.81696,3.45623,0.776218,0.25826,0.0747231,0.18353701382875443,NA,0.228699,0.29742,0.740161,3.25863,477.70000000000005,7.582539682539683,466,7.396825396825397,0.872329,1.11812,0,163.83999633789062,30,NL,Ryan Walker,676254,20423,20423,11.337172694124025
MIL,Brewers,5,5,11,37,0,1,NA,84,360,80,41,38,11,78,26,NA,6,4.06803,1.25855,8.30456,2.82045,2.94441,1.22455,0.216474,0.0735201,0.14295358955860138,NA,0.243813,0.287139,0.721354,4.21623,342.29999999999995,4.074999999999999,341,4.059523809523809,0.855467,0.721687,5,999,23,NL,Robert Gasser,688107,29812,29812,-0.4094059494488673
MIN,Twins,4,4,10,28,0,1,NA,67,286,63,33,31,9,68,23,NA,3,4.11538,1.28328,9.1090699999999991,3.11755,2.92186,1.16685,0.238095,0.0814874,0.1566077247262001,NA,0.242531,0.29665,0.7194,3.96023,283.29999999999995,4.228358208955223,280,4.17910447761194,0.853834,0.63331,4,999,8,AL,David Festa,701581,30056,30056,NA
ATL,Braves,5,3,0,66,26,4,NA,66,270,58,29,27,8,71,18,NA,2,3.61422,1.1511,9.65532,2.43128,3.97129,1.135,0.261884,0.0659442,0.19593936949968338,NA,0.232436,0.291314,0.735193,3.54825,467.2000000000001,7.07878787878788,454,6.878787878787879,0.849166,0.960243,0,96.87999725341797,16,NL,Raisel Iglesias,628452,17130,17130,10.629270057822525
TEX,Rangers,4,5,11,51,0,1,NA,111,481,101,59,54,14,107,54,NA,3,4.4136,1.39055,8.65219,4.36479,1.98227,1.16904,0.222065,0.112025,0.11003918200731277,NA,0.237354,0.284754,0.714594,4.44268,433.6,3.9063063063063064,420,3.7837837837837838,0.839278,0.572946,4,722.77001953125,13,AL,Jacob Latz,656641,21306,21306,NA
TBR,Rays,5,6,11,41,0,1,NA,95,400,88,47,44,14,91,28,NA,6,4.16188,1.22278,8.60084,2.6613,3.23182,1.31836,0.226957,0.0702259,0.156731516122818,NA,0.240425,0.283454,0.710733,4.19217,385.99999999999994,4.063157894736841,377,3.968421052631579,0.830377,0.812414,5,346.6300048828125,12,AL,Ian Seymour,693855,27932,27932,NA
MIL,Brewers,5,5,15,31,0,1,NA,89,385,83,45,42,12,89,35,NA,5,4.25344,1.32507,8.97099,3.55316,2.52479,1.23771,0.231282,0.0916047,0.1396777480840683,NA,0.240949,0.29075,0.722293,4.27607,357.2,4.013483146067416,351,3.943820224719101,0.805299,0.858832,6,741.80999755859375,23,NL,Kyle Harrison,690986,27758,27758,-2.432344597933996
NA,NA,5,7,19,19,0,0,NA,105,459,113,61,57,16,84,36,NA,3,4.86441,1.42399,7.23057,3.06342,2.36029,1.36028,0.182888,0.0774855,0.10540273785591125,NA,0.269225,0.303698,0.693102,4.59693,337.40000000000003,3.213333333333334,368,3.5047619047619047,0.801319,0.447339,8,999,-1,NA,Patrick Corbin,571578,9323,9323,NA
CIN,Reds,3,3,0,66,27,4,NA,66,271,56,32,30,10,71,23,NA,2,4.04461,1.19264,9.69459,3.10062,3.12666,1.37408,0.262723,0.0840268,0.17869623005390167,NA,0.22736,0.278127,0.727015,4.07467,437.80000000000007,6.633333333333335,418,6.333333333333333,0.796105,0.702875,0,111.93000030517578,18,NL,Emilio Pagán,641941,14771,14771,6.566799566313872
TEX,Rangers,4,3,0,54,4,12,NA,54,223,51,22,20,6,53,11,NA,2,3.37908,1.15492,8.88896,1.90882,4.65678,1.06033,0.239637,0.0514598,0.18817731738090515,NA,0.243038,0.297424,0.757713,3.41787,328.20000000000005,6.077777777777778,327,6.055555555555555,0.795445,0.707741,0,693.97998046875,13,AL,Chris Martin,455119,11847,11847,NA
LAA,Angels,5,7,19,19,0,0,NA,104,452,102,59,55,15,88,42,NA,8,4.74396,1.38709,7.60758,3.66918,2.07338,1.26746,0.193627,0.0933874,0.10023976862430573,NA,0.252396,0.289732,0.688209,4.73066,345.90000000000003,3.325961538461539,351,3.375,0.791249,0.604459,8,741.15997314453125,1,AL,Alek Manoah,666201,26410,26410,NA
LAD,Dodgers,4,3,0,61,1,18,NA,61,253,47,26,24,8,77,25,NA,3,3.54682,1.18525,11.3348,3.74781,3.02437,1.24258,0.303679,0.10041,0.20326806604862213,NA,0.208633,0.275734,0.767374,3.79764,377.8000000000001,6.193442622950822,348,5.704918032786885,0.784895,0.786271,0,999,22,NL,Alex Vesia,681911,25007,25007,2.7721598130609806
PIT,Pirates,4,3,0,68,26,5,NA,68,284,62,30,28,7,63,23,NA,3,3.7221,1.24681,8.33342,3.06439,2.71944,0.88095,0.221459,0.0814354,0.14002320170402527,NA,0.238815,0.291721,0.721132,3.71366,453.90000000000003,6.675000000000001,447,6.573529411764706,0.782716,1.04028,0,152.3699951171875,27,NL,Dennis Santana,642701,17878,17878,7.154525391964888
MIN,Twins,6,8,18,40,0,1,NA,114,500,111,62,57,14,103,51,NA,5,4.50902,1.43069,8.12628,4.06493,1.99912,1.13046,0.205378,0.102734,0.10264359414577484,NA,0.250801,0.296833,0.70878,4.44048,424.79999999999984,3.726315789473683,430,3.7719298245614037,0.781496,0.662303,7,693.8599853515625,8,AL,Mick Abel,690953,27756,27756,NA
SEA,Mariners,4,3,0,70,3,16,NA,70,292,62,28,25,5,67,21,NA,4,3.27125,1.19422,8.6715,2.7632,3.1382,0.698246,0.231355,0.073722,0.15763270109891891,NA,0.233146,0.292887,0.734297,3.29455,433.3,6.19,423,6.042857142857143,0.781173,0.738305,0,741.78997802734375,11,AL,Jose A. Ferrer,678606,24017,24017,NA
COL,Rockies,6,9,21,21,0,0,NA,116,507,138,72,67,21,74,27,NA,4,5.17091,1.4257,5.73438,2.11298,2.71388,1.64355,0.14606,0.0538196,0.0922406017780304,NA,0.291088,0.308208,0.690896,5.04782,296.3000000000001,2.5543103448275875,362,3.1206896551724137,0.778183,0.977324,8,999,19,NL,Tomoyuki Sugano,608372,35321,35321,-13.502702249705102
ARI,Diamondbacks,4,3,0,62,12,11,NA,62,263,56,27,25,6,64,24,NA,3,3.60705,1.27892,9.31391,3.43681,2.71005,0.85005,0.244386,0.0901777,0.15420813858509064,NA,0.235348,0.299225,0.74137,3.56227,390.4,6.296774193548386,383,6.17741935483871,0.774746,0.952539,0,608.44000244140625,15,NL,Kevin Ginkel,656464,19876,19876,2.7843448463929423
KCR,Royals,4,4,0,62,2,13,NA,62,265,56,28,26,5,61,24,NA,4,3.7045,1.28847,8.80124,3.45803,2.54516,0.774273,0.228945,0.0899531,0.13899236917495728,NA,0.236995,0.297369,0.719506,3.66547,351.69999999999993,5.672580645161289,345,5.564516129032258,0.757048,0.746146,0,741.8800048828125,7,AL,Lucas Erceg,668674,19360,19360,NA
ARI,Diamondbacks,6,6,11,52,2,1,NA,101,431,91,49,46,12,101,37,NA,8,4.07919,1.26573,8.99941,3.29586,2.73052,1.07173,0.235232,0.0861493,0.14908301830291748,NA,0.236534,0.290784,0.70854,4.02696,444.20000000000005,4.398019801980198,430,4.257425742574258,0.753816,0.921412,5,704.4000244140625,15,NL,Michael Soroka,647336,18383,18383,1.7838440777364881
CHW,White Sox,4,4,0,63,20,6,NA,63,268,53,30,27,8,71,30,NA,2,3.91762,1.30898,10.196,4.23003,2.41038,1.103,0.266548,0.110583,0.15596481412649155,NA,0.224248,0.288199,0.738179,3.98934,400.00000000000006,6.34920634920635,381,6.0476190476190474,0.753406,0.461322,0,203.22999572753906,4,AL,Seranthony Domínguez,622554,19249,19249,NA
WSN,Nationals,4,5,13,35,0,1,NA,90,392,93,47,44,10,65,35,NA,4,4.37126,1.42215,6.54356,3.50117,1.86896,1.0421,0.166461,0.089066,0.07739493250846863,NA,0.26272,0.296914,0.710261,4.49221,318.2,3.5355555555555553,337,3.7444444444444445,0.752152,0.669611,5,999,24,NL,Andrew Alvarez,674841,29914,29914,-8.291704891178256
MIA,Marlins,5,6,10,48,0,1,NA,93,396,99,49,45,12,68,20,NA,3,4.34534,1.27028,6.51598,1.88514,3.45649,1.19146,0.171002,0.0494729,0.12152953445911407,NA,0.26588,0.296297,0.689609,4.14019,354.20000000000005,3.808602150537635,380,4.086021505376344,0.751772,0.570017,4,999,20,NL,Janson Junk,676083,23301,23301,-3.256270876705649
PHI,Phillies,5,3,0,63,1,13,NA,63,264,53,27,24,6,70,23,NA,4,3.48672,1.21237,9.93591,3.30056,3.01037,0.912887,0.263072,0.0873885,0.17568354308605194,NA,0.224664,0.290865,0.739505,3.54331,370.6,5.882539682539683,353,5.603174603174603,0.751422,0.707729,0,999,26,NL,Orion Kerkering,689147,31776,31776,3.271075668024381
COL,Rockies,5,7,16,34,0,1,NA,101,450,109,62,58,15,84,42,NA,4,5.14873,1.48718,7.41908,3.73004,1.98901,1.30059,0.185806,0.0934166,0.09238986670970917,NA,0.269458,0.308152,0.681022,4.73159,313.5000000000001,3.103960396039605,344,3.405940594059406,0.75071,0.725617,5,999,19,NL,Ryan Feltner,663372,21446,21446,-13.770288177512064
CHC,Cubs,5,3,0,67,30,4,NA,67,282,55,30,27,7,75,28,NA,4,3.67885,1.23487,10.0167,3.71611,2.69548,0.976438,0.264245,0.0980326,0.16621214896440506,NA,0.219663,0.28307,0.731552,3.7294,486.69999999999993,7.264179104477611,464,6.925373134328358,0.737132,0.796256,0,121.87999725341797,17,NL,Daniel Palencia,694037,27914,27914,10.52134154442992
CIN,Reds,4,6,13,35,0,1,NA,89,382,91,49,45,13,69,28,NA,4,4.59265,1.345,7.02307,2.84764,2.46628,1.28923,0.181569,0.0736204,0.10794825106859207,NA,0.261583,0.294271,0.692034,4.53339,308.1,3.461797752808989,322,3.6179775280898876,0.73507,0.667559,5,732,18,NL,Rhett Lowder,695076,33876,33876,-6.471972582083862
LAA,Angels,2,4,0,60,15,8,NA,60,251,54,29,27,8,67,19,NA,2,4.08397,1.22297,9.98425,2.92346,3.41522,1.24606,0.264755,0.0775219,0.18723265081644058,NA,0.234433,0.294077,0.71674,3.79339,383.20000000000005,6.386666666666668,374,6.233333333333333,0.730135,0.414698,0,435.1199951171875,1,AL,Robert Stephenson,596112,13594,13594,NA
PIT,Pirates,4,4,11,41,0,1,NA,85,371,82,42,39,10,78,35,NA,6,4.16318,1.37189,8.22884,3.70219,2.2227,1.08502,0.209301,0.0941655,0.1151358038187027,NA,0.247145,0.294558,0.725399,4.31942,329.8,3.8800000000000003,332,3.9058823529411764,0.729638,0.824843,5,999,27,NL,Hunter Barco,682995,33174,33174,-4.558201401918913
TBR,Rays,4,4,11,21,0,1,NA,67,292,56,33,31,8,74,36,NA,4,4.09823,1.38457,9.98116,4.88759,2.04214,1.00821,0.255077,0.124906,0.13017035275697708,NA,0.224464,0.28857,0.727464,4.16984,283.79999999999995,4.235820895522387,263,3.925373134328358,0.717576,0.722386,5,713.22998046875,12,AL,Joe Boyle,671212,29608,29608,NA
PHI,Phillies,5,7,18,31,0,1,NA,104,453,105,59,55,17,90,40,NA,2,4.72917,1.39167,7.81388,3.46033,2.25813,1.43459,0.199543,0.0883663,0.1111762523651123,NA,0.255332,0.290635,0.705448,4.68998,345.5,3.3221153846153846,357,3.4326923076923075,0.715228,0.624027,7,999,26,NL,Andrew Painter,691725,sa3017880,sa3017880,-8.341357155549677
COL,Rockies,5,9,23,23,0,0,NA,114,506,118,71,67,18,98,51,NA,8,5.2715,1.48602,7.70748,4.01958,1.91748,1.41779,0.192607,0.100448,0.09215933084487915,NA,0.264388,0.302276,0.678303,5.01511,334.3999999999999,2.9333333333333327,355,3.1140350877192984,0.713599,0.94068,9,741.6300048828125,19,NL,Chase Dollander,801403,33482,33482,-15.312070038068342
NA,NA,3,3,10,10,0,0,NA,52,223,52,28,26,7,45,17,NA,2,4.46072,1.3092,7.77491,2.86886,2.7101,1.25334,0.202205,0.0746117,0.12759342044591904,NA,0.252853,0.292108,0.698174,4.28346,196.50000000000006,3.778846153846155,202,3.8846153846153846,0.705808,0.436765,5,999,-1,NA,Jon Gray,592351,14916,14916,NA
CIN,Reds,5,4,0,65,2,16,NA,65,278,63,30,28,6,59,21,NA,3,3.88352,1.28523,8.19901,2.90814,2.81933,0.882909,0.213252,0.0756392,0.13761239498853683,NA,0.246513,0.298576,0.713674,3.69574,363.40000000000003,5.590769230769231,367,5.6461538461538465,0.705656,0.715714,0,999,18,NL,Graham Ashcraft,668933,27552,27552,-0.3918336873583472
MIL,Brewers,4,3,0,65,1,15,NA,65,274,58,28,26,7,66,22,NA,3,3.55845,1.23148,9.16611,3.10102,2.95583,0.9355,0.241852,0.081822,0.1600300297141075,NA,0.232046,0.290014,0.741318,3.61612,366.09999999999997,5.632307692307692,356,5.476923076923077,0.681438,0.766166,0,999,23,NL,Jared Koenig,657649,27517,27517,1.0117637697940187
HOU,Astros,5,6,10,44,0,1,NA,90,387,85,46,42,12,88,34,NA,6,4.2362,1.32103,8.81655,3.36562,2.61959,1.20889,0.227552,0.0868656,0.1406867504119873,NA,0.24487,0.295148,0.717618,4.2342,357.4,3.971111111111111,354,3.933333333333333,0.68024,0.626497,4,999,21,AL,Ryan Weiss,680802,sa3007778,sa3007778,NA
LAA,Angels,3,3,0,58,3,11,NA,58,244,52,27,25,7,61,19,NA,4,3.92695,1.2362899999999999,9.49331,3.01015,3.15377,1.1395,0.250478,0.0794218,0.17105598002672195,NA,0.237279,0.295965,0.720673,3.90293,319.90000000000003,5.515517241379311,311,5.362068965517241,0.672225,0.518443,0,741.78997802734375,1,AL,Drew Pomeranz,519141,11426,11426,NA
CHW,White Sox,5,8,15,46,0,1,NA,111,483,116,64,59,17,83,38,NA,5,4.79983,1.39534,6.78977,3.1217,2.17502,1.38108,0.172853,0.0794716,0.09338115155696869,NA,0.263935,0.292051,0.694988,4.79718,351.70000000000005,3.1684684684684687,375,3.3783783783783785,0.669971,0.277439,5,999,4,AL,Jonathan Cannon,686563,31730,31730,NA
TOR,Blue Jays,4,3,0,67,2,13,NA,67,278,61,29,26,8,66,18,NA,2,3.51061,1.17843,8.92052,2.43039,3.6704,1.03918,0.239238,0.0651804,0.1740577518939972,NA,0.236824,0.290546,0.740111,3.57575,372.79999999999995,5.564179104477612,365,5.447761194029851,0.666197,0.521573,0,721.19000244140625,14,AL,Louis Varland,686973,27691,27691,NA
SDP,Padres,7,9,24,38,0,1,NA,139,608,144,79,74,20,95,50,NA,9,4.78994,1.39977,6.16033,3.26742,1.88538,1.31947,0.156541,0.0830287,0.0735122561454773,NA,0.262662,0.285669,0.69381,4.94873,425.20000000000016,3.058992805755397,452,3.2517985611510793,0.660935,0.478005,9,999,29,NL,Randy Vásquez,681190,24719,24719,-10.081832585747728
TOR,Blue Jays,4,4,10,28,0,1,NA,69,288,65,35,32,12,69,18,NA,3,4.19054,1.20255,8.9357,2.39217,3.7354,1.54274,0.237976,0.0637083,0.17426756024360657,NA,0.242339,0.283333,0.729167,4.29766,273,3.9565217391304346,268,3.8840579710144927,0.658474,0.484032,4,999,14,AL,Max Scherzer,453286,3137,3137,NA
ATL,Braves,5,5,13,13,0,0,NA,70,306,68,36,33,8,62,31,NA,3,4.29368,1.41014,7.99795,3.93293,2.03359,1.02097,0.203838,0.100236,0.10360246896743774,NA,0.2506,0.298388,0.713684,4.26162,264.8,3.782857142857143,268,3.8285714285714287,0.655046,0.817709,6,497.5799865722656,16,NL,Hurston Waldrep,694462,33527,33527,-4.881739326696346
MIL,Brewers,4,4,10,28,0,1,NA,69,295,65,35,32,8,59,26,NA,4,4.19641,1.32834,7.72871,3.36987,2.29347,1.06494,0.199286,0.0868929,0.11239349842071533,NA,0.246239,0.288446,0.706971,4.26143,275.20000000000005,3.98840579710145,273,3.9565217391304346,0.652208,0.583867,4,999,23,NL,Brandon Sproat,687075,33850,33850,-3.7255486674233413
NYY,Yankees,5,6,11,51,0,1,NA,99,425,86,52,48,14,101,47,NA,4,4.39727,1.34145,9.18845,4.28951,2.14207,1.28562,0.237832,0.111029,0.1268029734492302,NA,0.229159,0.276606,0.714571,4.50651,389.80000000000007,3.937373737373738,366,3.696969696969697,0.650842,0.395584,4,441.80999755859375,9,AL,Luis Gil,661563,21052,21052,NA
SDP,Padres,7,10,23,33,0,1,NA,128,564,140,77,71,20,95,44,NA,5,4.99588,1.43224,6.66475,3.09233,2.15525,1.40938,0.168706,0.0782766,0.09042925387620926,NA,0.271452,0.299374,0.687087,4.8269,384.20000000000005,3.0015625000000004,427,3.3359375,0.64755,0.0586538,9,999,29,NL,Germán Márquez,608566,15038,15038,-11.958450927282433
ATL,Braves,3,3,0,65,1,16,NA,65,267,57,28,26,9,73,19,NA,1,3.54747,1.17335,10.1238,2.68013,3.77735,1.2499,0.274028,0.0725451,0.20148330926895142,NA,0.230813,0.291221,0.763988,3.62549,377.09999999999997,5.801538461538461,363,5.584615384615384,0.644661,0.809517,0,999,16,NL,Dylan Lee,669276,19996,19996,1.6723204340339248
ARI,Diamondbacks,3,2,6,6,0,0,NA,39,162,35,16,15,4,37,12,NA,2,3.50656,1.21394,8.6397,2.79723,3.08866,0.915119,0.230939,0.0747699,0.1561688482761383,NA,0.237202,0.291883,0.73983,3.5851,180.40000000000003,4.625641025641026,175,4.487179487179487,0.637932,0.892555,4,722.02001953125,15,NL,Corbin Burnes,669203,19361,19361,-1.6920141115696876
PIT,Pirates,3,3,0,61,4,14,NA,61,264,54,27,25,5,66,25,NA,5,3.69206,1.29792,9.759,3.75767,2.59709,0.747492,0.250726,0.0965412,0.1541847437620163,NA,0.230537,0.300713,0.720703,3.56382,367.5000000000001,6.024590163934428,358,5.868852459016393,0.627425,0.72122,0,999,27,NL,Gregory Soto,642397,19677,19677,-0.6050185924512241
CHW,White Sox,4,4,0,64,5,11,NA,64,272,54,32,30,9,73,29,NA,2,4.15648,1.30126,10.2082,4.06707,2.50995,1.26086,0.266589,0.106213,0.16037597507238388,NA,0.225527,0.284642,0.729248,4.15349,344.5,5.3828125,325,5.078125,0.627151,0.211755,0,576.1199951171875,4,AL,Jordan Leasure,673929,29950,29950,NA
STL,Cardinals,6,7,19,35,0,1,NA,115,491,118,61,56,16,86,35,NA,5,4.40886,1.32977,6.78723,2.71436,2.50049,1.27315,0.175927,0.0703571,0.1055702194571495,NA,0.260649,0.290815,0.707585,4.49182,403.40000000000003,3.507826086956522,423,3.6782608695652175,0.618005,0.885305,8,741.8800048828125,28,NL,Richard Fitts,690916,30160,30160,-4.135675670639324
STL,Cardinals,5,6,15,37,0,1,NA,100,433,104,53,49,13,71,32,NA,5,4.45398,1.36169,6.39251,2.89551,2.20774,1.17145,0.163947,0.07426,0.08968658745288849,NA,0.262376,0.291306,0.701961,4.51292,344.70000000000005,3.4470000000000005,366,3.66,0.606797,0.558182,6,999,28,NL,Hunter Dobbins,690928,30240,30240,-6.097485130847074
ATH,Athletics,5,4,0,64,6,13,NA,64,276,58,31,28,8,69,26,NA,4,3.99054,1.31144,9.64117,3.62584,2.65901,1.08341,0.248683,0.0935246,0.15515869855880737,NA,0.236836,0.29803,0.72563,3.97171,354.40000000000003,5.5375000000000005,346,5.40625,0.591137,0.391426,0,722.92999267578125,10,AL,Mark Leiter Jr.,643410,15551,15551,NA
ATH,Athletics,5,5,11,45,0,1,NA,92,405,89,50,47,11,81,41,NA,6,4.57738,1.417,7.98239,4.03851,1.97657,1.09772,0.201069,0.101726,0.09934277832508087,NA,0.248691,0.293389,0.696363,4.49963,339.1,3.6858695652173914,342,3.717391304347826,0.591007,0.421283,4,999,10,AL,Luis Medina,665622,21649,21649,NA
CHW,White Sox,6,8,18,29,0,1,NA,110,480,114,65,60,18,84,42,NA,3,4.95092,1.42889,6.89866,3.46903,1.98864,1.46502,0.175282,0.0881414,0.08714043349027634,NA,0.26348,0.290558,0.695938,4.95676,333.20000000000005,3.0290909090909097,353,3.209090909090909,0.579305,0.203389,7,999,4,AL,Erick Fedde,607200,17425,17425,NA
BAL,Orioles,4,4,0,67,4,13,NA,67,278,64,30,28,9,66,18,NA,2,3.73358,1.22418,8.85147,2.38423,3.7125,1.19174,0.237019,0.0638436,0.1731756031513214,NA,0.24858,0.301433,0.743052,3.76088,362.69999999999993,5.4134328358208945,362,5.402985074626866,0.566244,0.619518,0,741.07000732421875,2,AL,Andrew Kittredge,552640,12828,12828,NA
