billikenTeam,slot,player,contract,salary
Hoosiers,Bench,Zac Veen,2,1
Hoosiers,Bench,JJ Wetherholt,2,1
Hoosiers,Bench,Jett Williams,2,1
Hoosiers,Bench,Harry Ford,1,1
Hoosiers,IL,Garrett Mitchell,Opt,4
Hoosiers,NA,NA,NA,NA
Hoosiers,P,Edward Cabrera,2,2
Hoosiers,P,Cade Cavalli,2,1
Hoosiers,P,Bryce Elder,2,1
Hoosiers,P,NA,NA,NA
Hoosiers,P,Tyler Glasnow,Opt,11
Hoosiers,P,Ryan Helsey,2027,11
Hoosiers,P,Andrew Kittredge,2,1
Hoosiers,P,Nolan McLean,2,1
Hoosiers,P,Logan Webb,2026,16
Hoosiers,Bench,Quinn Mathews,2,4
Hoosiers,IL,Corbin Burnes,2,27
Hoosiers,IL,Jared Jones,Opt,1
Hoosiers,IL,Max Meyer,2,1
Hoosiers,IL,Daniel Palencia,2,1
Hoosiers,IL,Landen Roupp,2,1
Hoosiers,IL,Brandon Woodruff,2,12
Hoosiers,NA,NA,NA,NA
Hoosiers,Louisville Sluggers,NA,NA,NA
Louisville Sluggers,SLOT,PLAYER,NA,NA
Louisville Sluggers,C,Hunter Goodman,2,7
Louisville Sluggers,C,Ben Rortvedt,2,1
Louisville Sluggers,1B,Jared Triolo,2,1
Louisville Sluggers,2B,Luis Garcia Jr.,2,19
Louisville Sluggers,3B,NA,NA,NA
Louisville Sluggers,SS,Xavier Edwards,Opt,1
Louisville Sluggers,2B/SS,Nick Gonzales,2,9
Louisville Sluggers,1B/3B,Troy Johnston,2,1
Louisville Sluggers,OF,Jackson Chourio,Opt,15
Louisville Sluggers,OF,Issac Collins,2,1
Louisville Sluggers,OF,Tyler Freeman,2,1
Louisville Sluggers,OF,Austin Hays,2,7
Louisville Sluggers,OF,Jackson Merrill,Opt,7
Louisville Sluggers,Util,Will Benson,2,1
Louisville Sluggers,Bench,Brandon Lowe,1,15
Louisville Sluggers,Bench,Shohei Ohtani,Opt,34
Louisville Sluggers,IL,Brett Baty,2,2
Louisville Sluggers,IL,Willson Contreras,2026,28
Louisville Sluggers,IL,Enmanual Valdez,2,1
Louisville Sluggers,NA,NA,NA,NA
Louisville Sluggers,P,NA,NA,NA
Louisville Sluggers,P,Dylan Cease,Opt,12
Louisville Sluggers,P,Edwin Diaz,2027,33
Louisville Sluggers,P,Jesus Luzardo,2027,19
Louisville Sluggers,P,Michael McGreevy,2,1
Louisville Sluggers,P,Emilio Pagan,2,1
Louisville Sluggers,P,JoJo Romero,2,1
Louisville Sluggers,P,Cristopher Sanchez,2026,6
Louisville Sluggers,P,Victor Vodnik,2,1
Louisville Sluggers,Bench,Jarlin Susana,2,1
Louisville Sluggers,NA,NA,NA,NA
Louisville Sluggers,Free At Last,NA,NA,NA
Free At Last,SLOT,PLAYER,NA,NA
Free At Last,C,Patrick Bailey,2,6
Free At Last,C,Luis Torrens,2,1
Free At Last,1B,NA,NA,NA
Free At Last,2B,Ozzie Albies,2026,42
Free At Last,3B,Matt Chapman,Opt,18
Free At Last,SS,Geraldo Perdomo,2,6
Free At Last,2B/SS,Kyle Farmer,2,1
Free At Last,1B/3B,Gavin Sheets,2,1
Free At Last,OF,Alex Call,2,1
Free At Last,OF,Ian Happ,Opt,18
Free At Last,OF,Gavin Lux,2,7
Free At Last,OF,Victor Scott II,2,5
Free At Last,OF,Eli White,2,1
Free At Last,Util,Wilmer Flores,2,1
Free At Last,Bench,Kyle Schwarber,2,24
Free At Last,Bench,Hyeseong Kim,2,7
Free At Last,IL,Miguel Amaya,2,5
Free At Last,NA,NA,NA,NA
Free At Last,P,Ben Brown,2,1
Free At Last,P,Justin Lawrence,Opt,4
Free At Last,P,Nick Martinez,Opt,1
Free At Last,P,Miles Mikolas,2,1
Free At Last,P,Mitchell Parker,2,2
