billikenTeam,slot,player,team,2021eligibility,contract,salary
National Pastime,OF,Michael Harris II,NA,NA,,
National Pastime,OF,Max Kepler,NA,NA,,
National Pastime,Util,Tyler Fitzgerald,NA,NA,,
National Pastime,Bench,Nolan Gorman,NA,NA,,
National Pastime,IL,Kris Bryant,NA,NA,,
National Pastime,NA,NA,NA,NA,,
National Pastime,P,Matthew Boyd,NA,NA,,
National Pastime,P,Erick Fedde,NA,NA,,
National Pastime,P,Kyle Finnegan,NA,NA,,
National Pastime,P,Raisel Iglesias,NA,NA,,
National Pastime,P,Jake Irvin,NA,NA,,
National Pastime,P,Matthew Liberatore,NA,NA,,
National Pastime,P,Freddy Peralta,NA,NA,,
National Pastime,P,Nick Pivetta,NA,NA,,
National Pastime,P,Dennis Santana,NA,NA,,
National Pastime,IL,Tylor Megill,NA,NA,,
National Pastime,IL,Spencer Schwellenbach,NA,NA,,
National Pastime,NA,NA,NA,NA,,
National Pastime,Blue Socks,NA,NA,NA,,
Blue Socks,SLOT,PLAYER,TEAM,2021 ELIGIBILITY,,
Blue Socks,C,J.T. Realmuto,NA,NA,,
Blue Socks,C,Dalton Rushing,NA,NA,,
Blue Socks,1B,Bryce Eldridge,NA,NA,,
Blue Socks,2B,Connor Norby,NA,NA,,
Blue Socks,3B,Nolan Arenado,NA,NA,,
Blue Socks,SS,Tommy Edman,NA,NA,,
Blue Socks,2B/SS,Luisangel Acuna,NA,NA,,
Blue Socks,1B/3B,Ke'Bryan Hayes,NA,NA,,
Blue Socks,OF,Harrison Bader,NA,NA,,
Blue Socks,OF,Jung Ho Lee,NA,NA,,
Blue Socks,OF,Mickey Moniak,NA,NA,,
Blue Socks,OF,Cedric Mullins,NA,NA,,
Blue Socks,OF,Jurickson Profar,NA,NA,,
Blue Socks,Util,Dylan Crews,NA,NA,,
Blue Socks,Bench,NA,NA,NA,,
Blue Socks,Bench,Aidan Miller,NA,NA,,
Blue Socks,Bench,Liover Peguero,NA,NA,,
Blue Socks,IL,Trea Turner,NA,NA,,
Blue Socks,NA,NA,NA,NA,,
Blue Socks,P,Jhoan Duran,NA,NA,,
Blue Socks,P,Jeremiah Estrada,NA,NA,,
Blue Socks,P,Calvin Faucher,NA,NA,,
Blue Socks,P,Mackenzie Gore,NA,NA,,
Blue Socks,P,NA,NA,NA,,
Blue Socks,P,NA,NA,NA,,
Blue Socks,P,Aaron Nola,NA,NA,,
Blue Socks,P,Eury Perez,NA,NA,,
Blue Socks,P,Emmet Sheehan,NA,NA,,
Blue Socks,IL,A.J. Puk,NA,NA,,
Blue Socks,IL,Randy Rodriguez,NA,NA,,
Blue Socks,NA,NA,NA,NA,,
Blue Socks,NA,NA,NA,NA,,
Blue Socks,NA,NA,NA,NA,,
Blue Socks,NA,NA,NA,NA,,
Blue Socks,NA,NA,NA,NA,,
Blue Socks,NA,NA,NA,NA,,
Blue Socks,NA,NA,NA,NA,,
Blue Socks,NA,NA,NA,NA,,
Blue Socks,NA,NA,NA,NA,,
Blue Socks,NA,NA,NA,NA,,
Blue Socks,NA,NA,NA,NA,,
Blue Socks,NA,NA,NA,NA,,
Blue Socks,NA,NA,NA,NA,,
Blue Socks,NA,NA,NA,NA,,
Blue Socks,NA,NA,NA,NA,,
Blue Socks,NA,NA,NA,NA,,
Blue Socks,NA,NA,NA,NA,,
Blue Socks,NA,NA,NA,NA,,
Blue Socks,NA,NA,NA,NA,,
Blue Socks,NA,NA,NA,NA,,
Blue Socks,NA,NA,NA,NA,,
Blue Socks,NA,NA,NA,NA,,
Blue Socks,NA,NA,NA,NA,,
Blue Socks,NA,NA,NA,NA,,
