Name,billikenTeam,Team,PA,AB,H,HR,R,RBI,SB,AVG,IP,WH,ER,W,SV,SO,ERA,WHIP,points_impact,points_pred_impact
Mitch Keller,Free At Last,PIT,NA,NA,NA,NA,NA,NA,NA,NA,152,199.12,71,8,0,134,4.19,1.31,0,0
Zac Gallen,Westside Marauders,ARI,NA,NA,NA,NA,NA,NA,NA,NA,143,180.18,61,10,0,142,3.82,1.26,0,0
Max Meyer,Hoosiers,MIA,NA,NA,NA,NA,NA,NA,NA,NA,126,162.54,55,7,0,123,3.92,1.29,0,0
Nick Lodolo,Blue Socks,CIN,NA,NA,NA,NA,NA,NA,NA,NA,120,151.2,59,7,0,122,4.44,1.26,0,0
Blake Snell,Melonheads,LAD,NA,NA,NA,NA,NA,NA,NA,NA,80,100.8,32,6,0,101,3.6,1.26,0,0
Matthew Boyd,National Pastime,CHC,NA,NA,NA,NA,NA,NA,NA,NA,119,149.94,53,8,0,116,3.98,1.26,0,0
German Marquez,NA,COL,NA,NA,NA,NA,NA,NA,NA,NA,128,183.04,69,7,0,103,4.85,1.43,0,0
Kyle Freeland,NA,COL,NA,NA,NA,NA,NA,NA,NA,NA,139,195.98999999999998,76,7,0,101,4.91,1.41,0,0
David Peterson,Louisville Sluggers,NYM,NA,NA,NA,NA,NA,NA,NA,NA,126,170.10000000000002,53,8,0,117,3.83,1.35,0,0
Ben Brown,NA,CHC,NA,NA,NA,NA,NA,NA,NA,NA,102,130.56,44,6,0,110,3.89,1.28,0,0
Landen Roupp,Hoosiers,SFG,NA,NA,NA,NA,NA,NA,NA,NA,114,148.20000000000002,49,6,0,115,3.83,1.3,0,0
Jose Alvarado,Louisville Sluggers,PHI,NA,NA,NA,NA,NA,NA,NA,NA,53,64.13,19,4,17,65,3.13,1.21,0,0
Miles Mikolas,Free At Last,STL,NA,NA,NA,NA,NA,NA,NA,NA,137,178.1,67,7,0,93,4.42,1.3,0,0
Grant Holmes,Big Red Machine,ATL,NA,NA,NA,NA,NA,NA,NA,NA,134,182.24,63,7,0,129,4.21,1.36,0,0
Ryan Feltner,NA,COL,NA,NA,NA,NA,NA,NA,NA,NA,137,195.91,76,6,0,119,4.97,1.43,0,0
Andrew Heaney,Erie Lakers,PIT,NA,NA,NA,NA,NA,NA,NA,NA,119,155.89000000000001,57,6,0,112,4.29,1.31,0,0
Ryan Helsley,Hoosiers,STL,NA,NA,NA,NA,NA,NA,NA,NA,56,65.52,19,4,29,69,3,1.17,0,0
Mitchell Parker,Free At Last,WSN,NA,NA,NA,NA,NA,NA,NA,NA,130,178.10000000000002,62,7,0,112,4.31,1.37,0,0
Matt Strahm,NA,PHI,NA,NA,NA,NA,NA,NA,NA,NA,56,59.36,20,4,4,66,3.23,1.06,0,0
Yu Darvish,Big Red Machine,SDP,NA,NA,NA,NA,NA,NA,NA,NA,108,132.84,50,6,0,103,4.16,1.23,0,0
Shohei Ohtani,Louisville Sluggers,LAD,NA,NA,NA,NA,NA,NA,NA,NA,63,74.33999999999999,24,4,0,73,3.51,1.18,0,0
Edwin Diaz,Louisville Sluggers,NYM,NA,NA,NA,NA,NA,NA,NA,NA,55,60.50000000000001,19,4,31,79,3.08,1.1,0,0
Merrill Kelly,Westside Marauders,ARI,NA,NA,NA,NA,NA,NA,NA,NA,133,175.56,61,8,0,116,4.11,1.32,0,0
Andrew Abbott,Free Birds,CIN,NA,NA,NA,NA,NA,NA,NA,NA,103,138.02,52,6,0,101,4.55,1.34,0,0
Erick Fedde,National Pastime,STL,NA,NA,NA,NA,NA,NA,NA,NA,137,187.69000000000003,67,7,0,114,4.44,1.37,0,0
Sean Manaea,Blue Socks,NYM,NA,NA,NA,NA,NA,NA,NA,NA,108,139.32,48,7,0,107,4.05,1.29,0,0
Justin Verlander,Hoosiers,SFG,NA,NA,NA,NA,NA,NA,NA,NA,115,148.35,54,6,0,94,4.21,1.29,0,0
Tanner Scott,Melonheads,LAD,NA,NA,NA,NA,NA,NA,NA,NA,56,67.75999999999999,20,5,24,67,3.22,1.21,0,0
Dustin May,Louisville Sluggers,LAD,NA,NA,NA,NA,NA,NA,NA,NA,93,113.46,38,7,0,92,3.7,1.22,0,0
Eury Perez,Blue Socks,MIA,NA,NA,NA,NA,NA,NA,NA,NA,76,92.72,33,4,0,85,3.93,1.22,0,0
Clayton Kershaw,Blue Socks,LAD,NA,NA,NA,NA,NA,NA,NA,NA,75,95.25,33,5,0,69,3.92,1.27,0,0
Steven Matz,Free At Last,STL,NA,NA,NA,NA,NA,NA,NA,NA,102,132.6,45,6,0,87,3.94,1.3,0,0
Robbie Ray,Free Birds,SFG,NA,NA,NA,NA,NA,NA,NA,NA,125,160,57,7,0,134,4.07,1.28,0,0
Aaron Bummer,NA,ATL,NA,NA,NA,NA,NA,NA,NA,NA,54,68.58,18,4,1,62,3.01,1.27,0,0
Jameson Taillon,Westside Marauders,CHC,NA,NA,NA,NA,NA,NA,NA,NA,138,175.26,67,8,0,112,4.37,1.27,0,0
Jake Irvin,Melonheads,WSN,NA,NA,NA,NA,NA,NA,NA,NA,139,182.09,69,7,0,118,4.48,1.31,0,0
Jose Quintana,Free Birds,MIL,NA,NA,NA,NA,NA,NA,NA,NA,129,179.30999999999997,60,8,0,105,4.2,1.39,0,0
Matthew Liberatore,National Pastime,STL,NA,NA,NA,NA,NA,NA,NA,NA,111,142.08,49,6,0,101,3.92,1.28,0,0
Ryan Walker,Westside Marauders,SFG,NA,NA,NA,NA,NA,NA,NA,NA,58,66.11999999999999,19,5,24,67,3.02,1.14,0,0
Antonio Senzatela,NA,COL,NA,NA,NA,NA,NA,NA,NA,NA,127,187.96,72,5,0,75,5.13,1.48,0,0
Frankie Montas,NA,NYM,NA,NA,NA,NA,NA,NA,NA,NA,96,126.72,44,6,0,91,4.1,1.32,0,0
Justin Martinez,Erie Lakers,ARI,NA,NA,NA,NA,NA,NA,NA,NA,57,72.96000000000001,19,4,22,73,3.04,1.28,0,0
Edward Cabrera,NA,MIA,NA,NA,NA,NA,NA,NA,NA,NA,116,158.92000000000002,56,6,0,124,4.32,1.37,0,0
Tobias Myers,Westside Marauders,MIL,NA,NA,NA,NA,NA,NA,NA,NA,124,163.68,61,7,0,109,4.44,1.32,0,0
Andre Pallante,Erie Lakers,STL,NA,NA,NA,NA,NA,NA,NA,NA,111,159.84,51,6,0,80,4.16,1.44,0,0
Trevor Megill,Erie Lakers,MIL,NA,NA,NA,NA,NA,NA,NA,NA,54,66.42,20,3,22,66,3.4,1.23,0,0
Jared Jones,Hoosiers,PIT,NA,NA,NA,NA,NA,NA,NA,NA,61,76.86,26,4,0,63,3.85,1.26,0,0
Bailey Falter,Erie Lakers,PIT,NA,NA,NA,NA,NA,NA,NA,NA,117,156.78,59,6,0,89,4.51,1.34,0,0
Colin Rea,Free Birds,CHC,NA,NA,NA,NA,NA,NA,NA,NA,116,151.96,57,6,0,92,4.46,1.31,0,0
Trevor Williams,NA,WSN,NA,NA,NA,NA,NA,NA,NA,NA,114,157.32,58,5,0,91,4.59,1.38,0,0
Jason Adam,Free Birds,SDP,NA,NA,NA,NA,NA,NA,NA,NA,57,63.27,21,4,5,66,3.28,1.11,0,0
Nestor Cortes,National Pastime,MIL,NA,NA,NA,NA,NA,NA,NA,NA,70,84,31,4,0,72,3.94,1.2,0,0
Tylor Megill,National Pastime,NYM,NA,NA,NA,NA,NA,NA,NA,NA,78,100.62,34,5,0,81,3.92,1.29,0,0
Cade Cavalli,NA,WSN,NA,NA,NA,NA,NA,NA,NA,NA,90,120.60000000000001,42,5,0,84,4.22,1.34,0,0
AJ Smith-Shawver,Hoosiers,ATL,NA,NA,NA,NA,NA,NA,NA,NA,83,111.22000000000001,39,5,0,87,4.22,1.34,0,0
Ryan Weathers,Big Red Machine,MIA,NA,NA,NA,NA,NA,NA,NA,NA,96,131.52,45,5,0,85,4.19,1.37,0,0
Jeremiah Estrada,Blue Socks,SDP,NA,NA,NA,NA,NA,NA,NA,NA,53,62.54,19,3,4,72,3.28,1.18,0,0
Rhett Lowder,NA,CIN,NA,NA,NA,NA,NA,NA,NA,NA,85,118.14999999999999,43,4,0,69,4.55,1.39,0,0
Bryce Elder,Free Birds,ATL,NA,NA,NA,NA,NA,NA,NA,NA,104,145.6,51,6,0,84,4.45,1.4,0,0
David Bednar,Free Birds,PIT,NA,NA,NA,NA,NA,NA,NA,NA,52,65.52,22,3,15,57,3.7,1.26,0,0
Kirby Yates,Blue Socks,LAD,NA,NA,NA,NA,NA,NA,NA,NA,52,62.92,19,4,4,67,3.34,1.21,0,0
Robert Suarez,Big Red Machine,SDP,NA,NA,NA,NA,NA,NA,NA,NA,55,66.55,22,4,22,57,3.58,1.21,0,0
Tony Gonsolin,Big Red Machine,LAD,NA,NA,NA,NA,NA,NA,NA,NA,109,148.24,55,6,0,99,4.58,1.36,0,0
Orion Kerkering,NA,PHI,NA,NA,NA,NA,NA,NA,NA,NA,52,61.879999999999995,20,4,4,59,3.41,1.19,0,0
Raisel Iglesias,National Pastime,ATL,NA,NA,NA,NA,NA,NA,NA,NA,58,66.11999999999999,22,4,27,64,3.46,1.14,0,0
Quinn Priester,NA,MIL,NA,NA,NA,NA,NA,NA,NA,NA,88,110,36,6,0,75,3.73,1.25,0,0
