Name,billikenTeam,Team,PA,AB,H,HR,R,RBI,SB,AVG,IP,WH,ER,W,SV,SO,ERA,WHIP,points_impact,points_pred_impact
Craig Kimbrel,NA,ATL,NA,NA,NA,NA,NA,NA,NA,NA,43,55.47,18,2,0,52,3.8,1.29,0,0
Danny Young,NA,NYM,NA,NA,NA,NA,NA,NA,NA,NA,49,64.19,21,3,0,54,3.83,1.31,0,0
Joey Wentz,NA,PIT,NA,NA,NA,NA,NA,NA,NA,NA,56,77.28,26,2,0,55,4.24,1.38,0,0
Carson Whisenhunt,NA,SFG,NA,NA,NA,NA,NA,NA,NA,NA,16,20.16,7,1,0,16,3.66,1.26,0,0
Carson Spiers,NA,CIN,NA,NA,NA,NA,NA,NA,NA,NA,44,62.04,25,2,0,38,5.04,1.41,0,0
Seth Halvorsen,NA,COL,NA,NA,NA,NA,NA,NA,NA,NA,54,79.38,29,3,16,50,4.79,1.47,0,0
Taijuan Walker,NA,PHI,NA,NA,NA,NA,NA,NA,NA,NA,64,89.6,34,3,0,48,4.81,1.4,0,0
Jack Dreyer,NA,LAD,NA,NA,NA,NA,NA,NA,NA,NA,40,53.2,18,3,3,42,4.01,1.33,0,0
Bobby Miller,NA,LAD,NA,NA,NA,NA,NA,NA,NA,NA,27,34.83,13,1,0,27,4.2,1.29,0,0
Robby Snelling,NA,MIA,NA,NA,NA,NA,NA,NA,NA,NA,16,23.04,8,1,0,12,4.52,1.44,0,0
Landon Knack,NA,LAD,NA,NA,NA,NA,NA,NA,NA,NA,37,48.1,18,2,0,35,4.4,1.3,0,0
Anthony Banda,NA,LAD,NA,NA,NA,NA,NA,NA,NA,NA,48,65.28,23,3,0,47,4.2,1.36,0,0
Brad Lord,NA,WSN,NA,NA,NA,NA,NA,NA,NA,NA,65,91.64999999999999,34,3,0,44,4.74,1.41,0,0
Blake Treinen,Free Birds,LAD,NA,NA,NA,NA,NA,NA,NA,NA,34,40.46,13,3,0,37,3.5,1.19,0,0
Sean Hjelle,NA,SFG,NA,NA,NA,NA,NA,NA,NA,NA,42,53.34,17,2,0,36,3.56,1.27,0,0
Enyel De Los Santos,NA,ATL,NA,NA,NA,NA,NA,NA,NA,NA,48,60.480000000000004,21,2,0,49,4,1.26,0,0
Joe Ross,NA,PHI,NA,NA,NA,NA,NA,NA,NA,NA,53,72.08,26,2,0,45,4.46,1.36,0,0
Kevin Ginkel,NA,ARI,NA,NA,NA,NA,NA,NA,NA,NA,37,45.51,14,2,0,39,3.5,1.23,0,0
Ian Gibaut,NA,CIN,NA,NA,NA,NA,NA,NA,NA,NA,44,61.599999999999994,23,2,0,43,4.62,1.4,0,0
Max Kranick,NA,NYM,NA,NA,NA,NA,NA,NA,NA,NA,52,67.08,24,2,0,42,4.15,1.29,0,0
Joel Payamps,NA,MIL,NA,NA,NA,NA,NA,NA,NA,NA,46,57.96,20,3,0,43,3.88,1.26,0,0
Ryan Bergert,NA,SDP,NA,NA,NA,NA,NA,NA,NA,NA,50,69.5,26,2,0,39,4.63,1.39,0,0
Justin Lawrence,Free At Last,PIT,NA,NA,NA,NA,NA,NA,NA,NA,54,76.67999999999999,25,3,2,52,4.17,1.42,0,0
John King,NA,STL,NA,NA,NA,NA,NA,NA,NA,NA,51,69.36,21,3,0,33,3.77,1.36,0,0
Valente Bellozo,NA,MIA,NA,NA,NA,NA,NA,NA,NA,NA,40,56.8,22,2,0,30,4.85,1.42,0,0
Cristian Mena,NA,ARI,NA,NA,NA,NA,NA,NA,NA,NA,18,24.660000000000004,8,1,0,16,4.16,1.37,0,0
Andrew Nardi,NA,MIA,NA,NA,NA,NA,NA,NA,NA,NA,33,40.92,13,2,0,40,3.51,1.24,0,0
Colin Holderman,Free At Last,PIT,NA,NA,NA,NA,NA,NA,NA,NA,44,58.52,19,2,2,45,3.92,1.33,0,0
Dedniel Nunez,NA,NYM,NA,NA,NA,NA,NA,NA,NA,NA,43,53.75,17,2,0,47,3.53,1.25,0,0
Tink Hence,NA,STL,NA,NA,NA,NA,NA,NA,NA,NA,8,10.96,4,0,0,6,4.32,1.37,0,0
Carlos Rodriguez,NA,MIL,NA,NA,NA,NA,NA,NA,NA,NA,16,21.12,8,1,0,15,4.32,1.32,0,0
Craig Yoho,NA,MIL,NA,NA,NA,NA,NA,NA,NA,NA,47,59.22,19,3,0,53,3.68,1.26,0,0
Chase Petty,NA,CIN,NA,NA,NA,NA,NA,NA,NA,NA,19,26.979999999999997,10,1,0,15,4.62,1.42,0,0
Ryan Fernandez,NA,STL,NA,NA,NA,NA,NA,NA,NA,NA,47,62.510000000000005,21,3,0,46,4.01,1.33,0,0
Andrew Alvarez,NA,WSN,NA,NA,NA,NA,NA,NA,NA,NA,8,11.68,4,0,0,5,4.35,1.46,0,0
Jose Butto,NA,NYM,NA,NA,NA,NA,NA,NA,NA,NA,47,59.22,19,3,0,49,3.65,1.26,0,0
Yilber Diaz,NA,ARI,NA,NA,NA,NA,NA,NA,NA,NA,32,44.16,15,2,0,31,4.21,1.38,0,0
Ryan Borucki,NA,PIT,NA,NA,NA,NA,NA,NA,NA,NA,47,63.92,21,2,0,47,3.9,1.36,0,0
Connor Noland,NA,CHC,NA,NA,NA,NA,NA,NA,NA,NA,8,11.2,4,0,0,5,4.55,1.4,0,0
Ethan Roberts,NA,CHC,NA,NA,NA,NA,NA,NA,NA,NA,47,62.040000000000006,22,2,0,47,4.18,1.32,0,0
Tommy Henry,NA,ARI,NA,NA,NA,NA,NA,NA,NA,NA,28,38.36,13,1,0,24,4.22,1.37,0,0
Joe Jimenez,NA,ATL,NA,NA,NA,NA,NA,NA,NA,NA,30,36.9,12,2,0,34,3.72,1.23,0,0
Justin Hagenman,NA,NYM,NA,NA,NA,NA,NA,NA,NA,NA,24,30.96,12,1,0,21,4.34,1.29,0,0
DL Hall,NA,MIL,NA,NA,NA,NA,NA,NA,NA,NA,21,26.67,8,1,0,24,3.51,1.27,0,0
Brusdar Graterol,NA,LAD,NA,NA,NA,NA,NA,NA,NA,NA,19,24.7,8,1,0,17,3.64,1.3,0,0
Drue Hackenberg,NA,ATL,NA,NA,NA,NA,NA,NA,NA,NA,8,12.32,4,0,0,6,4.65,1.54,0,0
Huascar Brazoban,Melonheads,NYM,NA,NA,NA,NA,NA,NA,NA,NA,47,63.45,20,2,0,48,3.96,1.35,0,0
Josiah Gray,NA,WSN,NA,NA,NA,NA,NA,NA,NA,NA,14,19.040000000000003,7,1,0,13,4.61,1.36,0,0
Thomas Harrington,NA,PIT,NA,NA,NA,NA,NA,NA,NA,NA,22,29.040000000000003,11,1,0,18,4.5,1.32,0,0
Jorge Lopez,NA,WSN,NA,NA,NA,NA,NA,NA,NA,NA,53,73.14,26,2,3,45,4.36,1.38,0,0
Dylan Dodd,NA,ATL,NA,NA,NA,NA,NA,NA,NA,NA,39,51.09,18,2,0,30,4.13,1.31,0,0
Tristan Beck,NA,SFG,NA,NA,NA,NA,NA,NA,NA,NA,36,44.64,15,2,0,32,3.77,1.24,0,0
Luis Garcia,NA,LAD,NA,NA,NA,NA,NA,NA,NA,NA,37,49.580000000000005,17,2,0,34,4.02,1.34,0,0
Joey Lucchesi,NA,SFG,NA,NA,NA,NA,NA,NA,NA,NA,20,28,9,1,0,14,4.08,1.4,0,0
Scott Alexander,NA,COL,NA,NA,NA,NA,NA,NA,NA,NA,51,73.95,26,3,1,37,4.55,1.45,0,0
Zack Thompson,NA,STL,NA,NA,NA,NA,NA,NA,NA,NA,19,25.080000000000002,8,1,0,19,3.65,1.32,0,0
Aaron Ashby,NA,MIL,NA,NA,NA,NA,NA,NA,NA,NA,30,41.4,12,1,0,31,3.59,1.38,0,0
Bryan Hoeing,NA,SDP,NA,NA,NA,NA,NA,NA,NA,NA,47,62.510000000000005,21,2,0,39,4.02,1.33,0,0
Carson Palmquist,NA,COL,NA,NA,NA,NA,NA,NA,NA,NA,8,12.24,5,0,0,7,5.42,1.53,0,0
Gordon Graceffo,NA,STL,NA,NA,NA,NA,NA,NA,NA,NA,49,66.15,24,2,0,35,4.46,1.35,0,0
Tyler Alexander,Free At Last,MIL,NA,NA,NA,NA,NA,NA,NA,NA,51,64.26,25,2,0,44,4.49,1.26,0,0
Carson Seymour,NA,SFG,NA,NA,NA,NA,NA,NA,NA,NA,19,24.32,7,1,0,16,3.56,1.28,0,0
Max Lazar,NA,PHI,NA,NA,NA,NA,NA,NA,NA,NA,34,45.56,16,2,0,28,4.21,1.34,0,0
Hunter Stratton,NA,PIT,NA,NA,NA,NA,NA,NA,NA,NA,34,46.24,16,2,0,31,4.19,1.36,0,0
Tyler Stuart,NA,WSN,NA,NA,NA,NA,NA,NA,NA,NA,13,16.38,5,1,0,11,3.77,1.26,0,0
Derek Law,NA,WSN,NA,NA,NA,NA,NA,NA,NA,NA,41,54.53,18,2,0,36,3.92,1.33,0,0
Nathan Wiles,NA,ATL,NA,NA,NA,NA,NA,NA,NA,NA,30,40.2,15,2,0,21,4.49,1.34,0,0
Luke Little,NA,CHC,NA,NA,NA,NA,NA,NA,NA,NA,25,34,10,1,0,30,3.6,1.36,0,0
Mike Burrows,NA,PIT,NA,NA,NA,NA,NA,NA,NA,NA,22,29.26,10,1,0,20,4.18,1.33,0,0
Tanner Gordon,NA,COL,NA,NA,NA,NA,NA,NA,NA,NA,30,41.4,17,1,0,22,5.07,1.38,0,0
Connor Thomas,NA,MIL,NA,NA,NA,NA,NA,NA,NA,NA,19,25.080000000000002,9,1,0,14,4.13,1.32,0,0
Bradley Blalock,NA,COL,NA,NA,NA,NA,NA,NA,NA,NA,51,78.03,30,2,0,37,5.31,1.53,0,0
Joe Mantiply,NA,ARI,NA,NA,NA,NA,NA,NA,NA,NA,32,42.56,14,2,0,27,3.93,1.33,0,0
Daniel Palencia,Hoosiers,CHC,NA,NA,NA,NA,NA,NA,NA,NA,52,70.2,23,2,0,58,4.02,1.35,0,0
Michael Kopech,Melonheads,LAD,NA,NA,NA,NA,NA,NA,NA,NA,42,55.02,19,2,2,50,4.07,1.31,0,0
Dauri Moreta,NA,PIT,NA,NA,NA,NA,NA,NA,NA,NA,24,32.160000000000004,11,1,0,25,4.08,1.34,0,0
Mason Black,NA,SFG,NA,NA,NA,NA,NA,NA,NA,NA,34,42.5,14,2,0,33,3.79,1.25,0,0
Jhony Brito,NA,SDP,NA,NA,NA,NA,NA,NA,NA,NA,16,20.96,7,1,0,13,4.03,1.31,0,0
Jacob Misiorowski,NA,MIL,NA,NA,NA,NA,NA,NA,NA,NA,24,32.160000000000004,10,1,0,27,3.87,1.34,0,0
Davis Daniel,NA,ATL,NA,NA,NA,NA,NA,NA,NA,NA,7,8.82,3,0,0,6,4.04,1.26,0,0
Elvis Peguero,NA,MIL,NA,NA,NA,NA,NA,NA,NA,NA,38,52.06,17,2,0,35,4.04,1.37,0,0
Yosver Zulueta,NA,CIN,NA,NA,NA,NA,NA,NA,NA,NA,29,42.05,13,1,0,28,4.14,1.45,0,0
Tim Mayza,NA,PIT,NA,NA,NA,NA,NA,NA,NA,NA,25,34.5,11,1,0,20,4.04,1.38,0,0
Kevin Herget,NA,NYM,NA,NA,NA,NA,NA,NA,NA,NA,30,38.1,13,1,0,25,4.09,1.27,0,0
Michael Fulmer,NA,CHC,NA,NA,NA,NA,NA,NA,NA,NA,20,27.599999999999998,9,1,0,21,4.24,1.38,0,0
Drew Pomeranz,Blue Socks,CHC,NA,NA,NA,NA,NA,NA,NA,NA,32,42.56,14,2,0,32,3.83,1.33,0,0
Kyle Nelson,NA,ARI,NA,NA,NA,NA,NA,NA,NA,NA,22,29.92,10,1,0,20,4.12,1.36,0,0
Sean Reid-Foley,NA,NYM,NA,NA,NA,NA,NA,NA,NA,NA,12,16.68,5,1,0,13,3.83,1.39,0,0
Grant Anderson,NA,MIL,NA,NA,NA,NA,NA,NA,NA,NA,49,65.17,23,2,1,50,4.25,1.33,0,0
Wandy Peralta,NA,SDP,NA,NA,NA,NA,NA,NA,NA,NA,44,58.96,19,3,0,37,3.94,1.34,0,0
Gabriel Hughes,NA,COL,NA,NA,NA,NA,NA,NA,NA,NA,18,25.919999999999998,9,1,0,16,4.68,1.44,0,0
Connor Phillips,NA,CIN,NA,NA,NA,NA,NA,NA,NA,NA,24,33.36,11,1,0,25,4.3,1.39,0,0
Kyle Amendt,NA,ARI,NA,NA,NA,NA,NA,NA,NA,NA,14,19.459999999999997,6,1,0,14,3.98,1.39,0,0
Alex Cornwell,NA,STL,NA,NA,NA,NA,NA,NA,NA,NA,7,9.59,3,0,0,5,3.81,1.37,0,0
Sem Robberse,NA,STL,NA,NA,NA,NA,NA,NA,NA,NA,17,21.93,7,1,0,14,3.93,1.29,0,0
Declan Cronin,NA,MIA,NA,NA,NA,NA,NA,NA,NA,NA,46,64.39999999999999,20,2,0,39,4.01,1.4,0,0
Lyon Richardson,NA,CIN,NA,NA,NA,NA,NA,NA,NA,NA,9,12.69,4,0,0,9,4.26,1.41,0,0
Tejay Antone,NA,CIN,NA,NA,NA,NA,NA,NA,NA,NA,5,6.949999999999999,2,0,0,5,4.37,1.39,0,0
Tyler Phillips,NA,MIA,NA,NA,NA,NA,NA,NA,NA,NA,48,72.96000000000001,28,2,0,36,5.15,1.52,0,0
Albert Abreu,NA,CIN,NA,NA,NA,NA,NA,NA,NA,NA,8,11.52,4,0,0,9,4.42,1.44,0,0
Edgardo Henriquez,NA,LAD,NA,NA,NA,NA,NA,NA,NA,NA,14,19.74,7,1,0,14,4.33,1.41,0,0
Chase Shugart,NA,PIT,NA,NA,NA,NA,NA,NA,NA,NA,41,58.22,21,2,0,32,4.46,1.42,0,0
J.B. Wendelken,NA,SDP,NA,NA,NA,NA,NA,NA,NA,NA,7,9.66,3,0,0,6,4.15,1.38,0,0
Kyle Leahy,NA,STL,NA,NA,NA,NA,NA,NA,NA,NA,52,70.2,24,2,1,44,4.13,1.35,0,0
Drew Smith,NA,NYM,NA,NA,NA,NA,NA,NA,NA,NA,10,13.3,5,1,0,10,4.17,1.33,0,0
Keegan Thompson,NA,CHC,NA,NA,NA,NA,NA,NA,NA,NA,12,16.080000000000002,5,1,0,12,4.01,1.34,0,0
Nick Frasso,NA,LAD,NA,NA,NA,NA,NA,NA,NA,NA,8,10.64,4,0,0,7,4.31,1.33,0,0
Ethan Small,NA,SFG,NA,NA,NA,NA,NA,NA,NA,NA,7,9.38,3,0,0,6,3.92,1.34,0,0
Peter Strzelecki,NA,PIT,NA,NA,NA,NA,NA,NA,NA,NA,13,18.33,6,1,0,11,4.52,1.41,0,0
Jack Neely,NA,CHC,NA,NA,NA,NA,NA,NA,NA,NA,16,21.76,7,1,0,16,4.18,1.36,0,0
Victor Vodnik,NA,COL,NA,NA,NA,NA,NA,NA,NA,NA,41,61.5,21,2,0,40,4.58,1.5,0,0
Scott McGough,NA,ARI,NA,NA,NA,NA,NA,NA,NA,NA,12,16.799999999999997,5,1,0,11,4.15,1.4,0,0
Justin Wrobleski,NA,LAD,NA,NA,NA,NA,NA,NA,NA,NA,32,43.52,16,2,0,28,4.49,1.36,0,0
Andrew Saalfrank,NA,ARI,NA,NA,NA,NA,NA,NA,NA,NA,19,27.93,8,1,0,17,3.85,1.47,0,0
Mason Thompson,NA,WSN,NA,NA,NA,NA,NA,NA,NA,NA,32,44.16,15,1,0,27,4.14,1.38,0,0
Janson Junk,NA,MIA,NA,NA,NA,NA,NA,NA,NA,NA,20,26.200000000000003,10,1,0,15,4.32,1.31,0,0
Jose Cuas,NA,PHI,NA,NA,NA,NA,NA,NA,NA,NA,8,11.76,4,0,0,7,4.54,1.47,0,0
Justin King,NA,MIA,NA,NA,NA,NA,NA,NA,NA,NA,7,10.29,3,0,0,7,4.39,1.47,0,0
Max Rajcic,NA,STL,NA,NA,NA,NA,NA,NA,NA,NA,8,10.72,4,0,0,7,4.32,1.34,0,0
Mick Abel,NA,PHI,NA,NA,NA,NA,NA,NA,NA,NA,14,19.74,6,1,0,13,4.32,1.41,0,0
Francis Pena,NA,SDP,NA,NA,NA,NA,NA,NA,NA,NA,22,30.799999999999997,10,1,0,18,4.09,1.4,0,0
Kendall Graveman,NA,ARI,NA,NA,NA,NA,NA,NA,NA,NA,41,57.809999999999995,19,2,0,39,4.11,1.41,0,0
Jose E. Hernandez,NA,LAD,NA,NA,NA,NA,NA,NA,NA,NA,7,10.08,3,0,0,6,4.44,1.44,0,0
Eli Morgan,NA,CHC,NA,NA,NA,NA,NA,NA,NA,NA,18,22.86,9,1,0,17,4.26,1.27,0,0
Austin Warren,NA,NYM,NA,NA,NA,NA,NA,NA,NA,NA,8,11.12,4,0,0,7,4.28,1.39,0,0
Trevor McDonald,NA,SFG,NA,NA,NA,NA,NA,NA,NA,NA,32,42.56,14,2,0,26,3.79,1.33,0,0
Sam Moll,NA,CIN,NA,NA,NA,NA,NA,NA,NA,NA,30,42.599999999999994,15,1,0,30,4.54,1.42,0,0
Brent Suter,NA,CIN,NA,NA,NA,NA,NA,NA,NA,NA,48,66.24,24,2,0,37,4.51,1.38,0,0
Carson Ragsdale,NA,SFG,NA,NA,NA,NA,NA,NA,NA,NA,24,31.44,10,1,0,23,3.95,1.31,0,0
Chris Devenski,NA,NYM,NA,NA,NA,NA,NA,NA,NA,NA,25,33.25,12,1,0,23,4.39,1.33,0,0
Brett de Geus,NA,PHI,NA,NA,NA,NA,NA,NA,NA,NA,15,21.9,8,1,0,11,4.45,1.46,0,0
Giovanny Gallegos,NA,LAD,NA,NA,NA,NA,NA,NA,NA,NA,10,13.600000000000001,5,0,0,10,4.58,1.36,0,0
John Rooney,NA,MIA,NA,NA,NA,NA,NA,NA,NA,NA,22,31.68,10,1,0,19,4.14,1.44,0,0
Jack O'Loughlin,NA,COL,NA,NA,NA,NA,NA,NA,NA,NA,10,15.4,5,0,0,7,5.13,1.54,0,0
Antonio Jimenez,NA,SFG,NA,NA,NA,NA,NA,NA,NA,NA,9,12.87,4,0,0,7,4.19,1.43,0,0
Nate Pearson,NA,CHC,NA,NA,NA,NA,NA,NA,NA,NA,34,46.24,16,1,0,35,4.33,1.36,0,0
Tyson Miller,NA,CHC,NA,NA,NA,NA,NA,NA,NA,NA,42,54.6,19,2,0,38,4.15,1.3,0,0
Rolddy Munoz,NA,ATL,NA,NA,NA,NA,NA,NA,NA,NA,13,19.37,6,1,0,11,4.37,1.49,0,0
Lucas Gilbreath,NA,COL,NA,NA,NA,NA,NA,NA,NA,NA,36,55.44,19,2,0,32,4.8,1.54,0,0
Ron Marinaccio,NA,SDP,NA,NA,NA,NA,NA,NA,NA,NA,34,47.599999999999994,16,2,0,33,4.27,1.4,0,0
Devin Sweet,NA,PHI,NA,NA,NA,NA,NA,NA,NA,NA,19,26.03,9,1,0,17,4.42,1.37,0,0
Josh Ekness,NA,MIA,NA,NA,NA,NA,NA,NA,NA,NA,15,21.75,8,1,0,14,4.42,1.45,0,0
John McMillon,NA,PHI,NA,NA,NA,NA,NA,NA,NA,NA,30,43.5,14,1,0,33,4.16,1.45,0,0
Cole Henry,NA,WSN,NA,NA,NA,NA,NA,NA,NA,NA,43,58.480000000000004,21,2,0,41,4.48,1.36,0,0
Domingo Gonzalez,NA,ATL,NA,NA,NA,NA,NA,NA,NA,NA,21,29.189999999999998,10,1,0,21,4.23,1.39,0,0
Alan Rangel,NA,PHI,NA,NA,NA,NA,NA,NA,NA,NA,17,22.27,8,1,0,15,4.43,1.31,0,0
Josh Simpson,NA,MIA,NA,NA,NA,NA,NA,NA,NA,NA,24,35.04,11,1,0,24,4.13,1.46,0,0
Zach Brzykcy,NA,WSN,NA,NA,NA,NA,NA,NA,NA,NA,18,25.02,8,1,0,17,4.25,1.39,0,0
Xzavion Curry,NA,MIA,NA,NA,NA,NA,NA,NA,NA,NA,10,13.799999999999999,5,0,0,8,4.83,1.38,0,0
Jimmy Herget,NA,COL,NA,NA,NA,NA,NA,NA,NA,NA,48,68.16,27,2,0,40,5,1.42,0,0
Alek Jacob,NA,SDP,NA,NA,NA,NA,NA,NA,NA,NA,45,59.400000000000006,21,2,0,40,4.3,1.32,0,0
Seth Johnson,NA,PHI,NA,NA,NA,NA,NA,NA,NA,NA,20,29.2,10,1,0,17,4.64,1.46,0,0
Carlos Hernandez,NA,PHI,NA,NA,NA,NA,NA,NA,NA,NA,41,56.989999999999995,21,2,0,40,4.66,1.39,0,0
Zach Thompson,NA,ATL,NA,NA,NA,NA,NA,NA,NA,NA,34,46.919999999999995,17,2,0,27,4.45,1.38,0,0
Genesis Cabrera,NA,NYM,NA,NA,NA,NA,NA,NA,NA,NA,37,51.43,17,2,0,35,4.12,1.39,0,0
Gavin Hollowell,NA,CHC,NA,NA,NA,NA,NA,NA,NA,NA,24,32.160000000000004,11,1,0,24,4.24,1.34,0,0
Jose Ruiz,NA,PHI,NA,NA,NA,NA,NA,NA,NA,NA,52,71.24000000000001,26,2,0,51,4.49,1.37,0,0
Juan Mejia,NA,COL,NA,NA,NA,NA,NA,NA,NA,NA,19,29.830000000000002,11,1,0,17,4.99,1.57,0,0
Diego Castillo,NA,COL,NA,NA,NA,NA,NA,NA,NA,NA,29,45.53,16,1,0,24,5.09,1.57,0,0
Nick Anderson,NA,STL,NA,NA,NA,NA,NA,NA,NA,NA,22,29.92,10,1,0,19,4.24,1.36,0,0
Luis Patino,NA,SDP,NA,NA,NA,NA,NA,NA,NA,NA,13,18.07,6,1,0,11,4.5,1.39,0,0
Andrew Moore,NA,CIN,NA,NA,NA,NA,NA,NA,NA,NA,22,33.660000000000004,11,1,0,22,4.63,1.53,0,0
Anthony Molina,NA,COL,NA,NA,NA,NA,NA,NA,NA,NA,21,31.29,12,1,0,15,5.1,1.49,0,0
Randy Wynne,NA,CIN,NA,NA,NA,NA,NA,NA,NA,NA,12,17.16,7,0,0,7,5.47,1.43,0,0
Andre Granillo,NA,STL,NA,NA,NA,NA,NA,NA,NA,NA,12,17.52,6,1,0,11,4.55,1.46,0,0
Guillo Zuniga,NA,PHI,NA,NA,NA,NA,NA,NA,NA,NA,13,18.98,7,1,0,10,4.82,1.46,0,0
Jesse Chavez,NA,ATL,NA,NA,NA,NA,NA,NA,NA,NA,39,53.81999999999999,19,2,0,36,4.26,1.38,0,0
Patrick Monteverde,NA,MIA,NA,NA,NA,NA,NA,NA,NA,NA,19,26.409999999999997,9,1,0,15,4.44,1.39,0,0
Matt Sauer,NA,LAD,NA,NA,NA,NA,NA,NA,NA,NA,24,33.599999999999994,13,1,0,20,4.81,1.4,0,0
Scott Blewett,NA,ATL,NA,NA,NA,NA,NA,NA,NA,NA,37,50.690000000000005,18,2,0,30,4.29,1.37,0,0
Tom Cosgrove,NA,CHC,NA,NA,NA,NA,NA,NA,NA,NA,29,40.309999999999995,14,1,0,26,4.19,1.39,0,0
Chris Roycroft,NA,STL,NA,NA,NA,NA,NA,NA,NA,NA,33,48.18,16,2,0,27,4.26,1.46,0,0
Zach Maxwell,NA,CIN,NA,NA,NA,NA,NA,NA,NA,NA,27,40.23,14,1,0,28,4.62,1.49,0,0
Joan Adon,NA,WSN,NA,NA,NA,NA,NA,NA,NA,NA,32,44.8,15,1,0,27,4.27,1.4,0,0
Bradgley Rodriguez,NA,SDP,NA,NA,NA,NA,NA,NA,NA,NA,24,34.32,11,1,0,23,4.32,1.43,0,0
Ryan Loutos,NA,STL,NA,NA,NA,NA,NA,NA,NA,NA,20,28.599999999999998,10,1,0,16,4.32,1.43,0,0
John Curtiss,NA,ARI,NA,NA,NA,NA,NA,NA,NA,NA,17,24.31,9,1,0,12,4.85,1.43,0,0
Noah Davis,NA,LAD,NA,NA,NA,NA,NA,NA,NA,NA,30,39.900000000000006,15,1,0,26,4.42,1.33,0,0
Kyle Nicolas,NA,PIT,NA,NA,NA,NA,NA,NA,NA,NA,41,59.86,20,2,0,40,4.4,1.46,0,0
Omar Cruz,NA,SDP,NA,NA,NA,NA,NA,NA,NA,NA,28,38.36,13,1,0,26,4.3,1.37,0,0
Rafael Montero,NA,ATL,NA,NA,NA,NA,NA,NA,NA,NA,46,69.92,24,2,0,45,4.62,1.52,0,0
Kyle Tyler,NA,PHI,NA,NA,NA,NA,NA,NA,NA,NA,36,50.4,18,2,0,27,4.43,1.4,0,0
Tanner Rainey,NA,PIT,NA,NA,NA,NA,NA,NA,NA,NA,27,39.15,14,1,0,24,4.76,1.45,0,0
Jefry Yan,NA,COL,NA,NA,NA,NA,NA,NA,NA,NA,27,43.74,15,1,0,25,4.88,1.62,0,0
Andry Lara,NA,WSN,NA,NA,NA,NA,NA,NA,NA,NA,30,41.699999999999996,15,1,0,22,4.46,1.39,0,0
Logan Gillaspie,NA,SDP,NA,NA,NA,NA,NA,NA,NA,NA,39,53.43000000000001,19,2,0,31,4.42,1.37,0,0
Tyler Zuber,NA,NYM,NA,NA,NA,NA,NA,NA,NA,NA,28,39.76,15,1,0,24,4.68,1.42,0,0
Evan Justice,NA,COL,NA,NA,NA,NA,NA,NA,NA,NA,16,27.2,9,1,0,14,5.4,1.7,0,0
Orlando Ribalta,NA,WSN,NA,NA,NA,NA,NA,NA,NA,NA,34,50.32,18,1,0,31,4.86,1.48,0,0
Michael Mercado,NA,PHI,NA,NA,NA,NA,NA,NA,NA,NA,25,35.5,13,1,0,22,4.76,1.42,0,0
J.P. Feyereisen,NA,ARI,NA,NA,NA,NA,NA,NA,NA,NA,48,65.76,23,3,0,38,4.26,1.37,0,0
Michael Petersen,NA,ATL,NA,NA,NA,NA,NA,NA,NA,NA,37,51.059999999999995,19,2,0,35,4.61,1.38,0,0
Joel Peguero,NA,SFG,NA,NA,NA,NA,NA,NA,NA,NA,29,41.76,14,1,0,22,4.37,1.44,0,0
Bryce Jarvis,NA,ARI,NA,NA,NA,NA,NA,NA,NA,NA,31,44.949999999999996,15,1,0,26,4.36,1.45,0,0
Spencer Bivens,NA,SFG,NA,NA,NA,NA,NA,NA,NA,NA,45,62.099999999999994,21,2,0,35,4.28,1.38,0,0
Brad Keller,NA,CHC,NA,NA,NA,NA,NA,NA,NA,NA,49,69.58,23,3,0,41,4.3,1.42,0,0
Sean Reynolds,NA,SDP,NA,NA,NA,NA,NA,NA,NA,NA,41,58.629999999999995,19,2,0,39,4.29,1.43,0,0
Colin Poche,NA,WSN,NA,NA,NA,NA,NA,NA,NA,NA,48,66.72,24,3,0,45,4.44,1.39,0,0
Elvin Rodriguez,NA,MIL,NA,NA,NA,NA,NA,NA,NA,NA,28,37.800000000000004,15,1,0,25,4.9,1.35,0,0
Zach Agnos,Big Red Machine,COL,NA,NA,NA,NA,NA,NA,NA,NA,47,64.86,26,3,0,40,4.98,1.38,0,0
Lou Trivino,NA,SFG,NA,NA,NA,NA,NA,NA,NA,NA,47,66.74,24,3,0,45,4.48,1.42,0,0
Jackson Rutledge,NA,WSN,NA,NA,NA,NA,NA,NA,NA,NA,44,62.04,22,2,0,39,4.57,1.41,0,0
Cade Gibson,NA,MIA,NA,NA,NA,NA,NA,NA,NA,NA,28,41.72,15,1,0,19,4.79,1.49,0,0
Eduardo Salazar,NA,WSN,NA,NA,NA,NA,NA,NA,NA,NA,50,71.5,25,2,2,37,4.5,1.43,0,0
Ben Casparius,NA,LAD,NA,NA,NA,NA,NA,NA,NA,NA,45,61.650000000000006,23,2,0,44,4.53,1.37,0,0
Lake Bachar,NA,MIA,NA,NA,NA,NA,NA,NA,NA,NA,48,67.67999999999999,24,2,0,45,4.49,1.41,0,0
Jaden Hill,NA,COL,NA,NA,NA,NA,NA,NA,NA,NA,43,62.78,24,2,0,39,4.94,1.46,0,0
Matt Svanson,NA,STL,NA,NA,NA,NA,NA,NA,NA,NA,46,66.24,23,3,0,32,4.49,1.44,0,0
Roddery Munoz,NA,STL,NA,NA,NA,NA,NA,NA,NA,NA,41,57.809999999999995,21,2,0,37,4.62,1.41,0,0
