Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Juan Soto","NYM",152,664,518,143,83,25,2,33,108,99,139,14,105,3,4,0,8,7,3,0.276062,0.209337,0.158133,1.32381,0.429217,0.523166,0.405634,0.952383,0.247104,3.67311,0.286458,,-1.48032,128.687,51.0137,166.2,-1.48032,-3.9,51.083266854286194,-11.219223976135254,6.40193,999,,,,,,,1107.8,7.288157894,1107.8,7.288157894,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Aaron Judge","NYY",139,603,492,133,69,24,0,40,93,108,102,14,162,5,4,0,12,7,1,0.270325,0.169154,0.268657,0.62963,0.39801,0.563008,0.402672,0.961018,0.292683,3.17676,0.316327,,-0.283579,115.427,44.8896,167.032,-0.283579,-6.4,45.96563917398453,-4.184391736984253,6.39434,999,,,,,,,1029.9,7.409352517,1029.9,7.409352517,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Shohei Ohtani","LAD",152,677,586,168,87,33,4,44,124,134,82,6,154,5,4,0,9,36,4,0.286689,0.121123,0.227474,0.532468,0.376662,0.581911,0.403313,0.958573,0.295222,6.90101,0.316327,,4.25405,129.942,50.7478,162.822,4.25405,0,55.11249542236328,-17.412551879882812,6.22316,999,,,,,,,1205.1,7.928289473,1205.1,7.928289473,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Bobby Witt Jr.","KCR",152,661,599,173,100,36,7,30,104,102,49,8,109,6,7,0,4,25,10,0.288815,0.0741301,0.164902,0.449541,0.344932,0.522538,0.365275,0.867469,0.233723,6.5783,0.30621,,-0.21025,106.634,29.3115,136.264,-0.21025,3.1,27.2167709171772,10.386155128479004,6.16281,999,,,,,,,980.6,6.451315789,980.6,6.451315789,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Gunnar Henderson","BAL",152,658,573,156,92,29,6,29,107,98,74,6,144,6,5,0,1,16,3,0.272251,0.112462,0.218845,0.513889,0.358663,0.495637,0.364504,0.8543,0.223386,6.37416,0.31358,,0.674839,105.742,28.7703,142.814,0.674839,-3.7,32.90938538312912,3.553086519241333,6.03469,999,,,,,,,953.5,6.273026315,953.5,6.273026315,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Julio Rodríguez","SEA",152,656,599,166,108,28,2,28,93,95,47,11,148,8,2,0,3,25,6,0.277129,0.0716463,0.22561,0.317568,0.33689,0.470785,0.343393,0.807675,0.193656,5.5763,0.324706,,1.37031,94.2741,17.5365,131.72,1.37031,5,25.17917227745056,7.410346746444702,5.6278,999,,,,,,,882.1,5.803289473,882.1,5.803289473,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Elly De La Cruz","CIN",152,653,583,157,90,33,7,27,107,92,64,10,181,4,1,1,2,52,12,0.269297,0.0980092,0.277182,0.353591,0.345092,0.488851,0.354071,0.833943,0.219554,8.11297,0.345745,,4.37184,99.455,23.0683,121.506,4.37184,1.3,21.164977550506592,8.497971773147583,5.31053,999,,,,,,,954.8,6.281578947,954.8,6.281578947,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
"Yordan Alvarez","HOU",145,612,526,153,85,31,2,35,90,102,71,13,106,10,5,0,10,3,0,0.290875,0.116013,0.173203,0.669811,0.382353,0.557034,0.393858,0.939387,0.26616,3.42722,0.302564,,-0.607541,112.809,41.2181,162.384,-0.607541,0,43.076980113983154,-15.740740776062012,4.93353,999,,,,,,,1009.8,6.964137931,1009.8,6.964137931,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"José Ramírez","CLE",143,613,545,145,83,34,3,25,86,88,59,7,74,3,6,0,14,21,4,0.266055,0.096248,0.120718,0.797297,0.337684,0.477064,0.346268,0.814748,0.211009,5.74585,0.265487,,1.49082,89.5132,17.8056,128.606,1.49082,3,21.555168390274048,5.252351522445679,4.88237,999,,,,,,,832.4,5.82097902,832.4,5.82097902,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Adley Rutschman","BAL",135,572,500,130,84,28,1,17,69,69,63,8,89,4,5,0,3,1,0,0.26,0.11014,0.155594,0.707865,0.344406,0.422,0.330504,0.766406,0.162,2.53136,0.283208,,-0.928616,76.2688,9.35736,118.898,-0.928616,6,11.440186619758606,16.50852394104004,4.85886,999,,,,,,,677.6,5.019259259,677.6,5.019259259,,,,,,,,,,,,,,,,,,,"Adley Rutschman","26288",668939
"Cal Raleigh","SEA",135,523,465,106,57,21,1,27,62,77,51,7,141,3,4,0,2,2,1,0.227957,0.0975143,0.269598,0.361702,0.305927,0.451613,0.32173,0.75754,0.223656,2.68818,0.262458,,-0.825818,66.0418,4.86223,116.481,-0.825818,10.3,9.03706431388855,19.908318519592285,4.79283,999,,,,,,,612,4.533333333,612,4.533333333,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Francisco Lindor","NYM",144,628,555,140,87,28,2,23,89,83,58,7,117,9,5,1,2,17,3,0.252252,0.0923567,0.186306,0.495726,0.330144,0.434234,0.32868,0.764378,0.181982,5.49358,0.278571,,1.02479,82.8136,9.35134,114.404,1.02479,6.6,11.842005848884583,13.522398471832275,4.78056,999,,,,,,,762.7,5.296527777,762.7,5.296527777,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Ronald Acuña Jr.","ATL",123,558,475,138,84,26,2,26,107,77,71,8,103,9,3,0,2,33,7,0.290526,0.12724,0.184588,0.68932,0.390681,0.517895,0.387356,0.908576,0.227368,6.55324,0.320917,,2.53374,99.935,34.6612,149.191,2.53374,-1.6,35.35695290565491,-7.7507935762405396,4.77121,999,,,,,,,912.1,7.415447154,912.1,7.415447154,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Jackson Merrill","SDP",152,587,544,154,100,26,5,23,77,86,34,5,94,1,5,3,2,14,3,0.283088,0.0579216,0.160136,0.361702,0.32363,0.476103,0.33952,0.799733,0.193015,5.7431,0.303241,,0.558966,82.5285,13.8624,121.864,0.558966,6.7,15.906023263931274,8.85681939125061,4.57735,999,,,,,,,761.7,5.01118421,761.7,5.01118421,,,,,,,,,,,,,,,,,,,"Jackson Merrill","29490",701538
"Fernando Tatis Jr.","SDP",126,539,481,131,72,28,1,30,86,84,50,11,115,5,3,0,1,15,3,0.272349,0.0927644,0.213358,0.434783,0.345083,0.52183,0.363945,0.866913,0.24948,5.2074,0.297935,,0.86946,86.3759,23.3247,138.303,0.86946,5.9,25.557484328746796,-0.041357994079589844,4.48998,999,,,,,,,806.6,6.401587301,806.6,6.401587301,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Michael Harris II","ATL",144,583,543,158,103,30,4,21,80,79,31,10,110,6,3,0,2,16,4,0.290976,0.0531732,0.188679,0.281818,0.334477,0.47698,0.343183,0.811457,0.186004,5.7284,0.33012,,0.553959,83.6849,15.4866,119.459,0.553959,7.6,14.120224595069885,9.742122173309326,4.47059,999,,,,,,,779.2,5.411111111,779.2,5.411111111,,,,,,,,,,,,,,,,,,,"Michael Harris II","25931",671739
"Corey Seager","TEX",125,538,474,128,77,25,1,25,70,78,56,9,94,4,4,0,8,1,1,0.270042,0.104089,0.174721,0.595745,0.349442,0.485232,0.354164,0.834674,0.21519,2.31098,0.286908,,-1.21524,81.9805,19.0463,132.935,-1.21524,0.3,19.058773279190063,6.230335056781769,4.46694,999,,,,,,,735.1,5.8808,735.1,5.8808,,,,,,,,,,,,,,,,,,,"Corey Seager","13624",608369
"Wyatt Langford","TEX",148,618,551,149,89,30,5,25,91,92,59,5,117,5,3,0,2,18,4,0.270417,0.0954693,0.18932,0.504274,0.34466,0.479129,0.352544,0.823789,0.208711,6.11613,0.300971,,0.811896,93.3649,21.0725,131.795,0.811896,4.9,23.29462867975235,-1.9121689796447754,4.33933,999,,,,,,,848.9,5.73581081,848.9,5.73581081,,,,,,,,,,,,,,,,,,,"Wyatt Langford","33333",694671
"Andrés Giménez","TOR",152,604,544,144,101,27,3,13,67,70,33,10,99,20,4,3,2,24,4,0.264706,0.0546358,0.163907,0.333333,0.327787,0.397059,0.312337,0.724846,0.132353,5.92034,0.300459,,2.04347,71.704,1.0492,104.843,2.04347,13.9,5.390558242797852,16.119282484054565,4.30421,999,,,,,,,673.4,4.430263157,673.4,4.430263157,,,,,,,,,,,,,,,,,,,"Andres Gimenez","19950",665926
"Corbin Carroll","ARI",152,651,564,146,89,25,10,22,109,88,68,5,128,11,5,3,1,32,6,0.258865,0.104455,0.196621,0.53125,0.347222,0.455674,0.345507,0.802896,0.196809,8.33018,0.295943,,2.6835,94.6635,18.5108,120.582,2.6835,-1.6,18.705984354019165,0.7919753789901733,4.25383,999,,,,,,,870.9,5.729605263,870.9,5.729605263,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
"William Contreras","MIL",135,561,494,133,85,27,1,20,75,74,62,15,116,3,2,0,3,5,1,0.269231,0.110517,0.206774,0.534483,0.352941,0.449393,0.340563,0.802334,0.180162,3.67162,0.313889,,-0.470483,79.3438,13.7191,118.517,-0.470483,-0.3,11.951330542564392,10.006437480449677,4.19818,999,,,,,,,724.5,5.366666666,724.5,5.366666666,,,,,,,,,,,,,,,,,,,"William Contreras","20503",661388
"Mookie Betts","LAD",126,561,479,131,80,28,2,21,87,78,72,6,77,5,5,0,3,11,2,0.273486,0.128342,0.137255,0.935065,0.370766,0.471816,0.362102,0.842583,0.19833,4.96754,0.284974,,0.198231,89.0693,23.4446,135.084,0.198231,-8.3,23.73452827334404,-2.116137981414795,4.16313,999,,,,,,,790.9,6.276984126,790.9,6.276984126,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Riley Greene","DET",137,584,513,138,86,26,5,21,81,74,63,9,143,5,3,0,2,5,2,0.269006,0.107877,0.244863,0.440559,0.35274,0.461988,0.348258,0.814728,0.192982,4.84923,0.332386,,-0.954414,86.2136,17.8984,129.953,-0.954414,7.9,19.060692131519318,1.4626102447509766,4.13336,999,,,,,,,769,5.613138686,769,5.613138686,,,,,,,,,,,,,,,,,,,"Riley Greene","25976",682985
"Carson Williams","TBR",129,552,495,120,72,23,5,20,74,75,46,8,171,8,3,0,1,18,8,0.242424,0.0833333,0.309783,0.269006,0.315217,0.430303,0.31843,0.74552,0.187879,6.56284,0.325733,,-0.571357,68.2375,3.66557,111.831,-0.571357,8.5,6.90096253156662,14.584656238555908,4.1224,999,,,,,,,634,4.914728682,634,4.914728682,,,,,,,,,,,,,,,,,,,"Carson Williams","sa3017795",700246
"Pete Crow-Armstrong","CHC",141,554,504,130,82,23,7,18,85,76,32,3,137,9,3,6,2,31,5,0.257937,0.0577617,0.247292,0.233577,0.312044,0.438492,0.322278,0.750536,0.180556,8.51633,0.318182,,3.22788,70.2006,5.39475,109.127,3.22788,9.5,9.274430990219116,11.535567283630371,4.05555,999,,,,,,,667.7,4.735460992,667.7,4.735460992,,,,,,,,,,,,,,,,,,,"Pete Crow-Armstrong","27769",691718
"Vladimir Guerrero Jr.","TOR",152,657,577,166,104,33,0,29,91,96,71,20,91,6,3,0,8,4,2,0.287695,0.108067,0.138508,0.78022,0.369863,0.495667,0.364208,0.86553,0.207972,2.56485,0.297826,,-1.28069,105.424,28.5699,141.33,-1.28069,-2,29.78871750831604,-14.07010555267334,3.88886,999,,,,,,,953.9,6.275657894,953.9,6.275657894,,,,,,,,,,,,,,,,,,,"Vladimir Guerrero Jr.","19611",665489
"Matt McLain","CIN",126,556,487,125,73,28,4,20,74,78,57,8,148,10,2,0,1,17,6,0.256674,0.102518,0.266187,0.385135,0.345324,0.453799,0.34272,0.799123,0.197125,5.81461,0.327103,,-0.0718382,79.602,14.5621,113.866,-0.0718382,3.1,9.147298082709312,9.228747844696045,3.81106,999,,,,,,,721.5,5.726190476,721.5,5.726190476,,,,,,,,,,,,,,,,,,,"Matt McLain","29695",680574
"Jazz Chisholm Jr.","NYY",138,558,500,126,77,21,3,25,75,86,49,4,138,4,3,2,3,28,7,0.252,0.0878136,0.247312,0.355072,0.321942,0.456,0.333581,0.777942,0.204,6.29939,0.297059,,1.77051,75.7839,10.5101,118.432,1.77051,2.5,13.538832902908325,4.550264596939087,3.7923,999,,,,,,,711.2,5.153623188,711.2,5.153623188,,,,,,,,,,,,,,,,,,,"Jazz Chisholm Jr.","20454",665862
"Austin Riley","ATL",141,601,535,144,84,30,2,28,83,86,51,12,145,9,6,0,1,1,0,0.269159,0.0848586,0.241265,0.351724,0.339434,0.48972,0.349107,0.829154,0.220561,2.99024,0.315217,,-0.8418,89.1339,18.8301,123.446,-0.8418,-1.9,16.008654594421387,0.30825984477996826,3.75325,999,,,,,,,814.9,5.779432624,814.9,5.779432624,,,,,,,,,,,,,,,,,,,"Austin Riley","18360",663586
"Will Smith","LAD",131,546,469,116,73,22,2,19,72,71,56,9,100,13,8,0,4,2,0,0.247335,0.102564,0.18315,0.56,0.338828,0.424307,0.327443,0.763135,0.176972,3.5603,0.27095,,-0.649692,71.4566,7.5866,111.756,-0.649692,0.8,7.02617871761322,10.830863773822784,3.72305,999,,,,,,,645.2,4.925190839,645.2,4.925190839,,,,,,,,,,,,,,,,,,,"Will Smith","19197",669257
"Isaac Paredes","HOU",152,591,504,122,71,25,1,25,68,88,69,14,95,14,4,0,1,1,1,0.242063,0.116751,0.160745,0.726316,0.34687,0.444444,0.33757,0.791314,0.202381,2.144,0.25,,-1.30995,82.163,13.0289,122.789,-1.30995,-0.2,14.100761890411377,1.9715166538953781,3.6978,999,,,,,,,740.5,4.871710526,740.5,4.871710526,,,,,,,,,,,,,,,,,,,"Isaac Paredes","20036",670623
"Zach Neto","LAA",145,575,510,130,76,30,1,23,74,80,41,12,125,19,2,3,1,22,7,0.254902,0.0713044,0.217391,0.328,0.332168,0.452941,0.334005,0.785109,0.198039,5.28986,0.293956,,0.586295,78.2889,11.0265,116.965,0.586295,-1.9,11.747697532176971,4.438183426856995,3.65436,999,,,,,,,729.1,5.028275862,729.1,5.028275862,,,,,,,,,,,,,,,,,,,"Zach Neto","31347",687263
"Willy Adames","SFG",150,632,565,139,83,33,1,22,76,80,61,11,144,2,4,0,2,11,3,0.246018,0.096519,0.227848,0.423611,0.31962,0.424779,0.317483,0.744399,0.178761,4.1972,0.290323,,-0.0804962,77.6455,3.71534,105.321,-0.0804962,3.2,3.941186524927616,10.166490316390991,3.63176,999,,,,,,,723.1,4.820666666,723.1,4.820666666,,,,,,,,,,,,,,,,,,,"Willy Adames","15986",642715
"Jordan Westburg","BAL",124,521,473,123,75,27,4,17,70,70,37,8,117,8,2,1,0,7,2,0.260042,0.0710173,0.224568,0.316239,0.323077,0.44186,0.32607,0.764937,0.181818,5.38887,0.31085,,-0.293964,67.609,6.66347,115.779,-0.293964,6.4,9.112448036670685,8.31431519985199,3.59632,999,,,,,,,619.4,4.99516129,619.4,4.99516129,,,,,,,,,,,,,,,,,,,"Jordan Westburg","27815",676059
