Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Josiah Gray","WSN",9,12,,4.87261,31,31,0,0,173,755,166,100,94,30,77,,8,162,8.44957,4.03568,2.09372,1.54914,0.214742,0.102565,0.11217694729566574,0.248421,1.41104,0.285997,0.710528,,,5.10588,1.39487,1.46434,386.04998779296875,,,,"24580"
"Clayton Kershaw","LAD",6,4,,3.63668,13,13,0,0,71,295,66,31,29,10,18,,2,72,9.09634,2.31809,3.92406,1.25839,0.244583,0.0623291,0.1822541207075119,0.240246,1.18243,0.29085,0.752843,,,3.89944,1.38263,1.45581,456.8399963378906,,,,"2036"
"Emmanuel Clase","CLE",5,3,,3.0156,66,0,33,2,66,267,57,24,22,6,18,,2,69,9.35464,2.41283,3.87704,0.761,0.256482,0.066154,0.19032786786556244,0.230326,1.13431,0.296435,0.75428,,,3.15055,1.35707,1.68996,53.900001525878906,,,,"21032"
"Alex Wood","OAK",7,9,,4.33101,30,24,0,1,138,599,138,72,67,17,46,,11,119,7.73296,3.01518,2.56468,1.10657,0.198509,0.0774011,0.12110777199268341,0.254213,1.32962,0.297461,0.697868,,,4.38273,1.35566,1.30203,567.3099975585938,,,,"13781"
"Colin Rea",,6,7,,4.52918,35,21,0,1,127,540,129,69,64,20,36,,4,111,7.84679,2.55119,3.07574,1.43363,0.204955,0.0666361,0.1383192390203476,0.256977,1.29516,0.29335,0.700924,,,4.53313,1.35447,1.21714,523.0499877929688,,,,"12317"
"Ross Stripling","OAK",6,8,,4.29068,36,23,0,1,137,581,141,70,65,20,36,,4,114,7.51013,2.37093,3.16758,1.30204,0.196762,0.0621174,0.13464462012052536,0.260145,1.29091,0.297191,0.714935,,,4.34081,1.34738,1.28769,529.6300048828125,,,,"13273"
"Tanner Scott","MIA",5,4,,3.21411,66,0,27,4,66,277,51,26,24,6,29,,4,89,12.1276,3.92535,3.08957,0.839264,0.320712,0.103805,0.2169073149561882,0.209484,1.21175,0.301702,0.760551,,,3.26988,1.34199,1.59525,98.18000030517578,,,,"17586"
"Edward Cabrera","MIA",7,8,,4.27385,23,23,0,0,114,495,101,59,54,14,56,,6,122,9.56605,4.39423,2.17696,1.11667,0.246055,0.113027,0.13302770256996155,0.233342,1.3691,0.292421,0.717295,,,4.3767,1.33801,1.54445,288.1300048828125,,,,"21690"
"Gavin Williams","CLE",7,8,,4.17839,26,26,0,0,135,573,121,67,63,19,54,,7,136,9.10483,3.58731,2.53806,1.24418,0.237698,0.0936532,0.1440446674823761,0.235964,1.29713,0.286034,0.72195,,,4.37312,1.33627,1.75036,163,,,,"30122"
"Ryan Feltner","COL",6,8,,5.28946,23,23,0,0,115,510,122,72,68,19,48,,4,101,7.89028,3.77296,2.09127,1.45936,0.198025,0.0946914,0.10333393514156342,0.267143,1.47973,0.306506,0.680116,,,4.98173,1.32559,1.32845,747.9500122070312,,,,"21446"
"Devin Williams","MIL",6,4,,3.05409,65,0,29,1,65,268,46,24,22,7,30,,2,91,12.636,4.12626,3.06233,0.977132,0.340619,0.111229,0.2293899580836296,0.196122,1.16957,0.285121,0.782398,,,3.34678,1.29908,1.77199,44.31999969482422,,,,"15816"
"Chase Silseth","LAA",6,7,,4.3474,27,21,0,1,114,489,108,59,55,16,47,,5,111,8.77623,3.74261,2.34495,1.2434,0.226592,0.0966298,0.12996240705251694,0.246356,1.36313,0.296178,0.718114,,,4.47565,1.2876,1.52225,345.0199890136719,,,,"30074"
"Louie Varland","MIN",7,7,,4.16895,42,18,0,1,124,527,121,62,57,17,37,,5,117,8.5022,2.66,3.19632,1.22054,0.222475,0.0696035,0.15287136286497116,0.249959,1.2734,0.297426,0.71395,,,4.13136,1.28584,1.33791,310.44000244140625,,,,"27691"
"Austin Gomber","COL",7,12,,5.50394,28,28,0,0,151,665,174,99,93,27,49,,5,107,6.38474,2.92439,2.18327,1.60843,0.161478,0.0739615,0.08751661330461502,0.283992,1.47169,0.307328,0.667601,,,5.22528,1.27921,1.3588,743.6300048828125,,,,"16561"
"Kyle Bradish","BAL",6,5,,3.82002,16,16,0,0,89,373,82,41,38,10,29,,4,86,8.69677,2.98076,2.91763,1.05863,0.2297,0.0787282,0.1509718894958496,0.239734,1.2506,0.291433,0.728634,,,3.96677,1.26989,1.48846,322.239990234375,,,,"24586"
"Paul Blackburn","OAK",7,9,,4.40561,26,26,0,0,137,601,144,73,67,17,47,,5,110,7.21001,3.09295,2.33111,1.12873,0.183131,0.0785593,0.10457124561071396,0.263028,1.39397,0.301601,0.710849,,,4.4274,1.26968,1.20651,556.5,,,,"14739"
"Raisel Iglesias","ATL",5,3,,3.35191,66,0,31,3,66,271,57,27,25,8,17,,2,80,10.9299,2.37206,4.60776,1.15362,0.295705,0.0641753,0.23152917623519897,0.226613,1.12837,0.297793,0.761485,,,3.36457,1.25433,1.44618,59.849998474121094,,,,"17130"
