Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Aaron Judge","NYY",104,449,365,107,55,18,1,33,77,83,77,9,110,4,3,0,,6,2,0.294716,0.17212,0.244565,0.703779,0.420733,0.621782,0.439062,1.04251,0.327066,3.95481,0.331037,-0.403845,-0.41807,96.0715,44.528,189.813,-0.821915,-1.17847,44.572837233543396,-6.969208240509033,5.45993,3.119999885559082,,,,,,,851.1,8.183653846,851.1,8.183653846,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Bobby Witt Jr.","KCR",102,440,398,118,70,25,5,19,69,61,33,4,71,4,4,1,,23,7,0.295405,0.0758539,0.160898,0.47144,0.353574,0.520268,0.374564,0.873842,0.224862,7.00449,0.317053,1.91196,1.04016,71.7185,21.1475,139.908,2.95213,1.8857,22.742684841156006,6.604222774505615,4.56948,1.6299999952316284,,,,,,,677.5,6.642156862,677.5,6.642156862,,,,,,,,,,,,,,,,,,,"Bobby Witt Jr.","25764",677951
"Fernando Tatis Jr.","SDP",103,444,396,113,68,21,2,23,72,62,40,1,88,4,2,1,,17,4,0.286355,0.0901099,0.198795,0.453279,0.356314,0.523612,0.380252,0.879926,0.237257,5.71169,0.31407,1.56813,1.04146,74.2849,23.317,147.277,2.60959,2.93289,27.17354917526245,-1.9547622203826904,4.16749,11.619999885559082,,,,,,,678.4,6.586407766,678.4,6.586407766,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Mookie Betts","LAD",100,431,373,105,63,21,2,18,68,60,51,1,54,4,3,0,,9,2,0.280291,0.118509,0.125794,0.942089,0.369907,0.491879,0.375237,0.861787,0.211588,5.26214,0.285533,0.157759,0.160474,70.4218,20.9275,141.894,0.318233,-2.03957,21.455665051937103,2.319230079650879,3.97243,13.65999984741211,,,,,,,633,6.33,633,6.33,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Juan Soto","NYM",103,445,355,97,56,18,1,22,71,62,84,4,72,2,3,0,,5,2,0.273933,0.188415,0.16247,1.15969,0.41325,0.517033,0.403819,0.930283,0.2431,3.91264,0.285915,-1.72598,-0.733866,82.7303,31.673,163.09,-2.45984,-2.1438,30.377166748046875,-7.166952610015869,3.96062,7.079999923706055,,,,,,,714.8,6.939805825,714.8,6.939805825,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Shohei Ohtani","LAD",98,422,362,104,55,19,4,26,76,65,54,7,96,3,2,0,,22,6,0.28733,0.128021,0.228307,0.56074,0.381499,0.579281,0.406775,0.960781,0.291951,7.26547,0.321057,1.84361,1.40031,79.4993,31.0471,163.274,3.24392,0,34.49645376205444,-10.54861068725586,3.95906,1.5499999523162842,,,,,,,738.7,7.537755102,738.7,7.537755102,,,,,,,,,,,,,,,,,,,"Shohei Ohtani","19755",660271
"Kyle Tucker","CHC",102,440,376,106,62,21,2,21,67,67,59,4,64,2,3,0,,16,3,0.281514,0.133226,0.145986,0.912592,0.378022,0.518114,0.38588,0.896136,0.236601,5.79175,0.28829,1.47483,0.981596,75.6213,25.0851,149.958,2.45642,-0.0133369,28.193427324295044,-5.247132986783981,3.91738,8.710000038146973,,,,,,,692.3,6.787254901,692.3,6.787254901,,,,,,,,,,,,,,,,,,,"Kyle Tucker","18345",663656
"Francisco Lindor","NYM",103,445,394,103,64,20,1,19,66,58,39,1,81,7,3,1,,15,3,0.262077,0.0877706,0.181967,0.482344,0.337172,0.46083,0.34872,0.798002,0.198753,5.69955,0.284217,1.00381,0.896204,63.2895,12.2323,125.738,1.90001,2.41763,15.296257495880127,7.01947808265686,3.8673,14.149999618530273,,,,,,,583.2,5.662135922,583.2,5.662135922,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Julio Rodríguez","SEA",103,444,402,109,70,18,2,18,63,58,34,2,104,6,2,0,,18,5,0.270162,0.0761099,0.233502,0.325949,0.333881,0.462783,0.346584,0.796665,0.192621,5.95606,0.319714,1.48083,1.022,62.4875,11.47,131.012,2.50283,2.17546,18.017295122146606,3.5004597902297974,3.76594,13.710000038146973,,,,,,,581.4,5.644660194,581.4,5.644660194,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"José Ramírez","CLE",102,440,392,108,63,24,2,19,61,65,42,8,53,2,4,0,,21,5,0.274447,0.0950192,0.119447,0.795489,0.344347,0.492336,0.356612,0.836683,0.21789,5.65576,0.272569,2.0737,1.58761,65.342,14.8504,132.955,3.66131,-0.00201206,19.977931022644043,1.1757657090201974,3.71228,4.900000095367432,,,,,,,630.3,6.179411764,630.3,6.179411764,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Gunnar Henderson","BAL",98,421,373,98,56,19,3,19,64,55,42,1,96,3,2,0,,11,3,0.262344,0.100769,0.228406,0.441185,0.340887,0.487794,0.359293,0.828681,0.22545,6.25615,0.302068,0.903681,0.358353,63.5161,15.1284,136.222,1.26203,-1.15036,18.449129700660706,3.2008724212646484,3.70134,9.329999923706055,,,,,,,574.1,5.858163265,574.1,5.858163265,,,,,,,,,,,,,,,,,,,"Gunnar Henderson","26289",683002
"Ronald Acuña Jr.","ATL",93,403,347,100,63,19,2,17,70,49,48,2,74,6,2,1,,24,8,0.287381,0.118458,0.184209,0.643064,0.380471,0.49464,0.38187,0.875111,0.207259,6.40312,0.32183,3.1799,0.880285,67.9758,21.6918,143.491,4.06019,-0.881243,24.58031177520752,-5.396058201789856,3.3967,37.599998474121094,,,,,,,624.5,6.715053763,624.5,6.715053763,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Corbin Carroll","ARI",101,436,380,100,58,19,7,17,73,53,43,1,88,7,3,2,,24,5,0.263364,0.0994309,0.202203,0.491738,0.347391,0.481415,0.360269,0.828806,0.218051,8.3988,0.299482,3.31497,2.1068,65.9897,15.9744,128.405,5.42177,1.63931,19.904114246368408,-2.7680978775024414,3.29547,7.889999866485596,,,,,,,616.4,6.102970297,616.4,6.102970297,,,,,,,,,,,,,,,,,,,"Corbin Carroll","25878",682998
