Melonheads(74 pts),,
2B,"Otto LopezDTD
Mia2B",Draft
3B,"Kyle Farmer
Col2B, 3B",Free Agency
SS,"Xander Bogaerts
SD2B, SS",Draft
2B/SS,"Bryson Stott
Phi2B",Draft
1B/3B,"Enrique Hernandez
LAD3B, 1B",Free Agency
OF,"Mookie Betts
LADSS, OF",Draft
OF,"Sal Frelick
MilOF",Draft
OF,"James Wood
WshOF",Draft
OF,"Lourdes Gurriel Jr.
AriOF",Draft
OF,"Juan Soto
NYMOF",Draft
DH,"Christian Yelich
MilOF, DH",Draft
UTIL,"Tyrone Taylor
NYMOF",Free Agency
P,"Trevor Megill
MilRP",Draft
P,"Sonny Gray
StLSP",Draft
P,"Brady Singer
CinSP",Draft
P,"Camilo Doval
SFRP",Draft
P,"Andrew Heaney
PitSP",Draft
P,"Andre Pallante
StLSP, RP",Free Agency
P,"Taijuan Walker
PhiSP",Free Agency
P,"Griffin Canning
NYMSP",Free Agency
P,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
IL,"Ranger SuarezIL15
PhiSP",Draft
IL,"Ezequiel TovarIL10
ColSS",Draft
IL,"Justin SteeleIL60
ChCSP",Draft
IL,"Justin MartinezIL15
AriRP",Draft
IL,"Aaron CivaleIL15
MilSP",Draft
IL,"Nick FortesIL10
MiaC",Draft
IL,Empty,
IL,Empty,
View TeamPropose Trade,,
Big Red Machine(56.5 pts),,
SLOT,PLAYER,ACQ
C,"Sean Murphy
AtlC",Draft
C,"Pedro Pages
StLC",Free Agency
1B,"Michael Busch
ChC1B",Draft
2B,"Jose Iglesias
SD2B, 3B",Free Agency
3B,"Joey Ortiz
Mil3B, SS",Draft
SS,"Dansby Swanson
ChCSS",Draft
2B/SS,"Caleb Durbin
Mil2B, 3B",Draft
1B/3B,"Josh Naylor
Ari1B",Draft
OF,"Fernando Tatis Jr.DTD
SDOF",Draft
OF,"Michael Conforto
LADOF, DH",Draft
OF,"Tommy Pham
PitOF",Draft
OF,"Jarred Kelenic
AtlOF",Draft
OF,"Pavin Smith
Ari1B, OF, DH",Draft
DH,"Marcell Ozuna
AtlDH",Draft
UTIL,"Kyle Stowers
MiaOF",Draft
P,"Kodai Senga
NYMSP",Draft
P,"Robert Suarez
SDRP",Draft
P,"Michael King
SDSP",Draft
P,"Sandy Alcantara
MiaSP",Draft
P,"Chase DollanderDTD
ColSP",Draft
P,"Grant Holmes
AtlRP, SP",Draft
P,"Eduardo Rodriguez
AriSP",Free Agency
P,"Quinn Priester
MilSP, RP",Free Agency
P,"Tony Gonsolin
LADSP",Free Agency
Bench,"Bubba Chandler
PitSP",Draft
Bench,"Cade Horton
ChCSP",Draft
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
IL,"Yu DarvishIL15
SDSP",Draft
IL,"Ketel Marte
Ari2B, DH",Draft
IL,"Paul DeJongIL10
WshSS, 3B",Free Agency
IL,Empty,
IL,Empty,
IL,Empty,
IL,Empty,
IL,Empty,
View TeamPropose Trade,,
Blue Socks(54 pts),,
SLOT,PLAYER,ACQ
C,"Keibert Ruiz
WshC",Draft
C,"J.T. Realmuto
PhiC",Draft
1B,"Bryce Harper
Phi1B",Trade
2B,"Connor Norby
Mia3B, 2B",Draft
3B,"Nolan Arenado
StL3B",Draft
SS,"Trea Turner
PhiSS",Draft
2B/SS,"Tommy EdmanDTD
LADOF, 2B, SS",Draft
1B/3B,"Ke'Bryan Hayes
Pit3B",Draft
OF,"Dylan Crews
WshOF",Draft
OF,"Jesus Sanchez
MiaOF",Draft
OF,"Jung Hoo Lee
SFOF",Draft
OF,"Alek Thomas
AriOF",Free Agency
OF,"Mickey Moniak
ColOF",Free Agency
DH,"Starling Marte
NYMOF, DH",Draft
UTIL,Empty,
P,"Yoshinobu Yamamoto
LADSP",Draft
P,"MacKenzie Gore
WshSP",Draft
P,"Nick Lodolo
CinSP",Draft
P,"Aaron Nola
PhiSP",Draft
P,"Ryan Pressly
ChCRP",Draft
P,"Jeremiah Estrada
SDRP",Draft
P,"Matt Strahm
PhiRP",Free Agency
P,"Kirby Yates
LADRP",Free Agency
P,"Dylan Lee
AtlRP",Free Agency
Bench,"Jurickson ProfarSSPD
AtlOF",Draft
Bench,"Bryce Eldridge
SF1B",Draft
Bench,"Dalton Rushing
LADC, OF",Draft
Bench,"Aidan Miller
PhiSS",Draft
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
Bench,Empty,
IL,"A.J. PukIL60
AriRP",Draft
IL,"Sean ManaeaIL60
NYMSP",Draft
IL,"Eury PerezIL60
MiaSP",Draft
IL,"Jeimer CandelarioIL10
Cin3B, 1B, DH",Draft
IL,"Jose SiriIL10
NYMOF",Draft
IL,"Spencer HorwitzIL10
Pit1B, 2B",Draft
IL,Empty,
IL,Empty,
View Team,,
Westside Marauders(49.5 pts),,
SLOT,PLAYER,ACQ
C,"Francisco Alvarez
NYMC",Draft
C,"Will Smith
LADC",Draft
1B,"Pete Alonso
NYM1B",Draft
2B,"Jeff McNeil
NYM2B",Free Agency
3B,"Eugenio Suarez
Ari3B",Draft
SS,"Masyn Winn
StLSS",Draft
2B/SS,"Adael Amador
Col2B",Draft
1B/3B,"Ryan McMahon
Col3B",Free Agency
OF,"Oneil Cruz
PitSS, OF",Draft
OF,"Andy Pages
LADOF",Draft
OF,"Gavin Lux
Cin2B, OF",Draft
OF,"Amed Rosario
Wsh2B, 3B, OF, DH",Draft
OF,"Alex Call
WshOF",Free Agency
DH,"Spencer Steer
CinOF, 1B, DH",Draft
UTIL,"Carson Kelly
ChCC",Free Agency
P,"Brandon Pfaadt
AriSP",Draft
P,"Ryan Walker
SFRP",Draft
P,"Hunter Greene
CinSP",Draft
P,"Zac Gallen
AriSP",Draft
P,"Chris Sale
AtlSP",Draft
P,"Jameson Taillon
ChCSP",Draft
P,"Merrill Kelly
AriSP",Draft
P,"Orion Kerkering
PhiRP",Free Agency
P,"Jesus Tinoco
MiaRP",Free Agency
Bench,"Jake McCarthy
AriOF",Draft
Bench,"Alexis Diaz
CinRP",Draft
Bench,"Chase Burns
CinSP",Draft
Bench,"Jordan Lawlar
AriSS, 3B",Draft
Bench,"Brett Baty
NYM3B, 2B",Free Agency
Bench,"Brandon MarshIL10
PhiOF",Free Agency
