Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"David Hensley","HOU",5,21,18,4,3,1,0,0,2,2,2,0,6,0,0,0,,0,0,0.222286,0.112374,0.302297,0.371734,0.312229,0.339253,0.29121,0.651482,0.116967,5.18366,0.317415,-0.00627,-0.0313778,2.08495,-0.473775,83.744,-0.0376478,-0.00561165,-0.4466869384050369,0.06938835233449936,0.0335245,999,,,,"25111"
"Osleivis Basabe","TBR",3,14,13,3,2,1,0,0,1,1,1,0,2,0,0,0,,0,0,0.254839,0.0597193,0.177279,0.336866,0.304149,0.356681,0.289938,0.660829,0.101842,5.33774,0.305128,0.00307967,-0.0208194,1.37518,-0.330636,86.586,-0.0177397,-0.0482857,-0.24275916628539562,0.10171429067850113,0.0333672,999,,,,"23985"
"Jacob Amaya",,3,14,12,3,2,1,0,0,2,1,1,0,3,0,0,0,,0,0,0.233212,0.0948384,0.21507,0.440965,0.309034,0.354871,0.293697,0.663905,0.121658,4.11723,0.283524,0,-0.019548,1.41889,-0.286925,81.5734,-0.019548,0.0429535,-0.3391372449696064,0.19295349344611168,0.0329707,999,,,,"23296"
"Curt Casali",,6,26,22,5,3,1,0,0,2,2,3,0,7,0,0,0,,0,0,0.212754,0.104441,0.279401,0.373804,0.307019,0.324253,0.283078,0.631272,0.111499,2.50662,0.287679,-0.0217537,-0.0761588,2.36877,-0.75044,74.4544,-0.0979125,-0.00333505,-0.9080808833241463,0.49666495132260025,0.0327044,999,,,,"12510"
"Austin Wynns","CIN",8,32,29,6,5,1,0,1,3,3,3,0,8,0,0,0,,0,0,0.226956,0.0799354,0.245821,0.325177,0.297502,0.339579,0.283014,0.63708,0.112623,2.85038,0.286864,-0.0281589,-0.0683671,2.95926,-0.939753,69.7515,-0.096526,-0.129643,-1.2956728637218475,0.4953569769859314,0.0316128,999,,,,"15271"
"Yasiel Puig",,26,112,101,24,16,5,0,3,13,13,8,0,27,1,1,0,,2,1,0.238976,0.0719333,0.238069,0.302154,0.302334,0.387462,0.300287,0.689796,0.148486,4.60276,0.291394,-0.0913361,-0.123786,11.9641,-1.68245,87.8495,-0.215122,-0.426129,-1.8733609020709991,-1.6261290609836578,0.0309579,999,,,,"14225"
"Jorge Barrosa",,3,14,12,3,2,1,0,0,2,1,1,0,3,0,0,0,,0,0,0.235713,0.0924438,0.205866,0.449048,0.312706,0.355557,0.29605,0.668263,0.119844,5.46909,0.288094,0,-0.031783,1.44625,-0.259572,83.3741,-0.031783,0.10125,-0.320141289383173,0.15125000104308128,0.0307063,999,,,,"sa3005524"
"Darin Ruf",,15,63,54,12,8,2,0,2,7,7,7,0,19,1,0,0,,0,0,0.225909,0.117872,0.297527,0.396172,0.32495,0.394697,0.316661,0.719647,0.168788,3.04707,0.300132,-0.0454505,-0.14145,7.58654,-0.0896452,99.0097,-0.1869,0,-0.2629261463880539,-1.5750000476837158,0.0304306,999,,,,"9929"
"Zack Short","NYM",6,28,24,5,3,1,0,1,3,3,4,0,8,0,0,0,,0,0,0.193341,0.125906,0.302417,0.416333,0.299878,0.322351,0.279764,0.622229,0.12901,3.57294,0.262982,-0.0157654,-0.0383462,2.51378,-0.897861,77.2403,-0.0541115,0.092719,-0.8435964547097683,0.1927190124988556,0.0301916,999,,,,"19562"
"Grae Kessinger","HOU",13,56,50,10,7,2,0,1,6,5,5,0,15,1,0,0,,1,0,0.210791,0.0912966,0.267509,0.341284,0.29078,0.325293,0.275165,0.616073,0.114502,4.32764,0.274002,-0.0105896,-0.143102,4.81367,-2.00961,72.6232,-0.153691,0.03558,-1.9906684905290604,0.38557998463511467,0.0296719,750.5999755859375,,,,"25813"
