Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",13,7,,2.80094,28,28,,,,170.3,676,139,57,53,14,33,0,5,191,10.094,1.74398,5.78788,0.739871,0.282544,0.0488166,0.2337278053164482,0.217868,1.00998,0.288684,0.754593,,,2.66149,5.17633,5.04258,999,,,,,,,994.6200225830079,5.840399323309005,937.5000152587891,5.504991182964705,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Garrett Crochet","BOS",12,5,,2.8842,29,29,,,,137.3,571,117,47,44,11,43,2,3,172,11.2746,2.81865,4,0.721049,0.301226,0.0753065,0.2259194478392601,0.222857,1.16533,0.309942,0.781466,,,2.70763,4.0604,4.26193,999,,,,,,,782.5200225830079,5.699344538892852,749.5000152587891,5.458849225052464,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Paul Skenes","PIT",9,6,,3.24224,31,31,,,,161,651,133,62,58,17,43,0,4,182,10.1739,2.40373,4.23256,0.950311,0.27957,0.0660522,0.2135176658630371,0.220199,1.09317,0.28642,0.749014,,,3.15406,3.92188,4.18147,999,,,,,,,859.5000000000002,5.338509316770188,807,5.012422360248447,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Logan Webb","SFG",13,9,,3.22978,31,31,,,,186.7,764,175,72,67,14,40,1,5,157,7.56829,1.92823,3.925,0.674879,0.205497,0.052356,0.15314136445522308,0.243394,1.15158,0.293796,0.731832,,,3.18255,3.85189,4.47293,999,,,,,,,933.3799774169922,4.999357218392178,930.4999847412109,4.983931440551487,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Corbin Burnes","ARI",14,6,,3.0747,29,29,,,,172.7,705,149,63,59,15,47,0,7,168,8.75507,2.44933,3.57447,0.781702,0.238298,0.0666667,0.17163120955228806,0.228879,1.13492,0.286325,0.76,,,3.28808,3.68374,4.83251,999,,,,,,,880.0799774169922,5.09600459159678,842.4999847412109,4.8784018507754014,,,,,,,,,,,,,,,,,,,"Corbin Burnes","19361",669203
"George Kirby","SEA",13,8,,3.375,29,29,,,,168,683,157,67,63,19,25,0,6,156,8.35714,1.33929,6.24,1.01786,0.228404,0.0366032,0.19180088490247726,0.240798,1.08333,0.289308,0.740026,,,3.33315,3.51816,3.29163,999,,,,,,,820.3,4.8827380952380945,812,4.833333333333333,,,,,,,,,,,,,,,,,,,"George Kirby","25436",669923
"Zack Wheeler","PHI",11,6,,3.52601,25,25,,,,155.7,640,137,65,61,16,42,0,7,155,8.95954,2.42775,3.69048,0.924856,0.242188,0.065625,0.17656250298023224,0.23181,1.14965,0.288095,0.727969,,,3.4555,3.46088,3.35773,999,,,,,,,762.1799774169922,4.895182995220971,733.4999847412109,4.710982653294727,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Yoshinobu Yamamoto","LAD",11,7,,3.44805,25,25,,,,154,599,122,63,59,18,31,0,3,156,9.11688,1.81169,5.03226,1.05195,0.260434,0.0517529,0.2086811400949955,0.215929,0.993506,0.265985,0.704225,,,3.32232,3.36248,3.29616,999,,,,,,,811,5.266233766233766,746,4.8441558441558445,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Hunter Greene","CIN",8,7,,3.73325,27,27,,,,156.7,633,117,70,65,18,50,0,18,173,9.93618,2.87173,3.46,1.03382,0.273302,0.0789889,0.19431281089782715,0.20708,1.06573,0.264706,0.684062,,,3.75359,3.3471,3.30813,999,,,,,,,775.9799774169921,4.952010162918493,691.4999847412109,4.412890862848022,,,,,,,,,,,,,,,,,,,"Hunter Greene","22182",668881
"Spencer Strider","ATL",10,6,,3.33071,24,22,,,,127,516,99,50,47,14,36,0,6,169,11.9764,2.55118,4.69444,0.992126,0.327519,0.0697674,0.2577519416809082,0.208861,1.06299,0.292096,0.736568,,,2.93026,3.30386,3.07812,999,,,,,,,722.2000000000002,5.686614173228348,665,5.2362204724409445,,,,,,,,,,,,,,,,,,,"Spencer Strider","27498",675911
