Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Jack Flaherty","DET",4,3,5,3.92322,9,9,0,0,,53,221,47,25,23,7,18,,3,58,9.89697,3.03113,3.26511,1.22052,0.262895,0.0805165,0.1823785975575447,0.233766,1.22459,0.293532,0.725569,,,3.80922,0.831221,0.733782,138.3800048828125,,,,,,,236.90000000000003,4.469811320754718,227,4.283018867924528,,,,,,,,,,,,,,,,,,,"Jack Flaherty","17479",656427
"José Soriano","LAA",3,3,5,3.8065,10,10,0,0,,54,232,49,25,23,4,23,,3,48,8.03971,3.92892,2.04629,0.728079,0.20643,0.10088,0.10555007308721542,0.239683,1.3539,0.293168,0.720737,,,3.85539,0.818179,0.84019,324.3900146484375,,,,,,,241.00000000000003,4.462962962962964,236,4.37037037037037,,,,,,,,,,,,,,,,,,,"Jose Soriano","22100",667755
"Luis Castillo","SEA",4,3,6,3.78162,10,10,0,0,,61,251,54,28,25,8,18,,2,58,8.59564,2.65247,3.24062,1.23048,0.231077,0.0713065,0.1597706824541092,0.235222,1.18974,0.279483,0.734249,,,3.9418,0.815782,0.732823,100.88999938964844,,,,,,,268.60000000000014,4.403278688524592,257,4.213114754098361,,,,,,,,,,,,,,,,,,,"Luis Castillo","15689",622491
"Michael King","SDP",3,2,4,3.52257,7,7,0,0,,43,179,37,18,17,5,15,,2,47,9.86975,3.1319,3.15136,1.05039,0.264297,0.0838675,0.1804293915629387,0.22575,1.19646,0.287516,0.746351,,,3.58661,0.813846,0.806852,62.720001220703125,,,,,,,203.5,4.732558139534884,193,4.488372093023256,,,,,,,,,,,,,,,,,,,"Michael King","19853",650633
"Shota Imanaga","CHC",4,3,5,3.81686,10,10,0,0,,61,250,56,28,26,10,14,,2,59,8.65601,2.10061,4.12072,1.46337,0.235317,0.0571057,0.1782109998166561,0.238953,1.14708,0.27825,0.746218,,,4.07093,0.792172,0.924356,78.08999633789062,,,,,,,252.8000000000001,4.144262295081969,245,4.016393442622951,,,,,,,,,,,,,,,,,,,"Shota Imanaga","33829",684007
"Brad Lord","WSN",2,3,4,4.22261,13,9,0,0,,59,253,58,30,28,6,20,,3,49,7.49713,3.10942,2.4111,0.941726,0.193316,0.0801776,0.1131385788321495,0.254825,1.34061,0.300082,0.695604,,,3.99638,0.76648,0.597148,999,,,,,,,241,4.084745762711864,246,4.169491525423729,,,,,,,,,,,,,,,,,,,"Brad Lord","31972",695418
"Yusei Kikuchi","LAA",3,3,5,4.01123,10,10,0,0,,57,241,53,28,25,9,20,,2,60,9.52231,3.13132,3.04099,1.39364,0.25047,0.0823645,0.1681053340435028,0.242482,1.28023,0.29539,0.748309,,,4.12525,0.764688,0.718779,170.38999938964844,,,,,,,227.29999999999995,3.9877192982456133,222,3.8947368421052633,,,,,,,,,,,,,,,,,,,"Yusei Kikuchi","20633",579328
"David Peterson","NYM",3,3,5,3.7678,10,10,0,0,,55,237,53,25,23,5,21,,3,50,8.17847,3.42523,2.38771,0.889013,0.211891,0.0887425,0.12314894795417786,0.246357,1.33145,0.298746,0.734521,,,3.84368,0.755754,0.803169,326.9200134277344,,,,,,,235.7,4.285454545454545,238,4.327272727272727,,,,,,,,,,,,,,,,,,,"David Peterson","20302",656849
"Nick Lodolo","CIN",3,3,5,4.08145,9,9,0,0,,51,216,47,25,23,7,15,,5,52,9.17141,2.63295,3.48332,1.28449,0.240856,0.0691453,0.17171022295951843,0.240857,1.21624,0.292143,0.711618,,,4.09536,0.7452,0.77528,235.97999572753906,,,,,,,213.10000000000008,4.178431372549021,208,4.078431372549019,,,,,,,,,,,,,,,,,,,"Nick Lodolo","26378",666157
"Kodai Senga","NYM",4,2,5,3.67666,9,9,0,0,,52,221,44,23,21,6,23,,3,55,9.5272,3.92241,2.42891,1.03293,0.250634,0.103188,0.14744646847248077,0.222577,1.26773,0.279666,0.744037,,,3.92314,0.740104,0.829606,155.4199981689453,,,,,,,228.6,4.396153846153846,214,4.115384615384615,,,,,,,,,,,,,,,,,,,"Kodai Senga","31838",673540
"Zac Gallen","ARI",4,3,6,4.08686,11,11,0,0,,62,263,59,31,28,8,21,,2,60,8.7423,3.09655,2.82324,1.1178,0.229673,0.0813509,0.14832229167222977,0.24429,1.28474,0.296351,0.712204,,,3.89812,0.7301,0.777435,119.88999938964844,,,,,,,258,4.161290322580645,257,4.145161290322581,,,,,,,,,,,,,,,,,,,"Zac Gallen","19291",668678
"Eduardo Rodriguez","ARI",3,3,4,4.0975,12,9,0,0,,51,218,50,25,23,7,17,,1,49,8.62243,2.9695,2.90366,1.15327,0.225485,0.0776555,0.14782977849245071,0.252446,1.31264,0.30449,0.721621,,,3.90841,0.724479,0.680596,376.4800109863281,,,,,,,205.30000000000007,4.025490196078433,208,4.078431372549019,,,,,,,,,,,,,,,,,,,"Eduardo Rodriguez","13164",593958
"Will Warren","NYY",3,3,4,4.29097,14,9,0,0,,49,209,46,25,23,6,18,,2,52,9.54241,3.28961,2.90077,1.11692,0.248981,0.0858329,0.16314848512411118,0.243956,1.30449,0.305815,0.695344,,,3.81138,0.716847,0.352193,382.8500061035156,,,,,,,213.20000000000002,4.351020408163266,211,4.3061224489795915,,,,,,,,,,,,,,,,,,,"Will Warren","30182",701542
"Ryan Pepiot","TBR",4,4,5,4.07891,10,10,0,0,,56,235,50,28,25,9,20,,3,57,9.11184,3.18088,2.86457,1.40374,0.241214,0.084206,0.15700771659612656,0.232902,1.23695,0.277148,0.730744,,,4.30415,0.706722,0.643012,166.35000610351562,,,,,,,218.7000000000001,3.9053571428571447,208,3.7142857142857144,,,,,,,,,,,,,,,,,,,"Ryan Pepiot","26221",686752
"Zach Eflin","BAL",4,3,5,4.22892,10,10,0,0,,56,231,57,28,26,9,10,,2,44,7.07824,1.66919,4.24053,1.3911,0.189647,0.0447224,0.14492426067590714,0.259747,1.20655,0.289802,0.70273,,,4.17453,0.700619,0.603148,192.4199981689453,,,,,,,207.50000000000006,3.7053571428571437,215,3.8392857142857144,,,,,,,,,,,,,,,,,,,"Zach Eflin","13774",621107
