Name,Team,billikenTeam,contract,salary,point_value,repl,par,PA,HR,R,RBI,SB,AVG,IP,W,SV,SO,ERA,WHIP,p_c,p_1b,p_2b,p_3b,p_ss,p_of,p_ci,p_mi,p_dh,ev,surplus
Tink Hence,STL,NA,NA,1,0,0.9,-0.9,NA,NA,NA,NA,NA,NA,16,1,0,13,4.26,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,1.1
Anthony Banda,LAD,NA,NA,NA,-0,0.9,-0.9,NA,NA,NA,NA,NA,NA,57,3,0,56,4.07,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA
Jhony Brito,SDP,NA,NA,NA,-0,0.9,-0.9,NA,NA,NA,NA,NA,NA,47,3,0,36,4.16,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA
Cristian Mena,ARI,NA,NA,NA,0,0.9,-0.9,NA,NA,NA,NA,NA,NA,21,1,0,18,4.14,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA
Yilber Diaz,ARI,National Pastime,2,1,-0,0.9,-0.9,NA,NA,NA,NA,NA,NA,49,3,0,49,4.12,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,1.1
Thomas Harrington,PIT,NA,NA,1,-0,0.9,-0.9,NA,NA,NA,NA,NA,NA,9,0,0,7,4.58,1.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,1.1
Huascar Brazoban,NYM,NA,NA,NA,0,0.9,-0.9,NA,NA,NA,NA,NA,NA,51,3,0,52,4.02,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA
Zack Thompson,STL,NA,NA,NA,-0,0.9,-0.9,NA,NA,NA,NA,NA,NA,40,2,0,40,3.95,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA
Hunter Stratton,PIT,NA,NA,NA,-0,0.9,-0.9,NA,NA,NA,NA,NA,NA,15,1,0,14,4.11,1.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA
Kevin Herget,NYM,NA,NA,NA,0,0.9,-0.9,NA,NA,NA,NA,NA,NA,34,2,0,29,4.14,1.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA
Andrew Saalfrank,ARI,NA,NA,NA,-0,0.9,-0.9,NA,NA,NA,NA,NA,NA,28,2,0,27,3.77,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA
Enyel De Los Santos,ATL,NA,NA,NA,-0,0.9,-0.9,NA,NA,NA,NA,NA,NA,35,1,0,36,3.99,1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA
Kyle Nelson,ARI,Erie Lakers,2,1,0,0.9,-0.9,NA,NA,NA,NA,NA,NA,35,2,0,34,4.01,1.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,1.1
Davis Daniel,ATL,NA,NA,NA,0,0.9,-0.9,NA,NA,NA,NA,NA,NA,15,1,0,13,4.09,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA
Nick Frasso,LAD,NA,NA,NA,0,0.9,-0.9,NA,NA,NA,NA,NA,NA,15,1,0,14,4.05,1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA
Chad Patrick,MIL,NA,NA,NA,0,0.9,-0.9,NA,NA,NA,NA,NA,NA,24,1,0,22,4.24,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA
Carson Ragsdale,SFG,NA,NA,NA,-0,0.9,-0.9,NA,NA,NA,NA,NA,NA,28,1,0,28,4.06,1.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA
Trevor Richards,CHC,NA,NA,NA,-0,0.9,-0.9,NA,NA,NA,NA,NA,NA,26,1,0,28,4.24,1.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA
Justin Hagenman,NYM,NA,NA,NA,-0,0.9,-0.9,NA,NA,NA,NA,NA,NA,12,1,0,11,4.3,1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA
Ethan Small,SFG,NA,NA,NA,-0,0.9,-0.9,NA,NA,NA,NA,NA,NA,13,1,0,12,4.03,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA
John McMillon,PHI,Louisville Sluggers,2,1,-0,0.9,-0.9,NA,NA,NA,NA,NA,NA,21,2,0,24,4.4,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,1.1
Dylan Dodd,ATL,NA,NA,NA,-0,0.9,-0.9,NA,NA,NA,NA,NA,NA,30,2,0,24,4.27,1.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA
Jose E. Hernandez,LAD,NA,NA,NA,-0,0.9,-0.9,NA,NA,NA,NA,NA,NA,13,1,0,12,4.33,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA
Max Rajcic,STL,NA,NA,NA,-0,0.9,-0.9,NA,NA,NA,NA,NA,NA,10,1,0,7,4.46,1.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA
Colin Poche,WSN,NA,NA,NA,0,0.9,-0.9,NA,NA,NA,NA,NA,NA,56,3,0,50,4.25,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA
Gage Workman,CHC,NA,NA,NA,0.2,1.1,-0.9000000000000001,70,2,8,8,2,0.222,NA,NA,NA,NA,NA,NA,0,0,0,1,1,0,1,1,0,2.1,NA
Graham Pauley,MIA,National Pastime,2,1,0.2,1.1,-0.9000000000000001,91,2,10,10,1,0.224,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0,0,2.1,1.1
Luisangel Acuna,NYM,Melonheads,2,1,1.1,2.1,-1,168,3,21,16,8,0.246,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,1,0,1.8,0.8
Juan Yepez,WSN,Melonheads,2,1,0.5,1.5,-1,98,3,11,12,1,0.248,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,1.8,0.8
Bryce Eldridge,SFG,NA,NA,1,0.5,1.5,-1,91,3,10,11,1,0.238,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,1.8,0.8
Buddy Kennedy,PHI,NA,NA,NA,0.1,1.1,-1,42,1,5,4,0,0.235,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,1,1,0,1.8,NA
Kody Clemens,PHI,NA,NA,NA,0.1,1.1,-1,21,1,3,3,0,0.228,NA,NA,NA,NA,NA,NA,0,1,0,1,0,0,1,0,0,1.8,NA
Trey Lipscomb,WSN,NA,NA,NA,0.1,1.1,-1,35,0,3,3,1,0.242,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0,0,1.8,NA
Grae Kessinger,ARI,NA,NA,NA,0.1,1.1,-1,56,1,6,5,1,0.215,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,1,1,0,1.8,NA
Jordan Montgomery,ARI,NA,NA,4,-0.1,0.9,-1,NA,NA,NA,NA,NA,NA,117,7,0,93,4.07,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,-2.2
DJ Herz,WSN,National Pastime,2,1,-0.1,0.9,-1,NA,NA,NA,NA,NA,NA,109,6,0,119,4.2,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,0.8
Cade Cavalli,WSN,NA,NA,1,-0.1,0.9,-1,NA,NA,NA,NA,NA,NA,82,5,0,78,4.23,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,0.8
Hayden Birdsong,SFG,NA,NA,1,-0.1,0.9,-1,NA,NA,NA,NA,NA,NA,108,6,0,113,4.23,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,0.8
Bryce Elder,ATL,National Pastime,2,1,-0.1,0.9,-1,NA,NA,NA,NA,NA,NA,46,3,0,39,4.19,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,0.8
Declan Cronin,MIA,NA,NA,NA,-0.1,0.9,-1,NA,NA,NA,NA,NA,NA,67,3,1,58,3.94,1.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA
Stephen Kolek,SDP,NA,NA,NA,-0.1,0.9,-1,NA,NA,NA,NA,NA,NA,47,3,0,38,4.24,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA
Tony Santillan,CIN,NA,NA,1,-0.1,0.9,-1,NA,NA,NA,NA,NA,NA,58,3,1,66,4.39,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,0.8
Landon Knack,LAD,National Pastime,2,1,-0.1,0.9,-1,NA,NA,NA,NA,NA,NA,43,2,0,42,4.25,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,0.8
Mason Black,SFG,NA,NA,NA,-0.1,0.9,-1,NA,NA,NA,NA,NA,NA,50,3,0,44,4.27,1.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA
Max Lazar,PHI,NA,NA,NA,-0.1,0.9,-1,NA,NA,NA,NA,NA,NA,50,3,0,41,4.28,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA
Jonathan Pintaro,NYM,NA,NA,NA,-0.1,0.9,-1,NA,NA,NA,NA,NA,NA,8,0,0,7,4.61,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA
Bryan Hoeing,SDP,NA,NA,NA,-0.1,0.9,-1,NA,NA,NA,NA,NA,NA,56,3,0,45,4.18,1.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA
Tyler Stuart,WSN,NA,NA,NA,-0.1,0.9,-1,NA,NA,NA,NA,NA,NA,21,1,0,18,4.07,1.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA
Jack Dreyer,LAD,NA,NA,NA,-0.1,0.9,-1,NA,NA,NA,NA,NA,NA,19,1,0,19,4.16,1.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA
Jack Neely,CHC,NA,NA,NA,-0.1,0.9,-1,NA,NA,NA,NA,NA,NA,10,0,0,10,4.1,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA
Josh Simpson,MIA,NA,NA,NA,-0.1,0.9,-1,NA,NA,NA,NA,NA,NA,33,2,0,35,4.14,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA
Yohan Ramirez,PIT,NA,NA,NA,-0.1,0.9,-1,NA,NA,NA,NA,NA,NA,17,1,0,16,4.34,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA
Hayden Harris,ATL,NA,NA,NA,-0.1,0.9,-1,NA,NA,NA,NA,NA,NA,17,1,0,18,4.12,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA
Carson Seymour,SFG,NA,NA,NA,-0.1,0.9,-1,NA,NA,NA,NA,NA,NA,24,1,0,19,4,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA
Alex Cornwell,STL,NA,NA,NA,-0.1,0.9,-1,NA,NA,NA,NA,NA,NA,8,0,0,6,4.14,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA
J.B. Wendelken,SDP,NA,NA,NA,-0.1,0.9,-1,NA,NA,NA,NA,NA,NA,19,1,0,17,4.15,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA
Gavin Hollowell,CHC,NA,NA,NA,-0.1,0.9,-1,NA,NA,NA,NA,NA,NA,6,0,0,6,4.28,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA
Sem Robberse,STL,NA,NA,NA,-0.1,0.9,-1,NA,NA,NA,NA,NA,NA,21,1,0,17,4.19,1.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA
Trent Harris,SFG,NA,NA,NA,-0.1,0.9,-1,NA,NA,NA,NA,NA,NA,10,0,0,9,4.03,1.33,0,0,0,0,0,1,0,0,0,1.8,NA
Tejay Antone,CIN,NA,NA,NA,-0.1,0.9,-1,NA,NA,NA,NA,NA,NA,8,0,0,7,4.81,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA
Alek Jacob,SDP,NA,NA,NA,-0.1,0.9,-1,NA,NA,NA,NA,NA,NA,48,2,0,44,4.17,1.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA
Ethan Roberts,CHC,NA,NA,NA,-0.1,0.9,-1,NA,NA,NA,NA,NA,NA,35,1,0,35,4.18,1.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA
Elvin Rodriguez,MIL,NA,NA,NA,-0.1,0.9,-1,NA,NA,NA,NA,NA,NA,25,1,0,23,4.25,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA
Cole Waites,SFG,NA,NA,NA,-0.1,0.9,-1,NA,NA,NA,NA,NA,NA,15,1,0,15,4.1,1.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA
Giovanny Gallegos,LAD,NA,NA,NA,-0.1,0.9,-1,NA,NA,NA,NA,NA,NA,28,2,0,27,4.57,1.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA
Xzavion Curry,MIA,NA,NA,NA,-0.1,0.9,-1,NA,NA,NA,NA,NA,NA,8,0,0,6,4.74,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA
Drew Smith,NYM,Louisville Sluggers,2,1,-0.1,0.9,-1,NA,NA,NA,NA,NA,NA,14,1,0,14,4.26,1.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,0.8
Anderson Pilar,ATL,NA,NA,NA,-0.1,0.9,-1,NA,NA,NA,NA,NA,NA,21,1,0,18,4.27,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA
Randy Rodriguez,SFG,NA,NA,5,-0.1,0.9,-1,NA,NA,NA,NA,NA,NA,53,3,0,54,4.05,1.37,1,0,0,0,0,0,0,0,0,1.8,-3.2
Justin King,MIA,NA,NA,NA,-0.1,0.9,-1,NA,NA,NA,NA,NA,NA,15,1,0,15,4.49,1.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA
Devin Sweet,PHI,NA,NA,NA,-0.1,0.9,-1,NA,NA,NA,NA,NA,NA,36,3,0,36,4.61,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA
Omar Cruz,SDP,NA,NA,NA,-0.1,0.9,-1,NA,NA,NA,NA,NA,NA,22,1,0,21,4.27,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA
Luis Patino,SDP,NA,NA,NA,-0.1,0.9,-1,NA,NA,NA,NA,NA,NA,12,1,0,10,4.57,1.36,0,0,0,0,0,1,0,0,0,1.8,NA
Luis Patino,SDP,NA,NA,NA,-0.1,0.9,-1,NA,NA,NA,NA,NA,NA,12,1,0,10,4.57,1.36,0,0,0,0,0,1,0,0,0,1.8,NA
Nick Anderson,STL,NA,NA,NA,-0.1,0.9,-1,NA,NA,NA,NA,NA,NA,44,3,0,39,4.23,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA
Ron Marinaccio,SDP,NA,NA,NA,-0.1,0.9,-1,NA,NA,NA,NA,NA,NA,40,2,0,40,4.22,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA
Jeff Brigham,ARI,NA,NA,NA,-0.1,0.9,-1,NA,NA,NA,NA,NA,NA,15,1,0,15,4.41,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA
Trevor McDonald,SFG,NA,NA,NA,-0.1,0.9,-1,NA,NA,NA,NA,NA,NA,38,2,0,30,4.13,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA
Billy Cook,PIT,NA,NA,NA,0.4,1.5,-1.1,91,3,10,10,3,0.231,NA,NA,NA,NA,NA,NA,0,1,0,0,0,1,1,0,0,1.4,NA
Grant McCray,SFG,NA,NA,NA,0.4,1.5,-1.1,119,3,14,13,4,0.224,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,1.4,NA
Brady House,WSN,NA,NA,NA,0,1.1,-1.1,35,1,4,4,0,0.229,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0,0,1.4,NA
David Bote,LAD,NA,NA,NA,0,1.1,-1.1,14,0,1,2,0,0.228,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0,0,1.4,NA
Christian Cairo,ATL,NA,NA,NA,0,1.1,-1.1,14,0,1,1,0,0.211,NA,NA,NA,NA,NA,NA,0,0,1,1,1,0,1,1,0,1.4,NA
Jose Fermin,STL,NA,NA,NA,-0,1.1,-1.1,7,0,1,1,0,0.237,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0,0,1.4,NA
Frankie Montas,NYM,Westside Marauders,2,6,-0.2,0.9,-1.1,NA,NA,NA,NA,NA,NA,102,6,0,97,4.35,1.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,-4.6
Brandon Sproat,NYM,NA,NA,1,-0.2,0.9,-1.1,NA,NA,NA,NA,NA,NA,25,1,0,22,4.23,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,0.4
Seth Halvorsen,COL,Louisville Sluggers,2,1,-0.2,0.9,-1.1,NA,NA,NA,NA,NA,NA,63,4,9,58,4.67,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,0.4
Hurston Waldrep,ATL,NA,NA,NA,-0.2,0.9,-1.1,NA,NA,NA,NA,NA,NA,29,2,0,26,4.46,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA
Carlos Rodriguez,MIL,NA,NA,NA,-0.2,0.9,-1.1,NA,NA,NA,NA,NA,NA,30,2,0,27,4.57,1.34,0,0,0,0,0,1,0,0,0,1.4,NA
Joey Wentz,PIT,NA,NA,NA,-0.2,0.9,-1.1,NA,NA,NA,NA,NA,NA,57,3,1,56,4.26,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA
Jose Ruiz,PHI,NA,NA,NA,-0.2,0.9,-1.1,NA,NA,NA,NA,NA,NA,62,3,0,61,4.27,1.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA
Drue Hackenberg,ATL,NA,NA,NA,-0.2,0.9,-1.1,NA,NA,NA,NA,NA,NA,8,0,0,7,4.55,1.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA
Tekoah Roby,STL,NA,NA,NA,-0.2,0.9,-1.1,NA,NA,NA,NA,NA,NA,8,0,0,6,4.58,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA
Mason Thompson,WSN,NA,NA,NA,-0.2,0.9,-1.1,NA,NA,NA,NA,NA,NA,42,3,0,35,4.2,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA
Josiah Gray,WSN,National Pastime,2,1,-0.2,0.9,-1.1,NA,NA,NA,NA,NA,NA,17,1,0,15,4.77,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,0.4
Tyler Alexander,MIL,NA,NA,NA,-0.2,0.9,-1.1,NA,NA,NA,NA,NA,NA,59,3,0,49,4.52,1.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA
Riley O'Brien,STL,NA,NA,NA,-0.2,0.9,-1.1,NA,NA,NA,NA,NA,NA,53,3,0,53,4.09,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA
Gabriel Hughes,COL,NA,NA,NA,-0.2,0.9,-1.1,NA,NA,NA,NA,NA,NA,12,1,0,11,4.71,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA
Ryan Borucki,PIT,NA,NA,NA,-0.2,0.9,-1.1,NA,NA,NA,NA,NA,NA,28,1,0,28,4.2,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA
Justin Wrobleski,LAD,NA,NA,NA,-0.2,0.9,-1.1,NA,NA,NA,NA,NA,NA,36,2,0,32,4.38,1.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA
Jake Woodford,COL,NA,NA,NA,-0.2,0.9,-1.1,NA,NA,NA,NA,NA,NA,10,0,0,7,4.78,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA
Jack O'Loughlin,COL,NA,NA,NA,-0.2,0.9,-1.1,NA,NA,NA,NA,NA,NA,8,0,0,6,4.86,1.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA
Tommy Henry,ARI,NA,NA,NA,-0.2,0.9,-1.1,NA,NA,NA,NA,NA,NA,24,1,0,21,4.11,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA
Grant Anderson,MIL,NA,NA,NA,-0.2,0.9,-1.1,NA,NA,NA,NA,NA,NA,34,1,0,34,4.35,1.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA
Francis Pena,SDP,NA,NA,NA,-0.2,0.9,-1.1,NA,NA,NA,NA,NA,NA,33,2,0,27,4.27,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA
Grant Wolfram,MIL,NA,NA,NA,-0.2,0.9,-1.1,NA,NA,NA,NA,NA,NA,18,1,0,17,4.36,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA
Chris Flexen,CHC,NA,NA,NA,-0.2,0.9,-1.1,NA,NA,NA,NA,NA,NA,16,1,0,13,4.56,1.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA
Austin Warren,NYM,NA,NA,NA,-0.2,0.9,-1.1,NA,NA,NA,NA,NA,NA,10,0,0,9,4.36,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA
Joey Lucchesi,SFG,NA,NA,NA,-0.2,0.9,-1.1,NA,NA,NA,NA,NA,NA,8,0,0,6,4.23,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA
Joe Jacques,LAD,NA,NA,NA,-0.2,0.9,-1.1,NA,NA,NA,NA,NA,NA,10,0,0,8,4.44,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA
Chris Devenski,NYM,NA,NA,NA,-0.2,0.9,-1.1,NA,NA,NA,NA,NA,NA,19,1,0,18,4.61,1.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA
Brad Keller,CHC,NA,NA,NA,-0.2,0.9,-1.1,NA,NA,NA,NA,NA,NA,19,1,0,15,4.42,1.42,0,0,0,0,0,0,0,0,1,1.4,NA
Tom Cosgrove,SDP,NA,NA,NA,-0.2,0.9,-1.1,NA,NA,NA,NA,NA,NA,46,2,0,43,4.28,1.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA
Max Kranick,NYM,NA,NA,NA,-0.2,0.9,-1.1,NA,NA,NA,NA,NA,NA,44,2,0,37,4.32,1.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA
Chase Solesky,WSN,NA,NA,NA,-0.2,0.9,-1.1,NA,NA,NA,NA,NA,NA,12,1,0,7,4.81,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA
Blake Walston,ARI,Louisville Sluggers,2,1,-0.2,0.9,-1.1,NA,NA,NA,NA,NA,NA,32,2,0,27,4.17,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,0.4
Ryan Bergert,SDP,NA,NA,NA,-0.2,0.9,-1.1,NA,NA,NA,NA,NA,NA,17,1,0,14,4.57,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA
Jose Urena,NYM,Hoosiers,2,1,-0.2,0.9,-1.1,NA,NA,NA,NA,NA,NA,17,1,0,13,4.62,1.39,0,0,0,1,0,0,1,0,0,1.4,0.4
Lou Trivino,SFG,NA,NA,NA,-0.2,0.9,-1.1,NA,NA,NA,NA,NA,NA,56,4,0,53,4.35,1.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA
Manuel Margot,MIL,NA,NA,NA,0.3,1.5,-1.2,56,1,6,6,1,0.261,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,1.1,NA
Victor Mesa Jr.,MIA,NA,NA,NA,0.3,1.5,-1.2,98,2,10,10,1,0.23,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,1.1,NA
Weston Wilson,PHI,NA,NA,NA,0.3,1.5,-1.2,84,3,10,10,2,0.22,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,1.1,NA
Michael Helman,STL,NA,NA,NA,0.3,1.5,-1.2,63,2,7,7,2,0.226,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,0,1,0,1.1,NA
Andrew Heaney,PIT,NA,NA,2,-0.3,0.9,-1.2,NA,NA,NA,NA,NA,NA,130,7,0,124,4.51,1.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,-0.9
Jordan Hicks,SFG,Rebuilding Year,2,4,-0.3,0.9,-1.2,NA,NA,NA,NA,NA,NA,136,8,0,127,4.06,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,-2.9
Tony Gonsolin,LAD,NA,NA,2,-0.3,0.9,-1.2,NA,NA,NA,NA,NA,NA,99,6,0,86,4.49,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,-0.9
Aaron Ashby,MIL,NA,NA,1,-0.3,0.9,-1.2,NA,NA,NA,NA,NA,NA,64,4,0,63,4.04,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,0.1
Scott Alexander,COL,NA,NA,NA,-0.3,0.9,-1.2,NA,NA,NA,NA,NA,NA,56,3,0,42,4.12,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA
Graham Ashcraft,CIN,NA,NA,1,-0.3,0.9,-1.2,NA,NA,NA,NA,NA,NA,53,3,0,44,4.41,1.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,0.1
Mike Burrows,PIT,NA,NA,NA,-0.3,0.9,-1.2,NA,NA,NA,NA,NA,NA,41,2,0,35,4.4,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA
Carson Palmquist,COL,NA,NA,NA,-0.3,0.9,-1.2,NA,NA,NA,NA,NA,NA,16,1,0,15,5.14,1.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA
Alex Young,CIN,NA,NA,NA,-0.3,0.9,-1.2,NA,NA,NA,NA,NA,NA,22,1,0,19,4.63,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA
Edgardo Henriquez,LAD,NA,NA,NA,-0.3,0.9,-1.2,NA,NA,NA,NA,NA,NA,33,1,0,35,4.42,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA
Albert Abreu,CIN,NA,NA,NA,-0.3,0.9,-1.2,NA,NA,NA,NA,NA,NA,10,0,0,10,4.5,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA
Peter Strzelecki,PIT,NA,NA,NA,-0.3,0.9,-1.2,NA,NA,NA,NA,NA,NA,26,1,0,23,4.48,1.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA
Connor Phillips,CIN,NA,NA,NA,-0.3,0.9,-1.2,NA,NA,NA,NA,NA,NA,21,1,0,22,4.73,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA
Chase Shugart,PIT,NA,NA,NA,-0.3,0.9,-1.2,NA,NA,NA,NA,NA,NA,19,1,0,15,4.52,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA
Jose Cuas,PHI,NA,NA,NA,-0.3,0.9,-1.2,NA,NA,NA,NA,NA,NA,10,0,0,10,4.56,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA
