Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"José Ramírez","CLE",156,672,598,164,94,38,3,30,98,99,64,16,81,4,6,1,,29,6,0.274677,0.0952116,0.120989,0.786946,0.34523,0.498966,0.353725,0.844196,0.224289,5.74298,0.272106,0.820368,2.18805,102.162,23.5523,133.851,3.00842,1.77628,29.03679919242859,3.5762815475463867,5.68178,4.929999828338623,,,,,,,972,6.23076923,972,6.23076923,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Cal Raleigh","SEA",146,584,517,117,63,23,1,30,71,85,58,2,159,4,4,0,,3,1,0.226661,0.0987994,0.272851,0.3621,0.307078,0.450062,0.325459,0.757141,0.223401,3.12348,0.262241,-0.838253,-0.726617,75.4716,7.17982,119.105,-1.56487,5.58568,11.19694209098816,12.935679912567139,5.25579,88.04000091552734,,,,,,,681.5,4.667808219,681.5,4.667808219,,,,,,,,,,,,,,,,,,,"Cal Raleigh","21534",663728
"Patrick Bailey","SFG",128,506,456,108,73,22,1,12,52,52,42,0,121,3,4,1,,4,1,0.236536,0.0831535,0.23909,0.347792,0.302345,0.368308,0.295103,0.670653,0.131772,3.69402,0.293293,-0.0596463,-0.416638,53.0091,-6.13503,90.2581,-0.476284,9.76119,-6.366238474845886,19.636189460754395,5.07025,306.70001220703125,,,,,,,470.9,3.67890625,470.9,3.67890625,,,,,,,,,,,,,,,,,,,"Patrick Bailey","27478",672275
"Ronald Acuña Jr.","ATL",128,553,474,139,85,26,2,25,101,73,66,2,100,8,3,1,,39,9,0.292805,0.119021,0.181482,0.655828,0.386286,0.517364,0.388263,0.90365,0.224559,6.86762,0.322546,1.00074,3.00584,99.4433,34.7544,149.802,4.00658,-1.50449,36.93943643569946,-7.829487681388855,4.90832,32.97999954223633,,,,,,,897.1,7.00859375,897.1,7.00859375,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Jackson Merrill","SDP",154,665,616,172,111,31,5,25,84,94,39,2,110,3,5,3,,15,4,0.279614,0.0586167,0.165539,0.354096,0.322622,0.467722,0.338275,0.790345,0.188108,5.58475,0.303615,0.138204,0.155846,92.8284,15.038,121.026,0.29405,5.80673,17.01404160261154,8.181727886199951,4.88926,26.420000076293945,,,,,,,843.9,5.479870129,843.9,5.479870129,,,,,,,,,,,,,,,,,,,"Jackson Merrill","29490",701538
"Elly De La Cruz","CIN",154,665,595,154,89,31,8,25,98,88,62,2,195,5,3,1,,54,14,0.258068,0.0927837,0.293699,0.315914,0.331136,0.466019,0.342786,0.797155,0.207951,8.21284,0.339827,0.525176,3.9304,95.2429,17.4525,113.911,4.45558,2.54389,15.517616271972656,9.668885946273804,4.88831,4.610000133514404,,,,,,,902.3,5.859090909,902.3,5.859090909,,,,,,,,,,,,,,,,,,,"Elly De La Cruz","26668",682829
"Michael Harris II","ATL",143,616,571,166,107,31,4,23,85,85,34,2,118,6,4,1,,18,5,0.290552,0.0557358,0.192351,0.28976,0.33566,0.481375,0.350024,0.817035,0.190823,5.68918,0.329393,0.700242,0.290063,91.8132,19.7547,124.064,0.990305,5.87616,18.715965807437897,8.076160669326782,4.88561,38.88999938964844,,,,,,,827.7,5.788111888,827.7,5.788111888,,,,,,,,,,,,,,,,,,,"Michael Harris II","25931",671739
"Corey Seager","TEX",126,546,481,136,81,26,1,28,79,80,55,9,93,5,4,1,,2,1,0.282243,0.101525,0.169947,0.59739,0.359746,0.511962,0.368815,0.871708,0.229719,2.55536,0.296863,-0.974427,-1.04859,89.6378,25.7678,143.24,-2.02302,-0.446987,24.990734577178955,3.403012752532959,4.81222,47.540000915527344,,,,,,,805.9,6.396031746,805.9,6.396031746,,,,,,,,,,,,,,,,,,,"Corey Seager","13624",608369
"William Contreras","MIL",156,626,551,150,95,31,1,23,83,83,68,3,132,4,3,0,,7,2,0.271699,0.108524,0.210963,0.514421,0.353847,0.456447,0.350673,0.810295,0.184748,3.78169,0.31775,-0.641652,-0.567793,93.6907,20.4156,125.321,-1.20945,-1.55383,17.75768542289734,4.446169853210449,4.77431,24.93000030517578,,,,,,,824.5,5.28525641,824.5,5.28525641,,,,,,,,,,,,,,,,,,,"William Contreras","20503",661388
"Vladimir Guerrero Jr.","TOR",157,679,597,175,108,35,0,32,98,102,71,8,97,6,4,1,,5,2,0.294016,0.105283,0.14218,0.740494,0.37347,0.516657,0.378899,0.890127,0.222641,2.73353,0.303327,-1.54755,-1.22691,116.984,37.5556,151.664,-2.77446,-2.1484,37.36434602737427,-13.823400974273682,4.76893,13.539999961853027,,,,,,,1020.2,6.498089171,1020.2,6.498089171,,,,,,,,,,,,,,,,,,,"Vladimir Guerrero Jr.","19611",665489
"Kyle Tucker","CHC",154,665,575,155,92,31,2,30,93,98,82,6,103,2,5,0,,21,4,0.269769,0.123577,0.154218,0.801315,0.360586,0.487891,0.363079,0.848477,0.218122,4.90372,0.279286,0.68887,1.4942,106.104,28.314,136.589,2.18307,0.224463,31.279452323913574,-8.100536957383156,4.68097,8.229999542236328,,,,,,,957,6.214285714,957,6.214285714,,,,,,,,,,,,,,,,,,,"Kyle Tucker","18345",663656
"Adley Rutschman","BAL",146,586,511,133,87,28,1,18,74,68,66,3,92,4,4,1,,2,0,0.26062,0.112718,0.156915,0.718335,0.346599,0.424128,0.335754,0.770727,0.163509,2.99451,0.284113,0.345958,-0.923835,80.639,12.0664,122.591,-0.577877,2.20582,14.57474160194397,8.355823278427124,4.59229,64.20999908447266,,,,,,,703.7,4.819863013,703.7,4.819863013,,,,,,,,,,,,,,,,,,,"Adley Rutschman","26288",668939
"Bryce Harper","PHI",154,665,568,160,90,39,0,31,98,96,87,11,145,4,5,1,,10,3,0.281863,0.130853,0.217671,0.60115,0.378467,0.513733,0.378598,0.892201,0.231871,3.69099,0.325802,-1.17161,-0.70808,114.411,36.6202,143.9,-1.87969,1.22655,33.02985215187073,-10.848454117774963,4.57795,22.860000610351562,,,,,,,1016.1,6.598051948,1016.1,6.598051948,,,,,,,,,,,,,,,,,,,"Bryce Harper","11579",547180
"Austin Riley","ATL",157,679,607,164,97,33,2,32,96,98,56,1,165,10,6,1,,2,0,0.27074,0.0823407,0.243103,0.338707,0.339126,0.49212,0.356264,0.831246,0.22138,3.1929,0.317801,0.053247,-1.0814,104.613,25.1853,128.264,-1.02815,-2.69278,21.920583486557007,-0.26778101921081543,4.5715,29.579999923706055,,,,,,,921.1,5.86687898,921.1,5.86687898,,,,,,,,,,,,,,,,,,,"Austin Riley","18360",663586
"Trea Turner","PHI",156,672,620,175,116,33,2,23,97,81,41,1,129,6,4,1,,24,4,0.282237,0.060953,0.19184,0.317729,0.330742,0.454569,0.338963,0.785311,0.172332,5.84487,0.32192,1.06551,1.90024,94.1777,15.5684,117.223,2.96576,-2.16082,16.80550217628479,5.039184808731079,4.56725,24.68000030517578,,,,,,,858.7,5.504487179,858.7,5.504487179,,,,,,,,,,,,,,,,,,,"Trea Turner","16252",607208
