Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Tarik Skubal","DET",13,7,,2.79438,28,28,,,,170.7,678,139,57,53,14,34,0,5,192,10.123,1.79262,5.64706,0.738137,0.283186,0.0501475,0.23303834721446037,0.217527,1.01347,0.288684,0.756193,,,2.66853,5.1728,5.0713,999,,,,,,,996.5799774169922,5.838195636987413,938.4999847412109,5.497949628117292,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Paul Skenes","PIT",9,5,,3.20025,31,31,,,,160.3,643,130,62,57,17,41,0,4,183,10.2745,2.30193,4.46341,0.95446,0.284603,0.0637636,0.22083980590105057,0.217391,1.06675,0.28392,0.740489,,,3.1041,4.00461,4.1329,999,,,,,,,870.120022583008,5.428072401858051,811.5000152587891,5.0623830306277116,,,,,,,,,,,,,,,,,,,"Paul Skenes","33677",694973
"Garrett Crochet","BOS",12,6,,3.02853,29,29,,,,136.7,567,117,50,46,11,41,2,3,167,10.9949,2.69934,4.07317,0.724214,0.294533,0.0723104,0.2222222238779068,0.223709,1.15582,0.307246,0.757363,,,2.73488,3.99463,3.88812,999,,,,,,,774.0799774169923,5.662618834659353,742.4999847412109,5.431602057916203,,,,,,,,,,,,,,,,,,,"Garrett Crochet","27463",676979
"Logan Webb","SFG",13,8,,3.30847,31,31,,,,187.7,771,177,75,69,14,41,1,5,156,7.48002,1.9659,3.80488,0.671284,0.202335,0.0531777,0.14915693551301956,0.244138,1.16143,0.293694,0.720766,,,3.2091,3.80932,4.19563,999,,,,,,,930.579977416992,4.957804968284561,930.4999847412109,4.957378795258021,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"George Kirby","SEA",13,8,,3.36898,29,29,,,,168.3,683,158,68,63,19,24,0,6,156,8.34225,1.28342,6.5,1.01604,0.228404,0.0351391,0.19326501339673996,0.24196,1.0814,0.290795,0.733591,,,3.31502,3.5633,3.19431,999,,,,,,,822.920022583008,4.889601946887267,816.5000152587891,4.8514557365022055,,,,,,,,,,,,,,,,,,,"George Kirby","25436",669923
"Roki Sasaki","LAD",14,8,,3.53374,30,30,,,,163,676,137,68,64,21,41,1,12,195,10.7669,2.2638,4.7561,1.15951,0.288462,0.0606509,0.22781064733862877,0.219904,1.09202,0.285012,0.740242,,,3.42415,3.48318,3.33431,999,,,,,,,822.7,5.047239263803681,773,4.742331288343558,,,,,,,,,,,,,,,,,,,"Roki Sasaki","sa3025686",808963
"Hunter Greene","CIN",8,7,,3.66879,27,27,,,,157,632,115,69,64,17,50,0,18,171,9.80255,2.86624,3.42,0.974522,0.27057,0.0791139,0.19145569950342178,0.203901,1.05096,0.260638,0.679887,,,3.69514,3.46011,3.43272,999,,,,,,,791.7,5.042675159235669,702,4.471337579617835,,,,,,,,,,,,,,,,,,,"Hunter Greene","22182",668881
"Yoshinobu Yamamoto","LAD",12,6,,3.37427,25,25,,,,154.7,600,120,63,58,17,32,0,3,158,9.19199,1.86167,4.9375,0.989011,0.263333,0.0533333,0.20999998599290848,0.212389,0.982547,0.264103,0.694228,,,3.23112,3.44683,3.42128,999,,,,,,,834.6799774169924,5.395475073579028,763.4999847412109,4.935358757612996,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Corbin Burnes","ARI",13,7,,3.08721,29,29,,,,172,701,148,64,59,16,48,0,6,165,8.63372,2.51163,3.4375,0.837209,0.235378,0.0684736,0.16690441966056824,0.228748,1.13953,0.283262,0.760369,,,3.39904,3.42716,4.66754,999,,,,,,,859.2,4.995348837209303,820,4.767441860465116,,,,,,,,,,,,,,,,,,,"Corbin Burnes","19361",669203
"Zack Wheeler","PHI",11,7,,3.47714,25,25,,,,155.3,637,136,65,60,17,43,0,7,156,9.04057,2.49195,3.62791,0.98519,0.244898,0.0675039,0.17739403992891312,0.231687,1.15261,0.28744,0.734536,,,3.54639,3.28074,3.33041,999,,,,,,,748.520022583008,4.819832632801327,717.5000152587891,4.620090155565955,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
