Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Keibert Ruiz","WSN",120,476,437,118,78,24,0,16,52,57,31,1,51,5,3,1,,2,1,0.269201,0.0651841,0.106443,0.612385,0.323057,0.43401,0.326689,0.757066,0.164809,2.33443,0.272599,-1.00597,-0.848465,61.2848,3.28699,103.755,-1.85443,-4.68037,0.3597588539123535,3.369629383087158,1.44065,174.38999938964844,,,,"19610"
"Jonathan India","CIN",130,560,482,122,78,26,1,17,78,62,55,1,117,16,4,2,,11,4,0.253762,0.0990324,0.208848,0.474184,0.34827,0.41919,0.336407,0.767461,0.165429,4.75546,0.298784,-0.00901395,-0.346904,76.619,8.38631,105.545,-0.355918,-2.45412,3.4909961819648743,-8.204117059707642,1.43257,266.8399963378906,,,,"21523"
"Matt Wallner","MIN",100,434,373,87,49,21,2,16,53,57,47,3,145,11,2,1,,2,1,0.234123,0.10753,0.33418,0.321774,0.335205,0.426078,0.330407,0.761283,0.191955,3.78543,0.334441,0.104023,-0.957677,57.2174,4.33701,111.352,-0.853654,-0.475777,5.049850046634674,-5.425777167081833,1.43241,330.0799865722656,,,,"26466"
"Lane Thomas","WSN",147,637,576,145,87,32,3,23,84,77,47,0,157,7,5,2,,15,6,0.251395,0.0745651,0.247246,0.301583,0.313384,0.4375,0.323136,0.750884,0.186106,5.23454,0.303935,0.325483,-0.47355,80.1335,2.5188,101.373,-0.148066,-2.58328,0.9350772351026535,-8.308282613754272,1.42891,120.80999755859375,,,,"16939"
"Marcell Ozuna","ATL",138,595,533,136,79,26,1,30,77,92,54,1,138,3,4,1,,1,1,0.25424,0.0908808,0.232438,0.39099,0.324716,0.475237,0.341755,0.799953,0.220996,2.25273,0.285777,-0.37832,-1.15402,84.0506,11.5533,112.828,-1.53234,-0.0424734,7.9236650466918945,-14.317473027855158,1.38388,159.2100067138672,,,,"10324"
"Dylan Carlson","STL",79,343,299,77,48,18,2,9,42,40,34,1,67,6,3,1,,3,1,0.255834,0.0978707,0.196229,0.498758,0.338753,0.417599,0.3295,0.756352,0.161765,4.44409,0.29899,0.177564,-0.486503,44.9618,3.16927,108.362,-0.308939,0.5115,3.2442039847373962,-1.0635000467300415,1.38277,543.4199829101562,,,,"20126"
"Trent Grisham","NYY",65,280,240,53,30,12,1,10,36,32,33,0,73,3,2,2,,7,2,0.22021,0.11949,0.261269,0.457346,0.321952,0.404991,0.318104,0.726943,0.184781,4.96194,0.270181,0.27904,0.0663519,34.0534,-0.0629868,103.594,0.345392,1.6105,1.5510320663452148,2.6104999780654907,1.3633,523.489990234375,,,,"18564"
"Tim Anderson","MIA",131,567,533,150,114,26,2,8,68,51,26,0,119,4,3,2,,14,4,0.28073,0.0453164,0.209444,0.216365,0.317171,0.381679,0.30486,0.69885,0.100949,5.31194,0.346848,0.82852,0.0115206,62.7218,-6.36389,89.0568,0.840041,-4.84551,-6.846754252910614,1.0794906616210938,1.35123,312.6000061035156,,,,"15172"
"Anthony Rizzo","NYY",128,553,480,114,70,20,1,23,67,72,51,3,114,18,3,0,,3,3,0.237965,0.0921598,0.20622,0.4469,0.33211,0.426515,0.329443,0.758625,0.18855,3.06523,0.264174,-1.17502,-1.58198,72.463,5.08318,111.453,-2.757,-0.0962298,4.831713438034058,-10.071230210363865,1.35046,257.69000244140625,,,,"3473"
"Esteury Ruiz","OAK",120,518,464,116,79,25,2,9,62,51,33,1,107,14,2,5,,52,13,0.249037,0.0629421,0.206053,0.305465,0.316502,0.369098,0.302221,0.6856,0.120061,6.84599,0.304082,0.193837,3.9493,56.166,-6.94926,95.1619,4.14314,-2.0713,1.1402814388275146,-5.221299171447754,1.34744,124.75,,,,"21780"
