Name,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,PlayerId
"Freddy Peralta","MIL",11,9,,3.76801,29,29,0,0,163,672,133,73,68,22,58,,8,190,10.5022,3.21911,3.26245,1.20023,0.282028,0.0864467,0.195581316947937,0.219408,1.17626,0.281916,0.733321,,,3.875,3.08976,3.29871,52.25,,,,"18679"
"Eduardo Rodriguez","ARI",12,10,,3.82043,31,31,0,0,174,738,169,80,74,20,55,,5,168,8.69074,2.87822,3.01948,1.06212,0.226911,0.0751489,0.15176185965538025,0.249492,1.29512,0.30341,0.738255,,,3.89706,3.04113,3.41543,192.6699981689453,,,,"13164"
"Logan Gilbert","SEA",12,10,,3.69102,32,32,0,0,190,787,176,84,78,25,47,,6,182,8.60242,2.243,3.83522,1.17045,0.230725,0.0601593,0.1705651879310608,0.240084,1.1767,0.287127,0.738013,,,3.87275,3.02272,3.35024,61.529998779296875,,,,"22250"
"Dylan Cease","SDP",10,9,,3.90553,31,31,0,0,174,747,151,82,76,21,74,,7,202,10.4433,3.79423,2.75242,1.10323,0.271043,0.0984745,0.1725686565041542,0.226302,1.28539,0.292499,0.733237,,,3.91995,2.98795,2.65012,105.61000061035156,,,,"18525"
"Blake Snell",,11,8,,3.52139,28,28,0,0,155,657,124,66,61,18,74,,4,196,11.3552,4.29607,2.64315,1.03219,0.297639,0.112607,0.18503119051456451,0.213645,1.27579,0.28962,0.763929,,,3.72778,2.92392,3.48024,69.80999755859375,,,,"13543"
"Mitch Keller","PIT",11,11,,4.14922,32,32,0,0,189,811,184,94,87,22,64,,11,178,8.46277,3.04094,2.78294,1.05866,0.219161,0.0787517,0.1404096707701683,0.249593,1.30943,0.301249,0.708973,,,4.09744,2.9178,3.0298,161.5500030517578,,,,"17594"
"Sonny Gray","STL",10,8,,3.70154,31,31,0,0,175,734,162,78,72,19,57,,8,159,8.21354,2.91638,2.81634,1.00407,0.217378,0.0771844,0.14019352942705154,0.241572,1.2492,0.289993,0.734305,,,3.98584,2.87171,3.51479,116.38999938964844,,,,"12768"
"Chris Bassitt","TOR",13,11,,4.00895,32,32,0,0,197,831,189,95,88,26,56,,12,173,7.89731,2.55841,3.0868,1.16537,0.208351,0.0674973,0.14085335284471512,0.247271,1.23994,0.289087,0.716655,,,4.22337,2.86141,2.92289,130.72000122070312,,,,"12304"
"Joe Musgrove","SDP",11,8,,3.6125,29,29,0,0,173,721,159,75,69,21,43,,13,167,8.67991,2.24713,3.86267,1.10765,0.231271,0.0598733,0.17139728739857674,0.239171,1.16934,0.28886,0.738396,,,3.90097,2.85354,3.34674,90.27999877929688,,,,"12970"
"Jordan Montgomery",,10,9,,3.89618,29,29,0,0,172,725,168,81,74,22,50,,5,159,8.34705,2.60993,3.19819,1.16018,0.219578,0.0686571,0.15092115104198456,0.249936,1.26582,0.297378,0.733926,,,4.03437,2.84039,3.04201,155.22000122070312,,,,"16511"
"Yu Darvish","SDP",11,11,,4.05839,29,29,0,0,174,724,158,84,79,25,46,,10,172,8.87706,2.384,3.7236,1.27524,0.237644,0.063821,0.17382296919822693,0.237291,1.17344,0.283936,0.706702,,,4.08931,2.81623,2.43616,184.0800018310547,,,,"13074"
"Chris Sale","ATL",10,7,,3.80124,28,28,0,0,145,606,129,66,61,20,43,,9,172,10.688,2.68605,3.97909,1.25691,0.283668,0.0712897,0.21237853914499283,0.232617,1.18793,0.30034,0.739049,,,3.7834,2.81248,2.88602,120.16999816894531,,,,"10603"
"Joe Ryan","MIN",11,11,,4.02056,31,31,0,0,175,725,156,84,78,25,47,,9,187,9.64189,2.39991,4.0176,1.30957,0.258441,0.0643271,0.19411350041627884,0.233335,1.15955,0.286373,0.713775,,,3.96001,2.78372,2.68026,84.66999816894531,,,,"21390"
"Bobby Miller","LAD",11,7,,3.88074,26,26,0,0,144,601,131,67,62,17,43,,7,139,8.68452,2.67296,3.24903,1.06142,0.230934,0.0710778,0.15985584259033203,0.237786,1.20823,0.288548,0.709752,,,3.89719,2.64266,2.50802,69.61000061035156,,,,"27483"
"Brayan Bello","BOS",12,12,,4.28395,31,31,0,0,175,759,182,90,83,19,61,,6,154,7.96093,3.16325,2.5167,0.994516,0.203257,0.0807636,0.12249379605054855,0.263176,1.39548,0.31411,0.707749,,,4.07717,2.63117,2.77636,221.22000122070312,,,,"23920"
"Grayson Rodriguez","BAL",10,8,,3.84645,31,31,0,0,165,693,146,76,71,21,54,,6,180,9.77107,2.95815,3.3031,1.154,0.259149,0.0784562,0.1806926131248474,0.231163,1.21219,0.28959,0.725804,,,3.8527,2.62269,2.75236,66.08999633789062,,,,"24492"
