Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Randy Vásquez","SDP",7,7,,4.19492,25,24,,,,118,509,114,59,55,13,38,0,9,90,6.86441,2.89831,2.36842,0.991525,0.176817,0.0746562,0.10216109454631805,0.246753,1.28814,0.281337,0.695067,,,4.26817,1.49229,1.22181,999,,,,,,,455.9000000000001,3.863559322033899,460,3.8983050847457625,,,,,,,,,,,,,,,,,,,"Randy Vasquez","24719",681190
"Keider Montero","DET",7,8,,4.08759,26,24,,,,123.3,523,114,60,56,14,40,0,7,102,7.44526,2.91971,2.55,1.0219,0.195029,0.0764818,0.11854684352874756,0.239496,1.24899,0.277778,0.699405,,,4.13161,1.49186,1.51147,999,,,,,,,506.8200225830077,4.110462368522888,497.50001525878906,4.0348743142362515,,,,,,,,,,,,,,,,,,,"Keider Montero","22630",672456
"George Klassen","LAA",6,7,,4.14864,26,26,,,,106.3,457,96,52,49,12,44,0,3,99,8.38194,3.72531,2.25,1.01599,0.21663,0.0962801,0.12035010010004044,0.234146,1.31703,0.280936,0.714286,,,4.09781,1.49136,1.44747,999,,,,,,,446.42002258300784,4.199623798370396,432.50001525878906,4.068673592118369,,,,,,,,,,,,,,,,,,,"George Klassen","sa3023440",691946
"Chris Paddack","MIN",5,5,,4.35624,21,21,,,,103.3,450,109,53,50,14,29,0,1,93,8.10261,2.52662,3.2069,1.21975,0.206667,0.0644444,0.14222221821546555,0.259524,1.33591,0.303514,0.717905,,,3.99901,1.48276,1.02697,999,,,,,,,404.8200225830079,3.918877159956863,430.50001525878906,4.167473403104255,,,,,,,,,,,,,,,,,,,"Chris Paddack","20099",663978
"Andrew Painter","PHI",5,4,,4.28972,25,25,,,,107,454,92,55,51,14,43,0,5,113,9.50467,3.61682,2.62791,1.17757,0.248899,0.0947137,0.15418502688407898,0.226601,1.26168,0.27957,0.693241,,,4.10106,1.48057,1.21181,999,,,,,,,462.40000000000015,4.321495327102805,435,4.065420560747664,,,,,,,,,,,,,,,,,,,"Andrew Painter","sa3017880",691725
"Sonny Gray","STL",8,7,,3.97383,21,21,,,,122.3,516,118,58,54,16,38,0,5,117,8.60997,2.7964,3.07895,1.17743,0.226744,0.0736434,0.15310078114271164,0.249471,1.27555,0.3,0.733533,,,4.00867,1.47924,1.75655,999,,,,,,,506.4200225830079,4.140801389585322,508.50001525878906,4.157808688227015,,,,,,,,,,,,,,,,,,,"Sonny Gray","12768",543243
"Richard Fitts","BOS",7,6,,4.18953,23,23,,,,120.3,508,121,60,56,14,31,0,4,89,6.65835,2.3192,2.87097,1.04738,0.175197,0.0610236,0.11417323350906372,0.255814,1.26351,0.289189,0.694864,,,4.07255,1.47122,1.74954,999,,,,,,,476.42002258300784,3.9602660889213204,492.50001525878906,4.0939318600590235,,,,,,,,,,,,,,,,,,,"Richard Fitts","30160",690916
"Chase Hampton","NYY",4,3,,4.10997,21,21,,,,107.3,448,96,52,49,13,34,0,2,93,7.80056,2.85182,2.73529,1.0904,0.207589,0.0758929,0.1316964253783226,0.23301,1.21156,0.271242,0.697674,,,4.01457,1.46912,1.47322,999,,,,,,,462.52002258300786,4.3105313087447374,445.50001525878906,4.151910555341693,,,,,,,,,,,,,,,,,,,"Chase Hampton","sa3020682",694633
"Bobby Miller","LAD",6,5,,4.24297,21,21,,,,110.3,462,98,56,52,12,37,0,6,99,8.07797,3.01904,2.67568,0.979148,0.214286,0.0800866,0.1341991350054741,0.23389,1.22393,0.279221,0.668359,,,3.95524,1.46767,1.25171,999,,,,,,,482.82002258300787,4.377334625788238,464.50001525878906,4.211242088912948,,,,,,,,,,,,,,,,,,,"Bobby Miller","27483",676272
"Chase Petty","CIN",6,7,,4.60184,24,24,,,,119.3,511,118,65,61,15,39,0,4,87,6.56329,2.94216,2.23077,1.1316,0.170254,0.0763209,0.09393347054719925,0.252137,1.31601,0.281421,0.676471,,,4.42381,1.46373,1.35241,999,,,,,,,436.5200225830078,3.659010992595075,446.50001525878906,3.7426655811993306,,,,,,,,,,,,,,,,,,,"Chase Petty","sa3017963",695534
"Jordan Wicks","CHC",6,6,,3.9055,24,24,,,,103.7,437,95,48,45,11,34,0,3,90,7.81099,2.95082,2.64706,0.954677,0.20595,0.0778032,0.1281464621424675,0.2375,1.24397,0.280936,0.713028,,,3.88008,1.46104,1.66001,999,,,,,,,454.0799774169923,4.378784867695113,444.49998474121094,4.286403064824253,,,,,,,,,,,,,,,,,,,"Jordan Wicks","30094",696136
"Jonathan Cannon","CHW",7,9,,4.32629,26,24,,,,137.3,579,134,71,66,17,41,0,5,101,6.62054,2.68755,2.46341,1.11435,0.174439,0.0708117,0.10362694412469864,0.251407,1.27458,0.281928,0.687831,,,4.30996,1.46085,1.40406,999,,,,,,,522.5200225830079,3.8056810704223665,529.5000152587891,3.8565185978851297,,,,,,,,,,,,,,,,,,,"Jonathan Cannon","31730",686563
"Joey Cantillo","CLE",6,5,,3.85589,25,23,,,,102.7,439,89,47,44,11,45,0,4,104,9.11392,3.94352,2.31111,0.963973,0.236902,0.102506,0.13439635187387466,0.228205,1.30477,0.283636,0.733558,,,3.96492,1.45725,1.57095,999,,,,,,,454.2799774169922,4.423368947575881,431.49998474121094,4.201557912009232,,,,,,,,,,,,,,,,,,,"Joey Cantillo","23335",676282
"Clay Holmes","NYM",8,6,,3.98058,20,14,,,,92.7,413,99,44,41,7,31,2,5,76,7.37864,3.00971,2.45161,0.679612,0.184019,0.0750605,0.10895884037017822,0.262599,1.40237,0.312925,0.715474,,,3.67349,1.4558,1.29609,999,,,,,,,386.47997741699226,4.169147682203034,416.49998474121094,4.4929881170735975,,,,,,,,,,,,,,,,,,,"Clay Holmes","13649",605280
