team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
MELONHEADS,23,242,10.784181462388625,7443,6637,1682,262,939,936,160,0.25342775350308877,1388,88,0,1349,576.5692977777777,1687.4360300000003,3.738561729106628,1.2157320100864555,9,5,8,7,4,10,2,9,10,9,33,40,73,2,16
HOOSIERS,23,190,10.342097314450983,7912,7005,1764,261,1003,970,218,0.2518201284796574,958,60,84,933,404.17533000000003,1191.41921,3.7970542484342382,1.2436526200417537,8,10,10,10,2,2,9,2,9,5,40,27,67,3,16
WESTSIDE MARAUDERS,23,213,11.1059157624929,7572,6757,1735,254,952,934,154,0.2567707562527749,1346,84,32,1334,585.1030922222222,1657.135892,3.912279219910847,1.2311559375928678,5,7,7,6,7,8,5,8,5,7,32,33,65,4,16
BLUE SOCKS,23,194,10.056647778875925,7456,6729,1730,226,909,895,180,0.2570961509882598,1048,67,88,1122,455.03100333333333,1265.05822,3.907708998091603,1.2071166221374046,2,3,3,9,8,4,10,4,6,10,25,34,59,5,16
NATIONAL PASTIME,23,190,10.357740829458969,7535,6754,1721,255,929,920,146,0.2548119632810187,1160,73,82,1145,510.48995222222214,1426.8028599999998,3.9606979051724127,1.2300024655172412,6,4,4,5,6,7,8,6,3,8,25,32,57,6,16
BIG RED MACHINE,23,151,9.7835293739396,7538,6685,1692,259,947,923,118,0.2531039640987285,1168,70,46,1134,498.3656,1474.7948999999999,3.840145890410959,1.262666866438356,7,6,5,2,3,5,7,5,8,3,23,28,51,7,16
FREE BIRDS,23,188,9.3113126053844,7271,6420,1630,222,881,857,122,0.2538940809968847,1425,87,0,1392,621.7189677777778,1777.0588,3.926646112280702,1.247058807017544,1,1,1,3,5,9,2,10,4,4,11,29,40,8,16
FREE AT LAST,22,151,8.171029757111132,7914,6965,1728,248,981,929,160,0.2480976310122039,1076,60,2,926,509.4301077777778,1414.49108,4.2610325,1.3145827881040892,4,8,6,7,1,2,3,1,1,2,26,9,35,9,16
ERIE LAKERS,23,168,8.01160354551406,7153,6384,1662,236,897,879,126,0.26033834586466165,1078,64,31,969,495.9872877777778,1421.1932799999997,4.140895723562152,1.3183611131725415,3,2,2,4,10,3,4,3,2,1,21,13,34,10,16
WESTSIDE MARAUDERS,23,213,10.831607950847856,7589,6762,1714,265,946,947,140,0.25347530316474415,1336,83,32,1331,579.2260255555556,1636.374092,3.9019717290419162,1.2248309071856287,10,7,10,5,5,10,6,10,6,8,37,40,77,1,17
LOUISVILLE SLUGGERS,23,165,10.749972919614464,7347,6607,1707,259,946,917,190,0.2583623429695777,996,62,94,1064,414.8291555555556,1233.5148000000002,3.748456224899599,1.2384686746987954,8,7,7,8,8,3,10,3,9,7,38,32,70,2,17
MELONHEADS,23,242,10.680404700584063,7276,6497,1639,253,920,910,173,0.2522702785901185,1226,79,38,1273,508.00965555555547,1435.9502400000001,3.7292715334420876,1.1712481566068516,6,5,5,7,4,7,7,9,10,10,27,43,70,2,17
NATIONAL PASTIME,23,190,10.513506722713867,7555,6769,1776,233,940,896,157,0.26237258088343923,1255,77,52,1211,537.2131844444444,1532.13771,3.8525248286852594,1.220826860557769,3,6,4,6,10,6,8,6,7,9,29,36,65,3,17
BLUE SOCKS,23,194,10.349990107905077,7729,6979,1796,232,952,928,200,0.2573434589482734,1234,80,29,1180,539.51172,1545.63613,3.9348504700162077,1.2525414343598056,2,8,8,10,7,8,5,5,5,6,35,29,64,4,17
