team,baseline_n_sims,baseline_wins,baseline_top_3,baseline_avg_rank,baseline_avg_pts,baseline_avg_sgpar,baseline_avg_hit_pts,baseline_avg_pit_pts,baseline_min_pts,baseline_max_pts,scenario_n_sims,scenario_wins,scenario_top_3,scenario_avg_rank,scenario_avg_pts,scenario_avg_sgpar,scenario_avg_hit_pts,scenario_avg_pit_pts,scenario_min_pts,scenario_max_pts,delta_avg_pts,delta_avg_rank,delta_wins,delta_top_3,delta_avg_hit_pts,delta_avg_pit_pts
BLUE SOCKS,100,0,8,4.97,61.24,10.217354567223099,29.15,32.09,50,71,100,11,93,2.33,70.32,10.6090864437822,32.48,37.84,61,79,9.079999999999991,-2.6399999999999997,11,85,3.3299999999999983,5.75
ERIE LAKERS,100,0,0,8.72,34.55,8.07467835642148,21.49,13.059999999999999,28,44,100,0,0,8.36,38.21,8.23539117585995,25.2,13.01,28,49,3.6600000000000037,-0.3600000000000012,0,0,3.710000000000001,-0.049999999999998934
WESTSIDE MARAUDERS,100,47,94,1.74,73.44,11.035463526906842,33.57,39.87,64,81,100,89,100,1.13,76.31,11.115130293354191,35.77,40.54,67,84,2.8700000000000045,-0.6100000000000001,42,6,2.200000000000003,0.6700000000000017
NATIONAL PASTIME,100,0,25,4.24,63.89,10.432111483673518,28.86,35.03,55,71,100,2,49,3.52,65.66,10.445244273104603,28.93,36.73,57,75,1.769999999999996,-0.7200000000000002,2,24,0.07000000000000028,1.6999999999999957
BIG RED MACHINE,100,0,0,6.45,52.65,9.73000555610855,25,27.65,45,60,100,0,0,6.33,53.43,9.755485100135125,25.11,28.32,47,59,0.7800000000000011,-0.1200000000000001,0,0,0.10999999999999943,0.6700000000000017
FREE BIRDS,100,0,0,7.53,43.51,9.215616421326564,14.95,28.56,38,51,100,0,0,7.57,43.87,9.239343990644075,14.7,29.17,37,51,0.35999999999999943,0.040000000000000036,0,0,-0.25,0.610000000000003
FREE AT LAST,100,0,0,9.14,30.82,8.151247979016077,16.48,14.34,23,42,100,0,0,9.2,30.6,8.17533494779855,15.9,14.7,20,44,-0.21999999999999886,0.05999999999999872,0,0,-0.5800000000000001,0.35999999999999943
LOUISVILLE SLUGGERS,100,10,72,2.95,68.53,10.698296675772129,39.92,28.61,58,77,100,6,66,3.03,68.2,10.735526541804106,40.64,27.56,58,79,-0.3299999999999983,0.07999999999999963,-4,-6,0.7199999999999989,-1.0500000000000007
HOOSIERS,100,2,35,4.08,64.49,10.310244430884614,40.42,24.07,55,76,100,0,27,4.11,63.45,10.37014332303394,40.35,23.1,56,73,-1.039999999999992,0.03000000000000025,-2,-8,-0.07000000000000028,-0.9699999999999989
MELONHEADS,100,50,95,1.68,73.47,10.793994889908172,33.08,40.39,62,83,100,0,3,5.4,58.21,9.8501509935725,23.8,34.41,50,66,-15.259999999999998,3.7200000000000006,-50,-92,-9.279999999999998,-5.980000000000004
