team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
HOOSIERS,23,235,10.302311974845109,7976,7103,1778,263,993,979,216,0.25031676756300153,1203,76,14,1082,514.3350055555555,1519.3825499999998,3.8478928096425604,1.2629946384039898,9,10,10,10,3,7,1,3,7,4,42,22,64,3,21
NATIONAL PASTIME,23,258,10.427196551078898,7664,6885,1769,255,939,928,145,0.2569353667392883,1165,74,82,1110,513.0770588888889,1438.99237,3.963685433476395,1.235186583690987,8,6,8,4,6,6,10,4,5,7,32,32,64,3,21
MELONHEADS,21,270,10.598732798871453,6903,6165,1584,240,884,871,152,0.2569343065693431,1275,81,19,1299,534.0592255555556,1527.3124099999998,3.7698298274509807,1.1978920862745097,3,2,2,5,5,9,2,9,10,10,17,40,57,4,21
BIG RED MACHINE,23,204,9.675478501929385,7364,6512,1607,269,920,919,120,0.24677518427518427,1224,73,59,1140,529.3498966666666,1533.4931800000002,3.8922786519607837,1.2528539052287584,10,4,7,2,1,5,9,5,6,6,24,31,55,5,21
BLUE SOCKS,20,270,9.890417428768991,6856,6178,1588,222,847,847,155,0.25704111362900617,1154,74,29,1162,485.1753033333334,1407.66743,3.783862850953206,1.2198157972270363,1,1,1,6,7,6,4,6,9,9,16,34,50,6,21
FREE AT LAST,22,224,8.168006920287741,7830,6860,1696,249,979,913,159,0.24723032069970846,905,50,44,857,411.4059866666667,1173.7542899999999,4.091330254143647,1.2969660662983424,6,8,5,7,2,3,7,1,2,2,28,15,43,7,21
ERIE LAKERS,23,188,8.08582746538113,7373,6527,1689,242,928,900,122,0.2587712578519994,977,53,57,922,451.7915255555555,1281.01404,4.161846192425792,1.3111709723643807,4,5,4,3,9,4,8,2,1,1,25,16,41,8,21
FREE BIRDS,23,250,9.148775747249621,7466,6605,1687,228,900,890,116,0.2554125662376987,1253,77,27,1248,554.0036322222223,1572.26016,3.9792758898643266,1.2547966161213089,2,3,3,1,4,8,3,8,4,5,13,28,41,8,21
LOUISVILLE SLUGGERS,23,214,10.689447984997544,7417,6662,1729,264,956,929,164,0.25953167217051937,972,61,102,1037,406.68479333333335,1198.2634600000001,3.765599938271605,1.2327813374485599,10,9,8,7,10,3,10,3,8,7,44,31,75,1,22
WESTSIDE MARAUDERS,23,262,11.109950365265606,7267,6474,1643,259,924,909,170,0.2537843682421996,1390,87,32,1392,604.3158022222223,1685.618076,3.9128361294964034,1.212674874820144,9,5,6,8,4,10,6,10,6,9,32,41,73,2,22
NATIONAL PASTIME,23,267,10.326070411751422,7380,6628,1708,233,904,882,152,0.2576946288473144,1263,82,52,1272,526.3037733333333,1546.00638,3.750383182897862,1.2240747268408552,4,4,2,6,9,9,7,9,9,8,25,42,67,3,22
BLUE SOCKS,22,270,10.10056917707122,7407,6681,1715,224,902,886,178,0.256698099086963,1139,71,61,1170,488.72301333333337,1405.6450599999998,3.8617270588235297,1.2341045302897278,2,3,4,9,7,6,9,6,7,6,25,34,59,4,22
