team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
MELONHEADS,23,227,10.042936150422259,7357,6516,1638,252,930,911,177,0.2513812154696133,1257,75,17,1238,546.6358111111113,1539.00593,3.9138602227525867,1.2243483929992045,7,5,4,7,4,7,3,8,5,8,27,31,58,5,17
FREE BIRDS,23,243,9.23849180844223,7512,6683,1705,239,906,913,111,0.2551249438874757,1362,85,0,1303,610.4266,1748.45041,4.033655947136563,1.2837374522760645,4,2,5,2,5,10,2,9,3,2,18,26,44,6,17
ERIE LAKERS,23,194,8.273822186134119,7611,6728,1760,251,957,936,108,0.2615933412604043,1030,57,28,926,471.59660111111106,1365.83357,4.120747,1.3260520097087378,6,7,7,1,9,2,6,1,2,1,30,12,42,7,17
FREE AT LAST,23,245,8.058129956206612,7298,6387,1566,238,906,859,143,0.2451855331141381,1195,72,32,1097,549.7662077777778,1516.21571,4.140498635983263,1.2687997573221756,3,2,1,5,1,5,7,3,1,4,12,20,32,8,17
WESTSIDE MARAUDERS,23,264,11.120267578283235,7589,6824,1753,259,942,941,153,0.25688745603751467,1293,81,54,1312,556.354878888889,1586.1669660000002,3.872539760247487,1.2267339257540606,9,5,9,7,8,10,7,10,7,7,38,41,79,1,18
LOUISVILLE SLUGGERS,23,222,10.68679468938535,7469,6728,1751,257,949,929,153,0.26025564803804996,1186,73,38,1225,489.37143000000003,1448.83186,3.713611188870152,1.221612023608769,8,7,7,7,9,6,5,8,10,8,38,37,75,2,18
BLUE SOCKS,23,261,10.419273392680315,7768,7004,1787,240,962,937,191,0.2551399200456882,1170,72,56,1153,496.50749111111116,1424.2273599999996,3.8192883931623935,1.2172883418803415,4,8,8,9,5,5,8,5,9,9,34,36,70,3,18
NATIONAL PASTIME,23,257,10.418355482813896,7573,6802,1739,256,928,925,144,0.2556600999705969,1243,78,52,1222,537.5848577777778,1529.9081300000003,3.892408463395012,1.230819090909091,7,4,6,5,6,8,6,7,6,6,28,33,61,4,18
HOOSIERS,23,224,10.202528916706418,8028,7101,1784,265,1028,977,206,0.25123222081396984,1241,75,8,1092,561.1396822222223,1604.64388,4.069506156325544,1.293024883158743,10,10,10,10,3,7,1,3,1,2,43,14,57,5,18
MELONHEADS,23,227,9.899005427002345,7391,6546,1637,239,922,894,189,0.2500763825236786,1094,68,74,1100,469.90536222222227,1323.55652,3.8657662340036563,1.2098322851919563,3,3,3,8,2,4,10,4,8,10,19,36,55,6,18
BIG RED MACHINE,23,206,9.755502182645493,7503,6661,1692,257,947,925,136,0.25401591352649755,1251,75,27,1188,555.7050555555556,1580.3355999999999,3.9978780975219834,1.2632578737010391,8,6,6,4,4,7,3,6,4,4,28,24,52,7,18
ERIE LAKERS,23,208,8.191531847803459,7282,6474,1689,249,918,911,120,0.2608897126969416,904,53,58,855,398.35706777777773,1164.09625,3.9659442588495573,1.2877170907079647,6,2,5,2,10,3,9,1,5,3,25,21,46,8,18
FREE BIRDS,23,244,8.992687683688244,7236,6422,1646,214,867,848,123,0.2563064465898474,1278,80,32,1287,568.9522077777779,1606.3462200000001,4.0067056885759005,1.256921924882629,2,1,2,3,7,9,4,9,3,5,15,30,45,9,18
FREE AT LAST,23,236,8.303724493676725,7795,6842,1688,246,964,907,146,0.24671148786904415,1174,72,14,1061,528.8434599999999,1533.12106,4.054166218057921,1.3058952810902895,5,9,4,6,1,5,2,2,2,1,25,12,37,10,18
WESTSIDE MARAUDERS,22,270,11.080557442593086,7386,6554,1670,270,956,924,139,0.25480622520598106,1200,76,65,1253,510.8271422222222,1460.8947360000002,3.8312035666666664,1.2174122800000002,10,8,6,6,5,8,9,9,8,8,35,42,77,1,19
LOUISVILLE SLUGGERS,23,204,10.757735305133187,7697,6902,1805,254,987,931,170,0.2615184004636337,1119,70,53,1169,475.3824377777778,1417.92704,3.8234512421805187,1.2671376586237713,7,9,9,7,10,5,7,7,9,3,42,31,73,2,19
