Name,Team,player_type,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ERA,WHIP,sgp_R,sgp_HR,sgp_RBI,sgp_SB,sgp_AVG,sgp_hitting,sgp_W,sgp_SV,sgp_SO,sgp_ERA,sgp_WHIP,sgp_pitching,sgp_total,p_c,p_1b,p_2b,p_3b,p_ss,p_of,p_ci,p_mi,p_dh,p_sp,p_rp
Alek Thomas,ARI,hitter,420,387,94,10,47,45,7,0.243171,NA,NA,NA,NA,NA,NA,0.16158563048173147,0.12023650448508119,0.2533606760161237,0.05775377010209177,0.003180898188947479,0.5961174792739757,0,0,0,0,0,0,0.5961174792739757,0,0,0,0,0,1,0,0,1,0,0
Lucas Giolito,NA,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,151,8,0,135,4.6747,1.38567,0,0,0,0,0,0,0.19623929172787807,0,0.3725443146120844,0.01999303191815534,0.007148042970481464,0.5959246812285993,0.5959246812285993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grant Holmes,ATL,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,129,8,0,122,4.18887,1.3543,0,0,0,0,0,0,0.19623929172787807,0,0.33666967690869853,0.045053985698823254,0.016464569507778595,0.5944275238431785,0.5944275238431785,0,0,0,0,0,0,0,0,0,1,1
Trevor Megill,MIL,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,66,5,11,82,3.27228,1.16935,0,0,0,0,0,0,0.1226495573299238,0.15348158508314091,0.22628617628289574,0.05005295446141882,0.039667861247012,0.5921381344043912,0.5921381344043912,0,0,0,0,0,0,0,0,0,0,1
Carson Benge,NYM,hitter,392,347,84,9,50,44,8,0.240694,NA,NA,NA,NA,NA,NA,0.171899606895459,0.10821285403657308,0.247730438771321,0.06600430868810488,-0.0035084996966228948,0.5903387086948351,0,0,0,0,0,0,0.5903387086948351,0,0,0,0,0,1,0,0,1,0,0
Tyler Freeman,COL,hitter,357,313,86,5,45,34,13,0.27432,NA,NA,NA,NA,NA,NA,0.1547096462059131,0.060118252242540596,0.19142806632329348,0.10725700161817042,0.07472204584093255,0.5882350122308502,0,0,0,0,0,0,0.5882350122308502,0,0,1,0,0,1,0,1,1,0,0
Patrick Bailey,SFG,hitter,525,473,108,11,53,53,3,0.227942,NA,NA,NA,NA,NA,NA,0.18221358330918655,0.1322601549335893,0.2984025739745457,0.02475161575803933,-0.04941830896070162,0.5882096190146592,0,0,0,0,0,0,0.5882096190146592,1,0,0,0,0,0,0,0,1,0,0
Nick Gonzales,PIT,hitter,420,384,101,8,46,45,2,0.263823,NA,NA,NA,NA,NA,NA,0.15814763834382228,0.09618920358806496,0.2533606760161237,0.01650107717202622,0.06184264506366528,0.5860412401837025,0,0,0,0,0,0,0.5860412401837025,0,0,1,0,1,0,0,1,1,0,0
Kodai Senga,NYM,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,119,7,0,119,3.85561,1.32457,0,0,0,0,0,0,0.1717093802618933,0,0.3283909143617633,0.05926285611745016,0.02424373738635669,0.5836068881274634,0.5836068881274634,0,0,0,0,0,0,0,0,0,1,0
Eduardo Rodriguez,ARI,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,132,8,0,118,4.21702,1.35527,0,0,0,0,0,0,0.19623929172787807,0,0.3256313268461183,0.044443195552804224,0.01651973677131684,0.5828335508981173,0.5828335508981173,0,0,0,0,0,0,0,0,0,1,0
Freddy Fermin,SDP,hitter,467,424,103,11,47,47,3,0.24178,NA,NA,NA,NA,NA,NA,0.16158563048173147,0.1322601549335893,0.26462115050572926,0.02475161575803933,-8.795116059575037e-4,0.582339040073132,0,0,0,0,0,0,0.582339040073132,1,0,0,0,0,0,0,0,1,0,0
Foster Griffin,WSN,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,128,7,0,115,4.1029,1.27382,0,0,0,0,0,0,0.1717093802618933,0,0.31735256429918307,0.049616466205004386,0.042704383756520754,0.5813827945226016,0.5813827945226016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Moises Ballesteros,CHC,hitter,382,344,91,9,41,45,2,0.264136,NA,NA,NA,NA,NA,NA,0.1409576776542764,0.10821285403657308,0.2533606760161237,0.01650107717202622,0.05619749850363055,0.57522978338263,0,0,0,0,0,0,0.57522978338263,1,0,0,0,0,0,0,0,1,0,0
Victor Vodnik,COL,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,64,3,22,62,4.25369,1.45757,0,0,0,0,0,0,0.07358973439795427,0.30696317016628183,0.17109442596999433,0.020500679868837867,-0.008748567983387358,0.5633994424196809,0.5633994424196809,0,0,0,0,0,0,0,0,0,0,1
Nick Castellanos,SDP,hitter,357,331,83,11,39,45,3,0.249486,NA,NA,NA,NA,NA,NA,0.13408169337845802,0.1322601549335893,0.2533606760161237,0.02475161575803933,0.018189017464056656,0.562643157550267,0,0,0,0,0,0,0.562643157550267,0,0,0,0,0,1,0,0,1,0,0
Cade Cavalli,WSN,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,135,7,0,115,4.19719,1.33441,0,0,0,0,0,0,0.1717093802618933,0,0.31735256429918307,0.04664817659718741,0.024103242294027983,0.5598133634522917,0.5598133634522917,0,0,0,0,0,0,0,0,0,1,0
Logan Henderson,MIL,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,105,7,0,106,4.12804,1.21752,0,0,0,0,0,0,0.1717093802618933,0,0.29251627665837743,0.039522770287875326,0.0501619467664385,0.5539103739745845,0.5539103739745845,0,0,0,0,0,0,0,0,0,1,0
Brad Lord,WSN,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,147,8,0,111,4.46335,1.35858,0,0,0,0,0,0,0.19623929172787807,0,0.30631421423660277,0.03333090082321061,0.017151560646963562,0.5530359674346549,0.5530359674346549,0,0,0,0,0,0,0,0,0,1,1
JoJo Romero,STL,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,64,5,14,62,3.48865,1.29302,0,0,0,0,0,0,0.1226495573299238,0.1953401991967248,0.17109442596999433,0.042355249309003404,0.018206969623329006,0.5496464014289754,0.5496464014289754,0,0,0,0,0,0,0,0,0,0,1
Rhys Hoskins,NA,hitter,364,316,70,15,40,46,2,0.223124,NA,NA,NA,NA,NA,NA,0.1375196855163672,0.1803547567276218,0.2589909132609265,0.01650107717202622,-0.044281925685497193,0.5490845069914445,0,0,0,0,0,0,0.5490845069914445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clayton Beeter,WSN,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,63,3,17,72,3.97882,1.3578,0,0,0,0,0,0,0.07358973439795427,0.2371988133103087,0.19869030112644503,0.027909761144414496,0.00747644702383484,0.5448650570029573,0.5448650570029573,0,0,0,0,0,0,0,0,0,1,1
JJ Bleday,CIN,hitter,336,295,68,14,42,43,2,0.229716,NA,NA,NA,NA,NA,NA,0.14439566979218557,0.16833110627911368,0.24210020152651823,0.01650107717202622,-0.02694839108333976,0.5443796636865039,0,0,0,0,0,0,0.5443796636865039,0,0,0,0,0,1,0,0,1,0,0
Adrian Houser,SFG,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,147,8,0,105,4.22909,1.38053,0,0,0,0,0,0,0.19623929172787807,0,0.28975668914273234,0.04870159960298882,0.008892664659923917,0.5435902451335232,0.5435902451335232,0,0,0,0,0,0,0,0,0,1,1
Carson Kelly,CHC,hitter,380,336,78,12,43,44,2,0.233318,NA,NA,NA,NA,NA,NA,0.14783366193009476,0.14428380538209745,0.247730438771321,0.01650107717202622,-0.021737491228070473,0.534611492027469,0,0,0,0,0,0,0.534611492027469,1,0,0,0,0,0,0,0,1,0,0
Riley O'Brien,STL,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,63,3,16,65,3.70714,1.31561,0,0,0,0,0,0,0.07358973439795427,0.22324594193911407,0.17937318851692954,0.035549462046629635,0.014279756266136177,0.5260380831667637,0.5260380831667637,0,0,0,0,0,0,0,0,0,0,1
Max Scherzer,NA,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,111,6,0,107,4.33167,1.23224,0,0,0,0,0,0,0.14717946879590854,0,0.2952758641740225,0.031692336124013704,0.04884618100741664,0.5229938501013615,0.5229938501013615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael Soroka,ARI,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,96,6,2,96,4.05996,1.26228,0,0,0,0,0,0,0.14717946879590854,0.02790574274238926,0.26492040150192675,0.03905232248869141,0.03486390225660208,0.513921837785518,0.513921837785518,0,0,0,0,0,0,0,0,0,1,1
Christopher Morel,MIA,hitter,315,280,62,13,37,39,6,0.222935,NA,NA,NA,NA,NA,NA,0.12720570910263967,0.15630745583060557,0.21957925254730726,0.04950323151607866,-0.03962876856437137,0.5129668804322597,0,0,0,0,0,0,0.5129668804322597,0,0,1,1,0,1,1,1,1,0,0
Kyle Freeland,COL,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,160,8,0,118,5.0181,1.41976,0,0,0,0,0,0,0.19623929172787807,0,0.3256313268461183,-0.0033397315790717314,-0.006386933831000313,0.5121439531639242,0.5121439531639242,0,0,0,0,0,0,0,0,0,1,0
Andre Pallante,STL,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,143,8,0,100,4.2488,1.42127,0,0,0,0,0,0,0.19623929172787807,0,0.275958751564507,0.046118327614258554,-0.006261014039766573,0.5120553568668771,0.5120553568668771,0,0,0,0,0,0,0,0,0,1,1
Jacob Young,WSN,hitter,350,315,79,3,40,30,18,0.250978,NA,NA,NA,NA,NA,NA,0.1375196855163672,0.03607095134552436,0.1689071173440825,0.14850969454823598,0.020787741702847553,0.5117951904570576,0,0,0,0,0,0,0.5117951904570576,0,0,0,0,0,1,0,0,1,0,0
Griffin Conine,MIA,hitter,385,342,76,13,42,45,1,0.221781,NA,NA,NA,NA,NA,NA,0.14439566979218557,0.15630745583060557,0.2533606760161237,0.00825053858601311,-0.051324337072648274,0.5109900031522796,0,0,0,0,0,0,0.5109900031522796,0,0,0,0,0,1,0,0,1,0,0
Jake Bauers,MIL,hitter,315,272,59,13,37,38,8,0.21562,NA,NA,NA,NA,NA,NA,0.12720570910263967,0.15630745583060557,0.21394901530250449,0.06600430868810488,-0.05322057198717261,0.5102459169366821,0,0,0,0,0,0,0.5102459169366821,0,1,0,0,0,1,1,0,1,0,1
Sean Murphy,ATL,hitter,348,304,67,15,39,43,0,0.221314,NA,NA,NA,NA,NA,NA,0.13408169337845802,0.1803547567276218,0.24210020152651823,0,-0.04667222626074548,0.5098644253718525,0,0,0,0,0,0,0.5098644253718525,1,0,0,0,0,0,0,0,1,0,0
Kyle Leahy,STL,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,132,6,0,108,4.18539,1.35319,0,0,0,0,0,0,0.14717946879590854,0,0.29803545168966755,0.04630678937109724,0.017222497368903092,0.5087442072255765,0.5087442072255765,0,0,0,0,0,0,0,0,0,0,1
Spencer Schwellenbach,ATL,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,89,6,0,87,3.52041,1.12858,0,0,0,0,0,0,0.14717946879590854,0,0.24008411386112108,0.05763859025607908,0.06277905324611474,0.5076812261592235,0.5076812261592235,0,0,0,0,0,0,0,0,0,1,0
Jordan Lawlar,ARI,hitter,329,293,69,7,40,35,12,0.236957,NA,NA,NA,NA,NA,NA,0.1375196855163672,0.08416555313955684,0.19705830356809625,0.09900646303215732,-0.01106530399448171,0.506684701261696,0,0,0,0,0,0,0.506684701261696,0,0,0,1,1,0,1,1,1,0,0
Robert Suarez,ATL,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,67,5,8,70,3.55854,1.19306,0,0,0,0,0,0,0.1226495573299238,0.11162297096955703,0.1931711260951549,0.042250547212063984,0.03620280406563094,0.5058970056723306,0.5058970056723306,0,0,0,0,0,0,0,0,0,0,1
Thomas Saggese,STL,hitter,371,341,85,8,40,39,4,0.24921,NA,NA,NA,NA,NA,NA,0.1375196855163672,0.09618920358806496,0.21957925254730726,0.03300215434405244,0.01804205624872175,0.5043323522445137,0,0,0,0,0,0,0.5043323522445137,0,0,1,1,1,0,1,1,1,0,0
Jake Mangum,PIT,hitter,315,295,83,3,32,30,12,0.281689,NA,NA,NA,NA,NA,NA,0.11001574841309376,0.03607095134552436,0.1689071173440825,0.09900646303215732,0.08651191939499493,0.5005121995298529,0,0,0,0,0,0,0.5005121995298529,0,0,0,0,0,1,0,0,1,0,0
Kevin Ginkel,ARI,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,62,4,12,64,3.6088,1.27957,0,0,0,0,0,0,0.09811964586393904,0.16743445645433555,0.17661360100128448,0.037706632815230505,0.01977244260904793,0.4996467787438375,0.4996467787438375,0,0,0,0,0,0,0,0,0,0,1
Heriberto Hernandez,MIA,hitter,350,308,69,12,40,42,3,0.222748,NA,NA,NA,NA,NA,NA,0.1375196855163672,0.14428380538209745,0.2364699642817155,0.02475161575803933,-0.04401786803524357,0.49900720290297595,0,0,0,0,0,0,0.49900720290297595,0,0,0,0,0,1,0,0,1,0,0
Jeremiah Estrada,SDP,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,70,5,1,95,3.2891,1.15472,0,0,0,0,0,0,0.1226495573299238,0.01395287137119463,0.26216081398628166,0.05256093121806028,0.04469324855447969,0.49601742245994007,0.49601742245994007,0,0,0,0,0,0,0,0,0,0,1
Bryce Elder,ATL,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,117,7,0,97,4.43177,1.35587,0,0,0,0,0,0,0.1717093802618933,0,0.2676799890175718,0.02817788679577356,0.014462810849057105,0.48203006692429573,0.48203006692429573,0,0,0,0,0,0,0,0,0,1,0
Troy Johnston,COL,hitter,273,248,65,7,31,33,8,0.261612,NA,NA,NA,NA,NA,NA,0.10657775627518458,0.08416555313955684,0.18579782907849074,0.06600430868810488,0.0358822981192093,0.4784277453005463,0,0,0,0,0,0,0.4784277453005463,0,1,0,0,0,1,1,0,1,0,0
Starling Marte,NA,hitter,287,261,69,7,33,31,8,0.26217,NA,NA,NA,NA,NA,NA,0.11345374055100295,0.08416555313955684,0.17453735458888525,0.06600430868810488,0.03884097712232904,0.47700193408987895,0,0,0,0,0,0,0.47700193408987895,0,0,0,0,0,1,0,0,1,0,0
Nasim Nunez,WSN,hitter,315,277,63,3,36,26,24,0.227231,NA,NA,NA,NA,NA,NA,0.12376771696473049,0.03607095134552436,0.1463861683648715,0.19801292606431464,-0.030397981452802796,0.4738397812866382,0,0,0,0,0,0,0.4738397812866382,0,0,1,0,1,0,0,1,1,0,0
Miles Mikolas,WSN,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,141,7,0,93,4.76662,1.33529,0,0,0,0,0,0,0.1717093802618933,0,0.25664163895499154,0.012883938077819818,0.024856903775494432,0.46609186107019906,0.46609186107019906,0,0,0,0,0,0,0,0,0,1,0
Chris Paddack,MIA,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,133,6,0,102,4.82198,1.32187,0,0,0,0,0,0,0.14717946879590854,0,0.2814779265957971,0.008866493343906807,0.028015089987669745,0.4655389787232822,0.4655389787232822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Michael Lorenzen,COL,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,143,7,0,114,5.07724,1.4495,0,0,0,0,0,0,0.1717093802618933,0,0.314592976783538,-0.006759698565388394,-0.01659379095115152,0.46294886752889136,0.46294886752889136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adrian Morejon,SDP,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,68,6,3,69,3.39444,1.20171,0,0,0,0,0,0,0.14717946879590854,0.04185861411358389,0.19041153857950982,0.04786191258066615,0.035237594514052346,0.4625491285837207,0.4625491285837207,0,0,0,0,0,0,0,0,0,0,1
Patrick Corbin,NA,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,131,7,0,105,4.86417,1.42394,0,0,0,0,0,0,0.1717093802618933,0,0.28975668914273234,0.006266220502524252,-0.0066308815031316205,0.46110140840401825,0.46110140840401825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carlos Santana,ARI,hitter,357,312,70,10,38,40,3,0.224251,NA,NA,NA,NA,NA,NA,0.13064370124054883,0.12023650448508119,0.22520948979211,0.02475161575803933,-0.0411193028114022,0.45972200846437716,0,0,0,0,0,0,0.45972200846437716,0,1,0,0,0,0,1,0,1,0,0
Andrew McCutchen,NA,hitter,371,322,75,10,41,36,2,0.232101,NA,NA,NA,NA,NA,NA,0.1409576776542764,0.12023650448508119,0.202688540812899,0.01650107717202622,-0.02373171313196949,0.4566520869923133,0,0,0,0,0,0,0.4566520869923133,0,0,0,0,0,0,0,0,1,0,0
Jose Quintana,COL,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,144,8,0,102,4.86439,1.48581,0,0,0,0,0,0,0.19623929172787807,0,0.2814779265957971,0.00687391872572661,-0.03009299786253502,0.4544981391868668,0.4544981391868668,0,0,0,0,0,0,0,0,0,1,0
Rowdy Tellez,NA,hitter,294,266,62,12,31,37,1,0.231755,NA,NA,NA,NA,NA,NA,0.10657775627518458,0.14428380538209745,0.20831877805770174,0.00825053858601311,-0.02028554459239228,0.44714533370860454,0,0,0,0,0,0,0.44714533370860454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jose Alvarado,PHI,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,64,5,3,75,3.2998,1.24264,0,0,0,0,0,0,0.1226495573299238,0.04185861411358389,0.20696906367338025,0.04775004623305347,0.026459901769341605,0.44568718311928296,0.44568718311928296,0,0,0,0,0,0,0,0,0,0,1
Jesse Winker,NA,hitter,322,271,65,8,36,35,4,0.239306,NA,NA,NA,NA,NA,NA,0.12376771696473049,0.09618920358806496,0.19705830356809625,0.03300215434405244,-0.005523642456453328,0.44449373600849085,0,0,0,0,0,0,0.44449373600849085,0,0,0,0,0,1,0,0,1,0,0
Griffin Canning,SDP,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,108,6,0,96,4.53799,1.36456,0,0,0,0,0,0,0.14717946879590854,0,0.26492040150192675,0.020889906323970787,0.010948062010265162,0.44393783863207126,0.44393783863207126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Austin,CHC,hitter,252,225,55,10,31,35,1,0.246566,NA,NA,NA,NA,NA,NA,0.10657775627518458,0.12023650448508119,0.19705830356809625,0.00825053858601311,0.00750219640783121,0.4396252993222064,0,0,0,0,0,0,0.4396252993222064,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
German Marquez,SDP,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,137,7,0,101,4.99926,1.43278,0,0,0,0,0,0,0.1717093802618933,0,0.2787183390801521,-0.0017075732122430708,-0.010034452347523239,0.43868569378227906,0.43868569378227906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Randy Vasquez,SDP,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,133,7,0,91,4.7873,1.39883,0,0,0,0,0,0,0.1717093802618933,0,0.25112246392370136,0.010925268258220858,0.0018159619518984833,0.435573074395714,0.435573074395714,0,0,0,0,0,0,0,0,0,1,0
Mauricio Dubon,ATL,hitter,336,313,81,5,37,33,3,0.258158,NA,NA,NA,NA,NA,NA,0.12720570910263967,0.060118252242540596,0.18579782907849074,0.02475161575803933,0.03728654863664006,0.43515995481835035,0,0,0,0,0,0,0.43515995481835035,0,1,1,1,1,1,1,1,1,0,0
Otto Kemp,PHI,hitter,273,242,57,8,33,35,5,0.234197,NA,NA,NA,NA,NA,NA,0.11345374055100295,0.09618920358806496,0.19705830356809625,0.041252692930065546,-0.014082010966064347,0.4338719296711654,0,0,0,0,0,0,0.4338719296711654,0,1,1,1,0,1,1,1,1,0,0
Pedro Pages,STL,hitter,358,327,74,10,34,39,1,0.227797,NA,NA,NA,NA,NA,NA,0.11689173268891212,0.12023650448508119,0.21957925254730726,0.00825053858601311,-0.03451533566453676,0.43044269264277696,0,0,0,0,0,0,0.43044269264277696,1,0,0,0,0,0,0,0,1,0,0
Cole Henry,WSN,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,64,2,16,60,4.94176,1.45743,0,0,0,0,0,0,0.04905982293196952,0.22324594193911407,0.1655752509387042,8.448793947519142e-4,-0.008725634071111812,0.4300002611334279,0.4300002611334279,0,0,0,0,0,0,0,0,0,1,1
Keibert Ruiz,WSN,hitter,320,298,74,8,30,35,2,0.249457,NA,NA,NA,NA,NA,NA,0.10313976413727541,0.09618920358806496,0.19705830356809625,0.01650107717202622,0.016311658256373634,0.4292000067218365,0,0,0,0,0,0,0.4292000067218365,1,0,0,0,0,0,0,0,1,0,0
Jared Jones,PIT,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,88,5,0,86,3.95679,1.27735,0,0,0,0,0,0,0.1226495573299238,0,0.23732452634547602,0.03985038032816088,0.028564153284697955,0.4283886172882587,0.4283886172882587,0,0,0,0,0,0,0,0,0,1,0
Tanner Scott,LAD,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,63,4,4,72,3.47063,1.21447,0,0,0,0,0,0,0.09811964586393904,0.05581148548477852,0.19869030112644503,0.0422001748719495,0.030588992975459663,0.4254106003225717,0.4254106003225717,0,0,0,0,0,0,0,0,0,0,1
Justin Steele,CHC,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,81,5,0,76,3.58062,1.20062,0,0,0,0,0,0,0.1226495573299238,0,0.2097286511890253,0.05028072693861968,0.04220017952718873,0.42485911498475754,0.42485911498475754,0,0,0,0,0,0,0,0,0,1,0
Jhostynxon Garcia,PIT,hitter,315,288,67,9,36,33,3,0.23145,NA,NA,NA,NA,NA,NA,0.12376771696473049,0.10821285403657308,0.18579782907849074,0.02475161575803933,-0.02261333102909276,0.41991668480874084,0,0,0,0,0,0,0.41991668480874084,0,0,0,0,0,1,0,0,1,0,0
Michael Conforto,NA,hitter,294,257,58,11,34,34,1,0.226404,NA,NA,NA,NA,NA,NA,0.11689173268891212,0.1322601549335893,0.19142806632329348,0.00825053858601311,-0.02977601502124254,0.41905447751056546,0,0,0,0,0,0,0.41905447751056546,0,0,0,0,0,1,0,0,1,0,0
Josiah Gray,WSN,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,114,6,0,99,4.97281,1.41692,0,0,0,0,0,0,0.14717946879590854,0,0.2731991640488619,-7.501312801043085e-5,-0.0037219980065599247,0.4165816217102001,0.4165816217102001,0,0,0,0,0,0,0,0,0,1,0
Kyle Harrison,MIL,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,89,5,0,89,4.24519,1.32438,0,0,0,0,0,0,0.1226495573299238,0,0.24560328889241123,0.02884642373829399,0.018175153458610878,0.41527442341923987,0.41527442341923987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mike Tauchman,NA,hitter,336,290,68,8,41,31,2,0.235564,NA,NA,NA,NA,NA,NA,0.1409576776542764,0.09618920358806496,0.17453735458888525,0.01650107717202622,-0.013941471036830012,0.4142438419664228,0,0,0,0,0,0,0.4142438419664228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Luke Weaver,NYM,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,67,4,4,73,3.99824,1.2391,0,0,0,0,0,0,0.09811964586393904,0.05581148548477852,0.20144988864209012,0.029101042156561712,0.028307292847091173,0.41278935499446057,0.41278935499446057,0,0,0,0,0,0,0,0,0,0,1
Tommy Pham,NA,hitter,308,275,67,7,34,30,5,0.242509,NA,NA,NA,NA,NA,NA,0.11689173268891212,0.08416555313955684,0.1689071173440825,0.041252692930065546,9.131195629348822e-4,0.4121302156655519,0,0,0,0,0,0,0.4121302156655519,0,0,0,0,0,1,0,0,1,0,0
Hunter Harvey,CHC,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,52,4,5,58,3.0903,1.10268,0,0,0,0,0,0,0.09811964586393904,0.06976435685597315,0.16005607590741405,0.04365947856337975,0.04012714996754609,0.41172670715825205,0.41172670715825205,0,0,0,0,0,0,0,0,0,0,1
Randal Grichuk,NA,hitter,273,251,61,9,32,32,1,0.244188,NA,NA,NA,NA,NA,NA,0.11001574841309376,0.10821285403657308,0.180167591833688,0.00825053858601311,0.003952093101175284,0.4105988259705432,0,0,0,0,0,0,0.4105988259705432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tyler Anderson,NA,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,125,6,0,96,4.86567,1.43034,0,0,0,0,0,0,0.14717946879590854,0,0.26492040150192675,0.005895526910927489,-0.008374847745692568,0.4096205494630702,0.4096205494630702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Graham Pauley,MIA,hitter,301,269,61,8,34,33,4,0.228662,NA,NA,NA,NA,NA,NA,0.11689173268891212,0.09618920358806496,0.18579782907849074,0.03300215434405244,-0.02667143117648757,0.40520948852303273,0,0,0,0,0,0,0.40520948852303273,0,0,0,1,0,0,1,0,1,0,0
Ty France,NA,hitter,294,264,67,7,31,33,1,0.252114,NA,NA,NA,NA,NA,NA,0.10657775627518458,0.08416555313955684,0.18579782907849074,0.00825053858601311,0.019641460532819094,0.40443313761206434,0,0,0,0,0,0,0.40443313761206434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Robert Gasser,MIL,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,84,5,0,78,4.06081,1.25805,0,0,0,0,0,0,0.1226495573299238,0,0.21524782622031546,0.03413891259688805,0.03141538743320379,0.40345168358033107,0.40345168358033107,0,0,0,0,0,0,0,0,0,1,0
Phil Maton,CHC,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,65,4,4,67,3.75616,1.22859,0,0,0,0,0,0,0.09811964586393904,0.05581148548477852,0.1848923635482197,0.035255802881372686,0.029210881862348926,0.4032901796406589,0.4032901796406589,0,0,0,0,0,0,0,0,0,0,1
Orion Kerkering,PHI,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,63,5,1,70,3.48185,1.21186,0,0,0,0,0,0,0.1226495573299238,0.01395287137119463,0.1931711260951549,0.04188466602285183,0.03100986609995377,0.40266808691907896,0.40266808691907896,0,0,0,0,0,0,0,0,0,0,1
Caleb Thielbar,CHC,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,66,5,1,69,3.6316,1.2141,0,0,0,0,0,0,0.1226495573299238,0.01395287137119463,0.19041153857950982,0.039467647303830254,0.03210811683788133,0.39858973142233983,0.39858973142233983,0,0,0,0,0,0,0,0,0,0,1
Sung-Mun Song,SDP,hitter,294,267,65,6,32,29,6,0.243378,NA,NA,NA,NA,NA,NA,0.11001574841309376,0.07214190269104873,0.16327688009927974,0.04950323151607866,0.0026035754900649443,0.3975413382095659,0,0,0,0,0,0,0.3975413382095659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alex Vesia,LAD,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,61,4,1,77,3.5467,1.18522,0,0,0,0,0,0,0.09811964586393904,0.01395287137119463,0.2124882387046704,0.038789289871625575,0.034184859478206826,0.3975349052896364,0.3975349052896364,0,0,0,0,0,0,0,0,0,0,1
Miguel Amaya,CHC,hitter,284,254,61,8,30,34,1,0.239781,NA,NA,NA,NA,NA,NA,0.10313976413727541,0.09618920358806496,0.19142806632329348,0.00825053858601311,-0.004284305313791353,0.39472326732085555,0,0,0,0,0,0,0.39472326732085555,1,0,0,0,0,0,0,0,1,0,0
