Name,Team,player_type,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ERA,WHIP,sgp_R,sgp_HR,sgp_RBI,sgp_SB,sgp_AVG,sgp_hitting,sgp_W,sgp_SV,sgp_SO,sgp_ERA,sgp_WHIP,sgp_pitching,sgp_total,p_c,p_1b,p_2b,p_3b,p_ss,p_of,p_ci,p_mi,p_dh,p_sp,p_rp
Connor Norby,MIA,hitter,497,452,111,15,61,58,8,0.244917,NA,NA,NA,NA,NA,NA,0.20971752041246,0.1803547567276218,0.3265537601985595,0.06600430868810488,0.009555345739339197,0.7921856917660854,0,0,0,0,0,0,0.7921856917660854,0,0,1,1,0,0,1,1,1,0,0
Jake Cronenworth,SDP,hitter,630,541,127,15,70,65,4,0.2345,NA,NA,NA,NA,NA,NA,0.2406594496536426,0.1803547567276218,0.36596542091217876,0.03300215434405244,-0.030267794262491703,0.7897139873750039,0,0,0,0,0,0,0.7897139873750039,0,1,1,0,1,0,1,1,1,0,0
J.T. Realmuto,PHI,hitter,500,454,114,15,56,58,7,0.25131,NA,NA,NA,NA,NA,NA,0.19252755972291408,0.1803547567276218,0.3265537601985595,0.05775377010209177,0.031076164349442915,0.7882660111006301,0,0,0,0,0,0,0.7882660111006301,1,0,0,0,0,0,0,0,1,0,0
Justin Crawford,PHI,hitter,427,388,107,6,56,43,22,0.276432,NA,NA,NA,NA,NA,NA,0.19252755972291408,0.07214190269104873,0.24210020152651823,0.1815118488922884,0.09869083759580566,0.7869723504285752,0,0,0,0,0,0,0.7869723504285752,0,0,0,0,0,1,0,0,1,0,0
Brett Baty,NYM,hitter,455,410,102,18,54,57,5,0.249412,NA,NA,NA,NA,NA,NA,0.18565157544709573,0.21642570807314615,0.32092352295375676,0.041252692930065546,0.022305680466866457,0.7865591798709305,0,0,0,0,0,0,0.7865591798709305,0,0,1,1,0,0,1,1,1,0,0
Nick Lodolo,CIN,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,151,9,0,154,4.1332,1.2016,0,0,0,0,0,0,0.22076920319386284,0,0.4249764774093408,0.05648972760010688,0.07829070258168536,0.7805261107849958,0.7805261107849958,0,0,0,0,0,0,0,0,0,1,0
Jordan Walker,STL,hitter,546,495,118,15,56,60,10,0.238513,NA,NA,NA,NA,NA,NA,0.19252755972291408,0.1803547567276218,0.337814234688165,0.08250538586013109,-0.012994152267182492,0.7802077847316495,0,0,0,0,0,0,0.7802077847316495,0,0,0,0,0,1,0,0,1,0,0
Brady Singer,CIN,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,169,10,0,160,4.37766,1.29704,0,0,0,0,0,0,0.2452991146598476,0,0.4415340025032112,0.04478310421100469,0.046338845978371374,0.7779550673524349,0.7779550673524349,0,0,0,0,0,0,0,0,0,1,0
Gabriel Moreno,ARI,hitter,456,406,113,11,54,56,4,0.279114,NA,NA,NA,NA,NA,NA,0.18565157544709573,0.1322601549335893,0.315293285708954,0.03300215434405244,0.11132731023749604,0.7775344806711875,0,0,0,0,0,0,0.7775344806711875,1,0,0,0,0,0,0,0,1,0,0
Mitch Keller,PIT,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,175,10,0,152,4.19281,1.29671,0,0,0,0,0,0,0.2452991146598476,0,0.4194573023780506,0.060811987874312023,0.048131828339244426,0.7737002332514546,0.7737002332514546,0,0,0,0,0,0,0,0,0,1,0
Joe Musgrove,SDP,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,158,9,0,145,3.8919,1.21494,0,0,0,0,0,0,0.22076920319386284,0,0.40014018976853516,0.07612583082111894,0.07652517718783144,0.7735604009713484,0.7735604009713484,0,0,0,0,0,0,0,0,0,1,0
Tyler Glasnow,LAD,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,133,8,0,155,3.67848,1.19696,0,0,0,0,0,0,0.19623929172787807,0,0.42773606492498584,0.07675026250532926,0.07053760925674711,0.7712632284149402,0.7712632284149402,0,0,0,0,0,0,0,0,0,1,0
Max Muncy,LAD,hitter,455,375,82,21,60,62,3,0.219901,NA,NA,NA,NA,NA,NA,0.20627952827455082,0.2524966594186705,0.3490747091777705,0.02475161575803933,-0.0614938348966544,0.7711086777323768,0,0,0,0,0,0,0.7711086777323768,0,0,0,1,0,0,1,0,1,0,0
Ryan Walker,SFG,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,63,5,27,68,3.27256,1.1824,0,0,0,0,0,0,0.1226495573299238,0.376727527022255,0.18765195106386476,0.04776994650659965,0.035760411022404535,0.7705593929450477,0.7705593929450477,0,0,0,0,0,0,0,0,0,0,1
Jacob Misiorowski,MIL,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,138,9,0,159,3.96565,1.27891,0,0,0,0,0,0,0.22076920319386284,0,0.43877441498756614,0.06194689539434493,0.04424275763698714,0.765733271212761,0.765733271212761,0,0,0,0,0,0,0,0,0,1,1
Raisel Iglesias,ATL,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,66,5,26,71,3.61405,1.15105,0,0,0,0,0,0,0.1226495573299238,0.3627746556510604,0.19593071361079997,0.03998465760277181,0.042759332145047554,0.7640989163396035,0.7640989163396035,0,0,0,0,0,0,0,0,0,0,1
Brandon Pfaadt,ARI,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,162,10,0,144,4.21835,1.25126,0,0,0,0,0,0,0.2452991146598476,0,0.39738060225289007,0.05444775066828876,0.06340231469538066,0.760529782276407,0.760529782276407,0,0,0,0,0,0,0,0,0,1,0
Brady House,WSN,hitter,525,492,121,14,55,61,5,0.24479,NA,NA,NA,NA,NA,NA,0.18908956758500492,0.16833110627911368,0.34344447193296773,0.041252692930065546,0.009938556705942278,0.752056395433094,0,0,0,0,0,0,0.752056395433094,0,0,0,1,0,0,1,0,1,0,0
Quinn Priester,MIL,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,174,10,0,145,4.11826,1.31483,0,0,0,0,0,0,0.2452991146598476,0,0.40014018976853516,0.06625444374452429,0.03978671417113315,0.7514804623440402,0.7514804623440402,0,0,0,0,0,0,0,0,0,1,1
Reynaldo Lopez,ATL,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,144,9,0,145,3.82839,1.25639,0,0,0,0,0,0,0.22076920319386284,0,0.40014018976853516,0.07346259561193631,0.054466793902271826,0.7488387824766062,0.7488387824766062,0,0,0,0,0,0,0,0,0,1,0
Andrew Abbott,CIN,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,164,9,0,149,4.1713,1.27032,0,0,0,0,0,0,0.22076920319386284,0,0.4111785398311154,0.058564091601768335,0.0561841954431941,0.7466960300699407,0.7466960300699407,0,0,0,0,0,0,0,0,0,1,0
Nolan McLean,NYM,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,145,10,0,140,3.8222,1.29459,0,0,0,0,0,0,0.2452991146598476,0,0.3863422521903098,0.07437337636585889,0.04066747524822013,0.7466822184642365,0.7466822184642365,0,0,0,0,0,0,0,0,1,1,0
Jared Triolo,PIT,hitter,553,485,119,9,62,51,15,0.244832,NA,NA,NA,NA,NA,NA,0.21315551255036916,0.10821285403657308,0.28714209948494024,0.12375807879019664,0.009947896796270205,0.7422164416583493,0,0,0,0,0,0,0.7422164416583493,0,1,1,1,1,0,1,1,1,0,0
Edward Cabrera,CHC,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,137,9,0,146,3.92343,1.2495,0,0,0,0,0,0,0.22076920319386284,0,0.40289977728418025,0.06407977118705752,0.05423517483272016,0.7419839264978207,0.7419839264978207,0,0,0,0,0,0,0,0,0,1,0
Gavin Sheets,SDP,hitter,511,460,111,17,51,62,2,0.240368,NA,NA,NA,NA,NA,NA,0.17533759903336818,0.20440205762463803,0.3490747091777705,0.01650107717202622,-0.005760772863956468,0.7395546701438465,0,0,0,0,0,0,0.7395546701438465,0,1,0,0,0,1,1,0,1,0,0
Shota Imanaga,CHC,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,147,9,0,134,4.03932,1.17616,0,0,0,0,0,0,0.22076920319386284,0,0.3697847270964394,0.06115313852315663,0.08578881832148572,0.7374958871349446,0.7374958871349446,0,0,0,0,0,0,0,0,0,1,0
Spencer Horwitz,PIT,hitter,490,425,114,11,62,51,2,0.269064,NA,NA,NA,NA,NA,NA,0.21315551255036916,0.1322601549335893,0.28714209948494024,0.01650107717202622,0.08492905318465657,0.7339878973255815,0,0,0,0,0,0,0.7339878973255815,0,1,1,0,0,0,1,1,1,0,0
Chase Burns,CIN,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,123,8,0,142,3.74716,1.17088,0,0,0,0,0,0,0.19623929172787807,0,0.39186142722159995,0.06720893939781906,0.0734447797421742,0.7287544380894713,0.7287544380894713,0,0,0,0,0,0,0,0,0,1,1
David Peterson,NYM,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,163,9,0,146,3.85319,1.35066,0,0,0,0,0,0,0.22076920319386284,0,0.40289977728418025,0.08135124093972308,0.022322723451309288,0.7273429448690755,0.7273429448690755,0,0,0,0,0,0,0,0,0,1,0
Pete Fairbanks,MIA,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,62,4,27,64,3.382,1.20429,0,0,0,0,0,0,0.09811964586393904,0.376727527022255,0.17661360100128448,0.043983065535248236,0.03171896323386597,0.7271628026565926,0.7271628026565926,0,0,0,0,0,0,0,0,0,0,1
Ryne Nelson,ARI,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,167,9,0,137,4.09114,1.26844,0,0,0,0,0,0,0.22076920319386284,0,0.3780634896433746,0.06561058418967926,0.05801556349741183,0.7224588405243285,0.7224588405243285,0,0,0,0,0,0,0,0,0,1,1
Eury Perez,MIA,pitcher,NA,NA,NA,NA,NA,NA,NA,NA,135,8,0,145,4.04361,1.20605,0,0,0,0,0,0,0.19623929172787807,0,0.40014018976853516,0.05590254043302,0.06845732625138758,0.7207393481808207,0.7207393481808207,0,0,0,0,0,0,0,0,0,1,0
