Name,Team,billikenTeam,contract,salary,point_value,repl,par,ev,surplus,PA,HR,R,RBI,SB,AVG,IP,W,SV,SO,ERA,WHIP,p_c,p_1b,p_2b,p_3b,p_ss,p_of,p_ci,p_mi,keepingTeam,pick
Max Lazar,PHI,NA,NA,NA,0.2,1.6,-1.4000000000000001,0.9,NA,NA,NA,NA,NA,NA,NA,38,2,0,30,4.53,1.34,0,0,0,0,0,0,0,0,NA,327
Connor Phillips,CIN,NA,NA,NA,0.2,1.6,-1.4000000000000001,0.9,NA,NA,NA,NA,NA,NA,NA,56,3,0,59,4.63,1.4,0,0,0,0,0,0,0,0,NA,328
Casey Schmitt,SFG,National Pastime,2,1,1.8,3.3,-1.4999999999999998,0.6,-0.4,210,7,23,25,1,0.248,NA,NA,NA,NA,NA,NA,0,1,1,1,1,0,1,1,NA,329
Ryan Ritter,COL,NA,NA,NA,1.8,3.3,-1.4999999999999998,0.6,NA,189,5,23,22,3,0.253,NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,1,NA,330
Robert Hassell III,WSN,NA,NA,NA,1.8,3.3,-1.4999999999999998,0.6,NA,252,4,26,24,6,0.242,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,331
Endy Rodriguez,PIT,Hoosiers,2,5,0.4,1.9,-1.5,0.6,-4.4,54,1,6,6,0,0.242,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,1,0,NA,332
Endy Rodriguez,PIT,Blue Socks,2,1,0.4,1.9,-1.5,0.6,-0.4,54,1,6,6,0,0.242,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,1,0,NA,333
Andrew Painter,PHI,Free At Last,Opt,1,0.1,1.6,-1.5,0.6,-0.4,NA,NA,NA,NA,NA,NA,104,5,0,90,4.72,1.39,0,0,0,0,0,0,0,0,NA,334
Jake Irvin,WSN,National Pastime,2,1,0.1,1.6,-1.5,0.6,-0.4,NA,NA,NA,NA,NA,NA,100,5,0,75,4.82,1.37,0,0,0,0,0,0,0,0,NA,335
Quinn Mathews,STL,Hoosiers,2,4,0.1,1.6,-1.5,0.6,-3.4,NA,NA,NA,NA,NA,NA,40,2,0,36,4.31,1.46,0,0,0,0,0,0,0,0,NA,336
Matt Waldron,SDP,NA,NA,NA,0.1,1.6,-1.5,0.6,NA,NA,NA,NA,NA,NA,NA,34,2,0,27,4.83,1.34,0,0,0,0,0,0,0,0,NA,337
Mitch Bratt,ARI,NA,NA,NA,0.1,1.6,-1.5,0.6,NA,NA,NA,NA,NA,NA,NA,9,0,0,7,4.14,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,338
Thomas Harrington,PIT,NA,NA,NA,0.1,1.6,-1.5,0.6,NA,NA,NA,NA,NA,NA,NA,16,1,0,13,4.59,1.34,0,0,0,0,0,0,0,0,NA,339
Alex Carrillo,NYM,NA,NA,NA,0.1,1.6,-1.5,0.6,NA,NA,NA,NA,NA,NA,NA,20,1,0,21,4.3,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,340
AJ Smith-Shawver,ATL,NA,NA,NA,0.1,1.6,-1.5,0.6,NA,NA,NA,NA,NA,NA,NA,6,0,0,7,3.85,1.28,0,0,0,0,0,0,0,0,NA,341
K.C. Hunt,MIL,NA,NA,NA,0.1,1.6,-1.5,0.6,NA,NA,NA,NA,NA,NA,NA,10,1,0,9,4.2,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,342
Kyle Backhus,PHI,NA,NA,NA,0.1,1.6,-1.5,0.6,NA,NA,NA,NA,NA,NA,NA,16,1,0,15,4.3,1.34,0,0,0,0,0,0,0,0,NA,343
Bobby Miller,LAD,NA,NA,NA,0.1,1.6,-1.5,0.6,NA,NA,NA,NA,NA,NA,NA,26,1,0,25,4.56,1.37,0,0,0,0,0,0,0,0,NA,344
Zack Thompson,STL,NA,NA,NA,0.1,1.6,-1.5,0.6,NA,NA,NA,NA,NA,NA,NA,10,1,0,10,4.15,1.39,0,0,0,0,0,0,0,0,NA,345
Chris Roycroft,STL,NA,NA,NA,0.1,1.6,-1.5,0.6,NA,NA,NA,NA,NA,NA,NA,40,2,0,32,4.29,1.45,0,0,0,0,0,0,0,0,NA,346
Jeff Criswell,COL,NA,NA,NA,0.1,1.6,-1.5,0.6,NA,NA,NA,NA,NA,NA,NA,12,1,0,11,4.76,1.45,0,0,0,0,0,0,0,0,NA,347
Ken Waldichuk,WSN,NA,NA,NA,0.1,1.6,-1.5,0.6,NA,NA,NA,NA,NA,NA,NA,13,1,0,13,4.47,1.39,0,0,0,0,0,0,0,0,NA,348
Ronan Kopp,LAD,NA,NA,NA,0.1,1.6,-1.5,0.6,NA,NA,NA,NA,NA,NA,NA,10,1,0,11,4.53,1.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,349
Jake Eder,WSN,NA,NA,NA,0.1,1.6,-1.5,0.6,NA,NA,NA,NA,NA,NA,NA,14,1,0,11,4.61,1.39,0,0,0,0,0,0,0,0,NA,350
Josh Simpson,MIA,NA,NA,NA,0.1,1.6,-1.5,0.6,NA,NA,NA,NA,NA,NA,NA,14,1,0,14,4.34,1.44,0,0,0,0,0,0,0,0,NA,351
Jackson Wolf,SDP,NA,NA,NA,0.1,1.6,-1.5,0.6,NA,NA,NA,NA,NA,NA,NA,12,1,0,10,4.4,1.33,0,0,0,0,0,0,0,0,NA,352
Chris Devenski,PIT,NA,NA,NA,0.1,1.6,-1.5,0.6,NA,NA,NA,NA,NA,NA,NA,24,1,0,20,4.43,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,353
Nolan Hoffman,PHI,NA,NA,NA,0.1,1.6,-1.5,0.6,NA,NA,NA,NA,NA,NA,NA,12,1,0,11,4.58,1.42,0,0,0,0,0,0,0,0,NA,354
James Karinchak,ATL,NA,NA,NA,0.1,1.6,-1.5,0.6,NA,NA,NA,NA,NA,NA,NA,14,1,0,16,4.39,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,355
Michael Petersen,MIA,NA,NA,NA,0.1,1.6,-1.5,0.6,NA,NA,NA,NA,NA,NA,NA,28,1,0,26,4.39,1.36,0,0,0,0,0,0,0,0,NA,356
Wilber Dotel,PIT,NA,NA,NA,0.1,1.6,-1.5,0.6,NA,NA,NA,NA,NA,NA,NA,12,1,0,10,4.54,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,357
Chase Shugart,PHI,NA,NA,NA,0.1,1.6,-1.5,0.6,NA,NA,NA,NA,NA,NA,NA,42,2,0,34,4.65,1.38,0,0,0,0,0,0,0,0,NA,358
Gavin Hollowell,CHC,NA,NA,NA,0.1,1.6,-1.5,0.6,NA,NA,NA,NA,NA,NA,NA,16,1,0,15,4.5,1.4,0,0,0,0,0,0,0,0,NA,359
Genesis Cabrera,PHI,NA,NA,NA,0.1,1.6,-1.5,0.6,NA,NA,NA,NA,NA,NA,NA,18,1,0,16,4.67,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,360
Jack Neely,CHC,NA,NA,NA,0.1,1.6,-1.5,0.6,NA,NA,NA,NA,NA,NA,NA,18,1,0,18,4.47,1.39,0,0,0,0,0,0,0,0,NA,361
Garrett Acton,MIA,NA,NA,NA,0.1,1.6,-1.5,0.6,NA,NA,NA,NA,NA,NA,NA,16,1,0,15,4.66,1.42,0,0,0,0,0,0,0,0,NA,362
Ryan Rolison,CHC,NA,NA,NA,0.1,1.6,-1.5,0.6,NA,NA,NA,NA,NA,NA,NA,15,1,0,11,4.48,1.41,0,0,0,0,0,0,0,0,NA,363
Daison Acosta,SDP,NA,NA,NA,0.1,1.6,-1.5,0.6,NA,NA,NA,NA,NA,NA,NA,18,1,0,18,4.44,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,364
Yilber Diaz,ARI,NA,NA,NA,0.1,1.6,-1.5,0.6,NA,NA,NA,NA,NA,NA,NA,24,1,0,23,4.31,1.45,0,0,0,0,0,0,0,0,NA,365
Paul Gervase,LAD,NA,NA,NA,0.1,1.6,-1.5,0.6,NA,NA,NA,NA,NA,NA,NA,32,2,0,34,4.66,1.4,0,0,0,0,0,0,0,0,NA,366
Zach Pop,PHI,NA,NA,NA,0.1,1.6,-1.5,0.6,NA,NA,NA,NA,NA,NA,NA,52,3,0,40,4.65,1.41,0,0,0,0,0,0,0,0,NA,367
Brandan Bidois,PIT,NA,NA,NA,0.1,1.6,-1.5,0.6,NA,NA,NA,NA,NA,NA,NA,40,2,0,37,4.49,1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,368
Austin Love,STL,NA,NA,NA,0.1,1.6,-1.5,0.6,NA,NA,NA,NA,NA,NA,NA,32,2,0,27,4.51,1.43,0,0,0,0,0,0,0,0,NA,369
Juan Burgos,ARI,NA,NA,NA,0.1,1.6,-1.5,0.6,NA,NA,NA,NA,NA,NA,NA,28,2,0,22,4.59,1.46,0,0,0,0,0,0,0,0,NA,370
Kyle Karros,COL,NA,NA,NA,1.7,3.3,-1.5999999999999999,0.3,NA,217,3,25,22,2,0.261,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0,NA,371
Nathan Church,STL,NA,NA,NA,1.7,3.3,-1.5999999999999999,0.3,NA,203,3,23,21,5,0.253,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,372
Blaine Crim,COL,NA,NA,NA,1.7,3.3,-1.5999999999999999,0.3,NA,182,6,22,22,1,0.259,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,NA,373
Riley Adams,WSN,NA,NA,NA,0.3,1.9,-1.5999999999999999,0.3,NA,61,2,6,6,0,0.212,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,NA,374
Martin Perez,ATL,NA,NA,NA,0,1.6,-1.6,0.3,NA,NA,NA,NA,NA,NA,NA,36,2,0,27,4.53,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,375
Alan Rangel,PHI,NA,NA,NA,0,1.6,-1.6,0.3,NA,NA,NA,NA,NA,NA,NA,28,1,0,22,4.84,1.35,0,0,0,0,0,0,0,0,NA,376
JR Ritchie,ATL,NA,NA,NA,0,1.6,-1.6,0.3,NA,NA,NA,NA,NA,NA,NA,9,0,0,7,4.5,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,377
Tink Hence,STL,NA,NA,NA,-0,1.6,-1.6,0.3,NA,NA,NA,NA,NA,NA,NA,8,0,0,7,4.4,1.38,0,0,0,0,0,0,0,0,NA,378
Landon Knack,LAD,NA,NA,NA,0,1.6,-1.6,0.3,NA,NA,NA,NA,NA,NA,NA,23,1,0,20,4.94,1.37,0,0,0,0,0,0,0,0,NA,379
Pete Hansen,STL,NA,NA,NA,-0,1.6,-1.6,0.3,NA,NA,NA,NA,NA,NA,NA,9,0,0,6,4.59,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,380
RJ Petit,COL,NA,NA,NA,0,1.6,-1.6,0.3,NA,NA,NA,NA,NA,NA,NA,55,3,0,47,4.79,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,381
Didier Fuentes,ATL,NA,NA,NA,-0,1.6,-1.6,0.3,NA,NA,NA,NA,NA,NA,NA,8,0,0,8,4.24,1.28,0,0,0,0,0,0,0,0,NA,382
Josh Staumont,CIN,NA,NA,NA,0,1.6,-1.6,0.3,NA,NA,NA,NA,NA,NA,NA,12,1,0,12,4.79,1.49,0,0,0,0,0,0,0,0,NA,383
Lou Trivino,PHI,NA,NA,NA,0,1.6,-1.6,0.3,NA,NA,NA,NA,NA,NA,NA,24,1,0,21,4.59,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,384
Ryan Lambert,NYM,NA,NA,NA,0,1.6,-1.6,0.3,NA,NA,NA,NA,NA,NA,NA,12,0,0,13,4.24,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,385
Nick Burdi,NYM,NA,NA,NA,-0,1.6,-1.6,0.3,NA,NA,NA,NA,NA,NA,NA,8,0,0,9,4.12,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,386
Collin Snider,CHC,NA,NA,NA,-0,1.6,-1.6,0.3,NA,NA,NA,NA,NA,NA,NA,10,0,0,8,4.43,1.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,387
Tucker Davidson,PHI,NA,NA,NA,-0,1.6,-1.6,0.3,NA,NA,NA,NA,NA,NA,NA,8,0,0,6,4.5,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,388
Tate Kuehner,MIL,NA,NA,NA,-0,1.6,-1.6,0.3,NA,NA,NA,NA,NA,NA,NA,8,0,0,7,4.24,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,389
Lyon Richardson,CIN,NA,NA,NA,0,1.6,-1.6,0.3,NA,NA,NA,NA,NA,NA,NA,22,1,0,19,4.59,1.44,0,0,0,0,0,0,0,0,NA,390
Shinnosuke Ogasawara,WSN,NA,NA,NA,0,1.6,-1.6,0.3,NA,NA,NA,NA,NA,NA,NA,8,0,0,6,4.62,1.36,0,0,0,0,0,0,0,0,NA,391
Isaiah Campbell,ARI,NA,NA,NA,0,1.6,-1.6,0.3,NA,NA,NA,NA,NA,NA,NA,14,1,0,10,4.38,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,392
Keegan Thompson,COL,NA,NA,NA,0,1.6,-1.6,0.3,NA,NA,NA,NA,NA,NA,NA,40,2,0,38,4.79,1.43,0,0,0,0,0,0,0,0,NA,393
Dale Stanavich,MIA,NA,NA,NA,0,1.6,-1.6,0.3,NA,NA,NA,NA,NA,NA,NA,12,1,0,11,4.41,1.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,394
Blake Walston,ARI,NA,NA,NA,-0,1.6,-1.6,0.3,NA,NA,NA,NA,NA,NA,NA,10,0,0,8,4.45,1.44,0,0,0,0,0,0,0,0,NA,395
Jose Franco,CIN,NA,NA,NA,-0,1.6,-1.6,0.3,NA,NA,NA,NA,NA,NA,NA,14,1,0,13,4.92,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,396
Ryder Ryan,LAD,NA,NA,NA,0,1.6,-1.6,0.3,NA,NA,NA,NA,NA,NA,NA,12,1,0,9,4.68,1.47,0,0,0,0,0,0,0,0,NA,397
Ryder Ryan,LAD,NA,NA,NA,0,1.6,-1.6,0.3,NA,NA,NA,NA,NA,NA,NA,12,1,0,9,4.68,1.47,0,0,0,0,0,0,0,0,NA,398
Francis Pena,SDP,NA,NA,NA,0,1.6,-1.6,0.3,NA,NA,NA,NA,NA,NA,NA,16,1,0,13,4.36,1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,399
Reggie Crawford,SFG,NA,NA,NA,-0,1.6,-1.6,0.3,NA,NA,NA,NA,NA,NA,NA,8,0,0,8,4.54,1.41,0,0,0,0,0,0,0,0,NA,400
Juan Morillo,ARI,NA,NA,NA,0,1.6,-1.6,0.3,NA,NA,NA,NA,NA,NA,NA,31,2,0,28,4.24,1.51,0,0,0,0,0,0,0,0,NA,401
Juan Sanchez,SFG,NA,NA,NA,0,1.6,-1.6,0.3,NA,NA,NA,NA,NA,NA,NA,14,1,0,12,4.29,1.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,402
Josh Ekness,MIA,NA,NA,NA,0,1.6,-1.6,0.3,NA,NA,NA,NA,NA,NA,NA,22,1,0,19,4.59,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,403
Jaden Woods,PIT,NA,NA,NA,0,1.6,-1.6,0.3,NA,NA,NA,NA,NA,NA,NA,14,1,0,12,4.71,1.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,404
Scott Blewett,STL,NA,NA,NA,0,1.6,-1.6,0.3,NA,NA,NA,NA,NA,NA,NA,24,1,0,18,4.37,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,405
Alek Jacob,SDP,NA,NA,NA,-0,1.6,-1.6,0.3,NA,NA,NA,NA,NA,NA,NA,33,1,0,29,4.7,1.38,0,0,0,0,0,0,0,0,NA,406
Zach Maxwell,CIN,NA,NA,NA,-0,1.6,-1.6,0.3,NA,NA,NA,NA,NA,NA,NA,50,2,0,51,4.66,1.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,407
Johan Rojas,PHI,NA,NA,NA,1.6,3.3,-1.6999999999999997,-0,NA,175,2,20,17,9,0.247,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,408
Abimelec Ortiz,WSN,NA,NA,NA,1.6,3.3,-1.6999999999999997,-0,NA,224,8,26,26,1,0.229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,409
Charlie Condon,COL,NA,NA,NA,1.6,3.3,-1.6999999999999997,-0,NA,210,6,22,24,1,0.244,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,410
Randy Vasquez,SDP,Erie Lakers,2,1,-0.1,1.6,-1.7000000000000002,-0,-1,NA,NA,NA,NA,NA,NA,142,7,0,96,4.82,1.41,0,0,0,0,0,0,0,0,NA,411
Josiah Gray,WSN,NA,NA,NA,-0.1,1.6,-1.7000000000000002,-0,NA,NA,NA,NA,NA,NA,NA,114,6,0,99,4.97,1.42,0,0,0,0,0,0,0,0,NA,412
River Ryan,LAD,NA,NA,NA,-0.1,1.6,-1.7000000000000002,-0,NA,NA,NA,NA,NA,NA,NA,39,2,0,32,4.78,1.42,0,0,0,0,0,0,0,0,NA,413
River Ryan,LAD,NA,NA,NA,-0.1,1.6,-1.7000000000000002,-0,NA,NA,NA,NA,NA,NA,NA,39,2,0,32,4.78,1.42,0,0,0,0,0,0,0,0,NA,414
Brandon Williamson,CIN,NA,NA,NA,-0.1,1.6,-1.7000000000000002,-0,NA,NA,NA,NA,NA,NA,NA,51,2,0,43,4.86,1.42,0,0,0,0,0,0,0,0,NA,415
McCade Brown,COL,NA,NA,NA,-0.1,1.6,-1.7000000000000002,-0,NA,NA,NA,NA,NA,NA,NA,15,1,0,14,5.4,1.49,0,0,0,0,0,0,0,0,NA,416
Bryse Wilson,PHI,NA,NA,NA,-0.1,1.6,-1.7000000000000002,-0,NA,NA,NA,NA,NA,NA,NA,30,1,0,21,4.99,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,417
Sean Sullivan,COL,NA,NA,NA,-0.1,1.6,-1.7000000000000002,-0,NA,NA,NA,NA,NA,NA,NA,9,0,0,6,5.29,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,418
Jean Cabrera,PHI,NA,NA,NA,-0.1,1.6,-1.7000000000000002,-0,NA,NA,NA,NA,NA,NA,NA,9,0,0,6,5.02,1.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,419
Jared Lyons,CIN,NA,NA,NA,-0.1,1.6,-1.7000000000000002,-0,NA,NA,NA,NA,NA,NA,NA,9,0,0,6,5.31,1.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,420
Julian Aguiar,CIN,NA,NA,NA,-0.1,1.6,-1.7000000000000002,-0,NA,NA,NA,NA,NA,NA,NA,35,1,0,25,5.02,1.37,0,0,0,0,0,0,0,0,NA,421
Yoniel Curet,PHI,NA,NA,NA,-0.1,1.6,-1.7000000000000002,-0,NA,NA,NA,NA,NA,NA,NA,8,0,0,7,5.27,1.5,0,0,0,0,0,0,0,0,NA,422
Mike Clevinger,PIT,NA,NA,NA,-0.1,1.6,-1.7000000000000002,-0,NA,NA,NA,NA,NA,NA,NA,24,1,0,19,4.77,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,423
Jagger Haynes,SDP,NA,NA,NA,-0.1,1.6,-1.7000000000000002,-0,NA,NA,NA,NA,NA,NA,NA,8,0,0,6,5.06,1.55,0,0,0,0,0,0,0,0,NA,424
Gabriel Hughes,COL,NA,NA,NA,-0.1,1.6,-1.7000000000000002,-0,NA,NA,NA,NA,NA,NA,NA,18,1,0,13,4.89,1.46,0,0,0,0,0,0,0,0,NA,425
Valente Bellozo,COL,NA,NA,NA,-0.1,1.6,-1.7000000000000002,-0,NA,NA,NA,NA,NA,NA,NA,8,0,0,6,5.04,1.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,426
Corbin Martin,CHC,NA,NA,NA,-0.1,1.6,-1.7000000000000002,-0,NA,NA,NA,NA,NA,NA,NA,8,0,0,7,4.62,1.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,427
Yunior Marte,CIN,NA,NA,NA,-0.1,1.6,-1.7000000000000002,-0,NA,NA,NA,NA,NA,NA,NA,18,1,0,15,4.96,1.48,0,0,0,0,0,0,0,0,NA,428
Tejay Antone,CIN,NA,NA,NA,-0.1,1.6,-1.7000000000000002,-0,NA,NA,NA,NA,NA,NA,NA,16,1,0,13,5.14,1.51,0,0,0,0,0,0,0,0,NA,429
Seth Johnson,PHI,NA,NA,NA,-0.1,1.6,-1.7000000000000002,-0,NA,NA,NA,NA,NA,NA,NA,20,1,0,18,4.8,1.46,0,0,0,0,0,0,0,0,NA,430
Rolddy Munoz,ATL,NA,NA,NA,-0.1,1.6,-1.7000000000000002,-0,NA,NA,NA,NA,NA,NA,NA,26,1,0,23,4.5,1.48,0,0,0,0,0,0,0,0,NA,431
Bradley Blalock,MIA,NA,NA,NA,-0.1,1.6,-1.7000000000000002,-0,NA,NA,NA,NA,NA,NA,NA,18,1,0,12,5,1.47,0,0,0,0,0,0,0,0,NA,432
William Kempner,MIA,NA,NA,NA,-0.1,1.6,-1.7000000000000002,-0,NA,NA,NA,NA,NA,NA,NA,24,1,0,22,4.79,1.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,433
Ryan Harbin,PIT,NA,NA,NA,-0.1,1.6,-1.7000000000000002,-0,NA,NA,NA,NA,NA,NA,NA,34,2,0,32,4.6,1.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,434
Miguel Rojas,LAD,NA,NA,NA,1.5,3.3,-1.7999999999999998,-0.3,NA,182,4,20,18,3,0.256,NA,NA,NA,NA,NA,NA,0,0,1,1,1,0,1,1,NA,435
Blake Perkins,MIL,NA,NA,NA,1.5,3.3,-1.7999999999999998,-0.3,NA,217,4,25,21,7,0.223,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,436
Ronny Mauricio,NYM,NA,NA,NA,1.5,3.3,-1.7999999999999998,-0.3,NA,140,5,16,16,4,0.244,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,1,1,NA,437
Garrett Stubbs,PHI,NA,NA,NA,0.1,1.9,-1.7999999999999998,-0.3,NA,19,0,2,2,0,0.222,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,NA,438
Tanner Gordon,COL,NA,NA,NA,-0.2,1.6,-1.8,-0.3,NA,NA,NA,NA,NA,NA,NA,55,3,0,40,5.26,1.39,0,0,0,0,0,0,0,0,NA,439
Marco Gonzales,SDP,NA,NA,NA,-0.2,1.6,-1.8,-0.3,NA,NA,NA,NA,NA,NA,NA,27,1,0,19,4.89,1.41,0,0,0,0,0,0,0,0,NA,440
Riley Cornelio,WSN,NA,NA,NA,-0.2,1.6,-1.8,-0.3,NA,NA,NA,NA,NA,NA,NA,17,1,0,12,5.2,1.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,441
John Brebbia,COL,NA,NA,NA,-0.2,1.6,-1.8,-0.3,NA,NA,NA,NA,NA,NA,NA,10,0,0,10,4.95,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,442
Kevin Abel,CIN,NA,NA,NA,-0.2,1.6,-1.8,-0.3,NA,NA,NA,NA,NA,NA,NA,10,0,0,8,5.3,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,443
Carson Palmquist,COL,NA,NA,NA,-0.2,1.6,-1.8,-0.3,NA,NA,NA,NA,NA,NA,NA,24,1,0,23,5.12,1.48,0,0,0,0,0,0,0,0,NA,444
Cam Sanders,PIT,NA,NA,NA,-0.2,1.6,-1.8,-0.3,NA,NA,NA,NA,NA,NA,NA,30,1,0,28,4.75,1.55,0,0,0,0,0,0,0,0,NA,445
Orlando Ribalta,WSN,NA,NA,NA,-0.2,1.6,-1.8,-0.3,NA,NA,NA,NA,NA,NA,NA,30,1,0,27,4.8,1.5,0,0,0,0,0,0,0,0,NA,446
Triston McKenzie,SDP,NA,NA,NA,-0.2,1.6,-1.8,-0.3,NA,NA,NA,NA,NA,NA,NA,30,1,0,29,5.02,1.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,447
James McCann,ARI,NA,NA,NA,1.4,3.3,-1.9,-0.6,NA,194,5,20,22,1,0.239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,448
Hyeseong Kim,LAD,Free At Last,2,7,1.4,3.3,-1.9,-0.6,-7.6,140,2,16,16,8,0.249,NA,NA,NA,NA,NA,NA,0,0,1,0,1,1,0,1,NA,449
Jeferson Quero,MIL,NA,NA,NA,0,1.9,-1.9,-0.6,NA,6,0,1,1,0,0.227,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,NA,450
Hayden Senger,NYM,NA,NA,NA,-0,1.9,-1.9,-0.6,NA,13,0,1,1,0,0.205,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,NA,451
Rodolfo Duran,SDP,NA,NA,NA,0,1.9,-1.9,-0.6,NA,6,0,1,1,0,0.224,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,NA,452
Ben Rortvedt,LAD,Louisville Sluggers,2,1,-0,1.9,-1.9,-0.6,-1.6,13,0,1,1,0,0.203,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,NA,453
Kyle Freeland,COL,NA,NA,NA,-0.3,1.6,-1.9000000000000001,-0.6,NA,NA,NA,NA,NA,NA,NA,160,8,0,118,5.02,1.42,0,0,0,0,0,0,0,0,NA,454
Chase Petty,CIN,NA,NA,NA,-0.3,1.6,-1.9000000000000001,-0.6,NA,NA,NA,NA,NA,NA,NA,46,2,0,36,5.09,1.46,0,0,0,0,0,0,0,0,NA,455
Luis Mey,CIN,NA,NA,NA,-0.3,1.6,-1.9000000000000001,-0.6,NA,NA,NA,NA,NA,NA,NA,40,2,0,38,4.96,1.56,0,0,0,0,0,0,0,0,NA,456
Zach Agnos,COL,Big Red Machine,2,1,-0.3,1.6,-1.9000000000000001,-0.6,-1.6,NA,NA,NA,NA,NA,NA,50,2,0,40,5.13,1.46,0,0,0,0,0,0,0,0,NA,457
Ryan Waldschmidt,ARI,NA,NA,NA,1.3,3.3,-1.9999999999999998,-0.9,NA,161,3,20,17,4,0.239,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,458
Drew Gilbert,SFG,Hoosiers,2,1,1.3,3.3,-1.9999999999999998,-0.9,-1.9,196,5,21,22,2,0.23,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,459
Tyler Locklear,ARI,NA,NA,NA,1.3,3.3,-1.9999999999999998,-0.9,NA,154,4,18,19,3,0.244,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,NA,460
Enrique Hernandez,LAD,Melonheads,2,1,1.3,3.3,-1.9999999999999998,-0.9,-1.9,196,6,22,23,1,0.225,NA,NA,NA,NA,NA,NA,0,1,1,1,0,1,1,1,NA,461
Taijuan Walker,PHI,NA,NA,NA,-0.4,1.6,-2,-0.9,NA,NA,NA,NA,NA,NA,NA,120,6,0,84,4.96,1.43,0,0,0,0,0,0,0,0,NA,462
Gary Sanchez,MIL,NA,NA,NA,1.2,3.3,-2.0999999999999996,-1.2,NA,144,7,16,20,0,0.222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,463
Bryce Johnson,SDP,NA,NA,NA,1.2,3.3,-2.0999999999999996,-1.2,NA,189,2,20,17,7,0.231,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,NA,464
