position,n_replacement_players,repl_sgp_total,repl_sgp_R,repl_sgp_HR,repl_sgp_RBI,repl_sgp_SB,repl_sgp_AVG,repl_sgp_W,repl_sgp_SV,repl_sgp_SO,repl_sgp_ERA,repl_sgp_WHIP,replacement_players
C,5,0.3011983569402915,0.08182421288223848,0.060118252242540596,0.13850383622214765,0.01650107717202622,0.004250978421338552,0,0,0,0,0,Liam Hicks; Harry Ford; Luis Torrens; Yohel Pozo; Braxton Fulford
1B,5,0.44297870877619505,0.11345374055100294,0.11783177439537958,0.19480620867017515,0.03465226206125506,-0.01776527690161768,0,0,0,0,0,Jake Bauers; Troy Johnston; Carlos Santana; Abimelec Ortiz; Andres Chaparro
2B,5,0.3590039845822357,0.09007539401322052,0.07695136287045197,0.14526012091591095,0.041252692930065546,0.005464413852586776,0,0,0,0,0,Ramon Urias; Edmundo Sosa; David Hamilton; Ryan Ritter; Casey Schmitt
3B,5,0.4172493965587398,0.10864055155793009,0.09137974340866171,0.1756634020378458,0.03960258521286293,0.001963114341439304,0,0,0,0,0,Matt Shaw; Ramon Urias; Sung-Mun Song; Graham Pauley; Edmundo Sosa
SS,5,0.24912776719314622,0.06738464590301993,0.04328514161462923,0.10021822295748894,0.0379524774956603,2.872792223478263e-4,0,0,0,0,0,Ryan Ritter; Thomas Saggese; Jorge Mateo; Miguel Rojas; Jett Williams
OF,5,0.5234999294017727,0.1388948823715309,0.14668853547179908,0.2319657744858733,0.039602585212862924,-0.03365184814029351,0,0,0,0,0,Alek Thomas; JJ Bleday; Christopher Morel; Jake Bauers; Griffin Conine
MI,5,0.3590039845822357,0.09007539401322052,0.07695136287045197,0.14526012091591095,0.041252692930065546,0.005464413852586776,0,0,0,0,0,Ramon Urias; Edmundo Sosa; David Hamilton; Ryan Ritter; Casey Schmitt
CI,5,0.4672156650577031,0.11757933111649396,0.11302231421597633,0.1959322561191357,0.04950323151607866,-0.00882146790998156,0,0,0,0,0,Jake Bauers; Troy Johnston; Carlos Santana; Matt Shaw; Ramon Urias
Util,5,0.5234999294017727,0.1388948823715309,0.14668853547179908,0.2319657744858733,0.039602585212862924,-0.03365184814029351,0,0,0,0,0,Alek Thomas; JJ Bleday; Christopher Morel; Jake Bauers; Griffin Conine
P,10,0.4486529493960002,0,0,0,0,0,0.1422734865027116,0.03627746556510604,0.24091199011581463,0.01911506633562095,0.010074940876747035,Miles Mikolas; Michael Lorenzen; Adrian Morejon; Chris Paddack; Jose Quintana; Jose Alvarado; Randy Vasquez; Griffin Canning; Cole Henry; Tanner Scott
