team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
BIG RED MACHINE,23,214,9.756287114441193,7448,6591,1639,265,935,919,126,0.24867243210438478,1119,68,86,1067,476.70571333333334,1396.36137,3.8340942091152814,1.2478653887399465,7,6,6,2,1,6,10,5,7,7,22,35,57,7,35
FREE BIRDS,23,242,9.239174658116882,7358,6533,1662,229,889,883,130,0.2544007347313638,1362,84,0,1356,600.3309411111112,1728.90956,3.9669445447870784,1.2693902790014684,2,1,3,3,6,9,2,8,3,3,15,25,40,8,35
ERIE LAKERS,23,204,8.011129509815706,7034,6252,1622,236,895,872,133,0.25943698016634675,1050,64,28,1012,488.0545011111111,1365.7962100000002,4.183324295238095,1.3007582952380954,5,3,2,4,9,5,3,3,1,1,23,13,36,9,35
FREE AT LAST,22,219,8.111252001910406,7298,6430,1607,231,891,868,121,0.2499222395023328,1057,60,57,967,489.9889055555556,1366.30071,4.17209096499527,1.2926212961210974,3,2,1,1,3,3,8,1,2,2,10,16,26,10,35
WESTSIDE MARAUDERS,23,265,11.043794737604301,7477,6708,1721,257,945,928,167,0.2565593321407275,1321,83,32,1359,564.6330344444443,1617.062096,3.8468564042392117,1.2241196790310371,9,6,8,8,7,9,4,9,8,8,38,38,76,1,36
HOOSIERS,23,241,10.200162793888524,7707,6815,1712,247,976,932,220,0.2512105649303008,1103,73,36,1098,459.0351566666667,1372.5659899999998,3.7455271169537627,1.2443934632819582,5,9,9,10,3,7,6,3,10,7,36,33,69,2,36
LOUISVILLE SLUGGERS,23,217,10.515373151195512,7438,6707,1766,248,956,914,154,0.2633069926942001,1109,70,66,1135,475.34790333333336,1390.72649,3.8576475473399463,1.2540365103697024,6,8,5,6,10,5,9,6,7,4,35,31,66,3,36
NATIONAL PASTIME,23,251,10.398257686124607,7650,6869,1718,275,920,957,131,0.25010918619886446,1148,72,84,1136,500.6114122222222,1405.19325,3.9246539285714284,1.2240359320557492,10,3,10,4,2,6,10,7,5,9,29,37,66,3,36
BLUE SOCKS,23,264,10.169304754114556,7696,6938,1789,226,953,921,196,0.2578552897088498,1163,72,56,1127,507.1290777777778,1452.84918,3.9244726569217545,1.24922543422184,3,7,6,9,9,6,8,5,6,6,34,31,65,4,36
MELONHEADS,21,270,10.677944015540886,7034,6276,1606,246,894,885,152,0.25589547482472913,1279,81,22,1260,541.4841566666668,1543.76395,3.8102872634871,1.207008561376075,4,2,3,5,6,8,3,8,9,10,20,38,58,5,36
BIG RED MACHINE,23,210,9.812220596745778,7517,6687,1705,251,939,922,128,0.25497233438014055,1189,70,54,1110,523.6114666666667,1493.73433,3.9634173254836007,1.2562946425567705,7,5,7,3,5,5,7,4,3,3,27,22,49,6,36
FREE AT LAST,22,226,8.183904647553542,7984,6988,1726,256,985,922,156,0.24699484831139096,1035,57,16,923,495.3410533333334,1364.5656599999998,4.307313507246377,1.3184209275362317,8,10,7,7,1,3,2,2,1,1,33,9,42,7,36
FREE BIRDS,23,253,9.253393949714075,7243,6393,1619,224,881,862,118,0.2532457375254184,1447,88,0,1387,631.5737155555557,1808.36046,3.928240110573602,1.249730794747754,2,1,2,1,4,10,1,10,4,5,10,30,40,8,36
