team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
FREE BIRDS,23,246,9.284714613998732,7435,6607,1689,229,900,895,127,0.2556379597396701,1345,83,0,1337,592.1419966666667,1705.6412100000002,3.9622884535315994,1.2681347286245355,3,1,4,2,6,9,2,10,4,4,16,29,45,7,16
ERIE LAKERS,23,199,8.334078982238966,7263,6461,1682,250,918,909,123,0.26033121807769694,921,55,67,870,413.49558111111105,1206.9965000000002,4.040673431053203,1.3105282301845822,7,5,5,1,10,2,8,2,3,1,28,16,44,8,16
FREE AT LAST,22,239,8.203455499336757,7305,6409,1589,230,902,853,150,0.24793259478857857,1002,60,63,942,452.6721966666667,1278.70299,4.065917934131737,1.2761506886227545,4,2,2,5,1,3,7,3,1,3,14,17,31,9,16
HOOSIERS,23,249,10.659767769400991,7835,6941,1727,279,997,985,214,0.24881141045958796,1019,62,69,1049,428.4529688888889,1275.1496,3.784177350343474,1.25137350343474,10,10,10,10,1,4,10,3,9,6,41,32,73,1,17
LOUISVILLE SLUGGERS,23,208,10.9801476672639,7882,7117,1859,261,992,962,162,0.26120556414219476,1141,72,50,1101,500.02964333333335,1429.34269,3.944142673093778,1.2527105083260297,9,9,9,8,10,6,6,5,4,5,45,26,71,2,17
MELONHEADS,23,249,10.234791919714874,7395,6552,1658,246,933,904,195,0.25305250305250304,1182,73,54,1154,499.77958666666666,1428.92058,3.8054283248730965,1.208900659898477,6,6,5,9,4,7,8,7,8,10,30,40,70,3,17
NATIONAL PASTIME,23,269,10.444902856302656,7506,6713,1730,244,924,906,137,0.2577089229852525,1280,80,52,1254,542.9394633333334,1559.4278100000001,3.8175431015625003,1.2183029765625002,5,5,6,4,8,8,7,8,7,8,28,38,66,4,17
WESTSIDE MARAUDERS,21,270,11.09114995513824,6931,6143,1564,250,893,872,147,0.2545987302620869,1358,84,32,1376,576.6802688888888,1658.4370560000002,3.8218869072164945,1.2212349455081004,7,2,2,6,6,10,5,10,6,7,23,38,61,5,17
BIG RED MACHINE,23,216,9.847849691983509,7538,6687,1681,259,947,917,135,0.2513832809929714,1179,72,59,1132,509.79024555555554,1477.6956500000001,3.8915285920271416,1.2533466072943173,8,7,7,3,3,6,9,6,5,3,28,29,57,6,17
FREE BIRDS,23,249,9.339845928399797,7397,6562,1664,237,908,897,122,0.25358122523620846,1342,83,0,1334,598.8819455555555,1681.6951900000001,4.016346877794336,1.2531260730253355,3,4,4,2,5,9,2,9,3,4,18,27,45,7,17
BLUE SOCKS,17,270,8.87735658561828,6947,6271,1612,214,863,842,156,0.2570562908627013,709,49,29,705,296.7480177777778,857.6577,3.7669000846262346,1.2096723554301834,1,1,1,7,7,2,4,1,10,9,17,26,43,8,17
FREE AT LAST,22,220,8.222080892136473,7963,7039,1764,241,959,930,141,0.250603778945873,999,58,32,890,466.92620777777785,1306.23347,4.206542412412413,1.3075410110110108,4,8,8,5,2,3,5,2,1,1,27,12,39,9,17
ERIE LAKERS,23,195,8.254711720364247,7242,6457,1683,233,897,880,120,0.2606473594548552,1128,65,16,1057,504.38379222222227,1466.2815,4.024338767730496,1.2998949468085106,2,3,3,1,9,5,3,4,2,2,18,16,34,10,17
LOUISVILLE SLUGGERS,23,217,10.799921931381416,7286,6523,1705,242,947,891,184,0.26138279932546377,1112,68,63,1177,473.22078777777784,1341.5818399999998,3.830024361510792,1.206458489208633,6,8,5,9,10,4,10,6,7,8,38,35,73,1,18
MELONHEADS,23,255,10.105272686918424,7307,6491,1656,247,919,904,172,0.2551224772762286,1209,76,38,1184,506.47,1453.28112,3.770248138957817,1.2020522084367247,7,4,7,8,5,9,6,7,10,9,31,41,72,2,18
WESTSIDE MARAUDERS,21,270,10.981985898986714,7330,6568,1705,242,929,904,150,0.2595919610231425,1139,72,51,1188,477.25665,1379.6901260000002,3.771123661106233,1.211317055311677,6,5,7,6,9,7,7,8,9,6,33,37,70,3,18
NATIONAL PASTIME,23,270,10.411718941699426,7436,6667,1725,239,912,894,126,0.25873706314684264,1254,78,52,1268,527.7461544444444,1516.1600600000002,3.7876518261562993,1.2090590590111645,4,3,6,3,7,10,8,10,8,7,23,43,66,4,18
