team,n_sims,wins,top_3,avg_rank,avg_pts,avg_sgpar,avg_hit_pts,avg_pit_pts,min_pts,max_pts
LOUISVILLE SLUGGERS,100,48,96,1.69,72.89,10.888063371129107,42,30.89,62,80
WESTSIDE MARAUDERS,100,47,90,1.92,72.67,11.114129230754697,33.15,39.52,51,83
HOOSIERS,100,5,64,3.21,66.6,10.465064784367756,39.43,27.17,59,76
NATIONAL PASTIME,100,4,39,3.7,64.58,10.494009818842251,26.96,37.62,52,74
MELONHEADS,100,2,37,3.93,64.11,10.10838077632811,27.82,36.29,55,74
BIG RED MACHINE,100,0,2,5.32,57.77,9.847246078169096,30.12,27.65,50,66
FREE BIRDS,100,0,0,6.78,47.45,9.318950437369063,17.9,29.55,36,56
BLUE SOCKS,100,0,0,7.67,42.96,8.946655875425007,19.19,23.77,36,53
ERIE LAKERS,100,0,0,8.24,40.66,8.314471893505432,27.16,13.5,32,50
FREE AT LAST,100,0,0,9.25,34.15,8.2444599804441,17.67,16.48,26,50
