team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
WESTSIDE MARAUDERS,23,213,11.044155275418094,7330,6512,1662,275,937,942,135,0.25522113022113024,1378,85,32,1346,593.7345433333334,1673.4684120000002,3.8778018069666182,1.2144182960812773,10,7,9,3,6,10,5,9,6,9,35,39,74,1,1
BLUE SOCKS,23,242,10.477553049767774,7859,7139,1862,223,959,925,167,0.26082084325535787,1063,71,86,1074,445.5037566666667,1295.74625,3.7719038664158044,1.2189522577610536,1,8,7,8,9,6,10,3,10,8,33,37,70,2,1
NATIONAL PASTIME,23,190,10.440442394235363,7583,6803,1745,248,916,928,145,0.25650448331618403,1188,75,63,1190,500.20941222222217,1438.47928,3.7894652441077437,1.2108411447811447,6,2,8,5,7,8,8,7,9,10,28,42,70,2,1
HOOSIERS,23,190,10.295724312523854,7893,6983,1759,257,1010,958,221,0.2518974652728054,1269,75,0,1188,556.6385388888889,1608.82681,3.9477910559495664,1.267791024428684,9,10,10,10,4,8,2,6,5,4,43,25,68,3,1
LOUISVILLE SLUGGERS,23,165,10.726650780204471,7606,6828,1776,253,964,921,169,0.2601054481546573,1171,72,58,1137,514.4722155555555,1500.97197,3.9540990093936803,1.2817864816396243,7,9,6,9,8,7,7,5,4,2,39,25,64,4,1
MELONHEADS,23,202,9.878546657706787,7330,6488,1628,247,924,901,156,0.25092478421701603,1284,82,14,1262,543.2782422222223,1571.40906,3.8080250623052967,1.223838831775701,5,5,3,6,3,9,3,8,8,7,22,35,57,5,1
BIG RED MACHINE,23,151,9.76444924686241,7395,6579,1649,256,923,905,122,0.25064599483204136,1129,68,78,1089,478.37726111111107,1408.6055199999998,3.813459123117803,1.2476576793622673,8,4,4,2,2,5,9,4,7,6,20,31,51,6,1
FREE BIRDS,23,188,9.390278870617628,7320,6488,1637,232,882,878,142,0.25231196054254007,1346,85,0,1364,598.91652,1692.24853,4.004642407132243,1.2572425928677564,2,1,2,4,5,10,2,10,3,5,14,30,44,7,1
ERIE LAKERS,23,168,8.24116521401579,7306,6518,1709,245,918,914,118,0.26219699294262044,992,59,27,938,450.07017,1270.14276,4.083297913306452,1.2803858467741935,4,3,5,1,10,3,4,1,2,3,23,13,36,8,1
FREE AT LAST,22,151,8.224391705248017,7424,6509,1604,243,932,875,157,0.24642802273774772,1103,60,43,982,529.1242900000001,1451.9255199999998,4.317423943789665,1.316342266545784,3,6,1,7,1,4,6,2,1,1,18,14,32,9,1
BLUE SOCKS,23,242,10.6338051615128,7890,7121,1826,240,966,941,178,0.2564246594579413,1117,71,75,1134,473.03851333333336,1390.01494,3.811411477170994,1.244418030438675,5,8,8,9,8,6,9,4,9,7,38,35,73,1,2
WESTSIDE MARAUDERS,23,213,11.176712924519977,7589,6755,1721,281,964,959,140,0.25477424130273874,1346,84,32,1334,585.1030922222222,1657.135892,3.912279219910847,1.2311559375928678,10,7,9,4,5,10,5,9,6,8,35,38,73,1,2
LOUISVILLE SLUGGERS,23,165,10.723567631980371,7658,6891,1796,254,985,933,177,0.2606298069946307,992,62,86,1049,419.3961233333333,1236.5338900000002,3.8050051512096776,1.2465059375,7,9,5,8,9,5,10,3,10,5,38,33,71,2,2
HOOSIERS,23,190,10.358016733527393,7942,7049,1774,265,1005,974,205,0.25166690310682366,1312,77,0,1181,594.40644,1669.2558,4.077483201219512,1.2722986280487805,9,10,10,10,3,7,2,6,1,4,42,20,62,3,2
NATIONAL PASTIME,23,190,10.450845368818834,7626,6834,1742,262,938,936,134,0.2549019607843137,1209,77,52,1223,526.5105011111111,1483.9268599999998,3.9194330107526882,1.2274002150537633,8,5,6,3,6,7,7,7,4,9,28,34,62,3,2
MELONHEADS,23,202,9.8643071410745,7208,6372,1606,237,907,882,167,0.25204017576898935,1331,82,0,1337,575.0386377777778,1613.4067300000002,3.8883153568745303,1.2121763561232157,4,3,3,7,4,8,2,10,8,10,21,38,59,4,2
BIG RED MACHINE,23,151,9.778772475356684,7601,6759,1695,262,940,938,122,0.2507767421216156,1274,77,27,1162,553.5055544444444,1629.98367,3.9101648273155414,1.279422032967033,8,6,7,2,2,7,3,5,7,2,25,24,49,5,2
FREE BIRDS,23,188,9.380391615876132,7200,6391,1634,209,870,839,147,0.2556720388045689,1355,83,30,1321,589.4120488888889,1688.6443100000001,3.914913977859779,1.246231963099631,2,1,1,5,7,9,4,8,5,6,16,32,48,6,2
ERIE LAKERS,23,168,8.307738621841427,7335,6527,1705,248,927,919,119,0.261222613758235,981,58,37,899,441.98979333333335,1255.8583399999998,4.054952232415902,1.2801817940876654,6,4,4,1,10,3,6,1,2,1,25,13,38,7,2
