team,baseline_n_sims,baseline_wins,baseline_top_3,baseline_avg_rank,baseline_avg_pts,baseline_avg_sgpar,baseline_avg_hit_pts,baseline_avg_pit_pts,baseline_min_pts,baseline_max_pts,scenario_n_sims,scenario_wins,scenario_top_3,scenario_avg_rank,scenario_avg_pts,scenario_avg_sgpar,scenario_avg_hit_pts,scenario_avg_pit_pts,scenario_min_pts,scenario_max_pts,delta_avg_pts,delta_avg_rank,delta_wins,delta_top_3,delta_avg_hit_pts,delta_avg_pit_pts
MELONHEADS,100,10,42,3.97,63.5,10.597598927476605,24.94,38.56,49,80,100,10,63,3.05,67.09,10.352386554478434,29.7,37.39,60,77,3.5900000000000034,-0.9200000000000004,0,21,4.759999999999998,-1.1700000000000017
ERIE LAKERS,100,0,0,8.55,37.38,8.024870461434858,24,13.38,28,49,100,0,0,8.47,39.33,8.175859354844116,24.97,14.36,30,50,1.9499999999999957,-0.08000000000000007,0,0,0.9699999999999989,0.97999999999999865
FREE AT LAST,100,0,0,9.1,31.99,8.101900434050233,18.28,13.71,22,47,100,0,0,9.12,33.93,8.164913890388044,17.67,16.259999999999998,25,48,1.9400000000000013,0.019999999999999574,0,0,-0.6099999999999994,2.549999999999997
BIG RED MACHINE,100,0,1,6.08,55.74,9.742545178602985,27.36,28.38,46,64,100,0,1,5.56,57.24,9.793471561512206,28.46,28.78,49,65,1.5,-0.5200000000000005,0,0,1.1000000000000014,0.40000000000000213
LOUISVILLE SLUGGERS,100,27,88,2.21,70.21,10.685913274734537,41.17,29.04,60,78,100,29,93,2.05,71.14,10.770835893689059,41.47,29.67,63,80,0.9300000000000068,-0.16000000000000014,2,5,0.29999999999999716,0.6300000000000026
NATIONAL PASTIME,100,0,48,3.71,64.75,10.388579220505028,27.57,37.18,55,72,100,2,42,3.73,65.14,10.446749634481085,28.18,36.96,53,74,0.39000000000000057,0.020000000000000018,2,-6,0.6099999999999994,-0.21999999999999886
HOOSIERS,100,4,47,3.66,64.6,10.27681891089245,40.27,24.33,56,75,100,1,35,3.83,64.97,10.37108182181618,40,24.97,58,73,0.37000000000000455,0.16999999999999993,-3,-12,-0.2700000000000031,0.6400000000000006
FREE BIRDS,100,0,0,7.51,45.09,9.194059544094523,16.16,28.93,39,55,100,0,0,7.46,45.39,9.223579209205347,16.75,28.64,38,55,0.29999999999999716,-0.04999999999999982,0,0,0.5899999999999999,-0.28999999999999915
WESTSIDE MARAUDERS,100,63,95,1.57,73.44,10.980078129463784,33.4,40.04,54,82,100,68,91,1.64,73.6,11.05567543395261,33.66,39.94,58,82,0.1599999999999966,0.06999999999999984,5,-4,0.259999999999998,-0.10000000000000142
BLUE SOCKS,100,0,11,4.85,60.45,10.10521823466159,30.07,30.38,49,70,100,0,0,6.66,49.58,9.338397765862375,22.01,27.57,43,63,-10.870000000000005,1.8100000000000005,0,-11,-8.059999999999999,-2.8099999999999987
