team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
LOUISVILLE SLUGGERS,23,215,10.766628733086087,7760,6987,1829,256,1014,953,192,0.2617718620294833,990,61,70,993,428.53805444444447,1223.5193199999999,3.895800494949495,1.235878101010101,7,10,9,8,10,2,9,2,5,8,44,26,70,2,16
NATIONAL PASTIME,23,270,10.459682291490264,7419,6663,1731,232,909,878,146,0.259792886087348,1201,76,84,1207,504.34898111111113,1448.26964,3.779467801831807,1.2058864612822648,2,4,1,6,8,6,10,7,10,10,21,43,64,3,16
BLUE SOCKS,23,244,10.327475640953319,7981,7195,1847,230,962,923,208,0.25670604586518414,1158,74,43,1178,490.82027888888894,1432.9877099999999,3.814665379965458,1.237467797927461,1,7,5,10,7,5,6,5,8,7,30,31,61,4,16
HOOSIERS,23,231,10.306606559814364,7949,7032,1768,263,1008,971,204,0.2514220705346985,1278,77,11,1119,561.9709233333333,1619.5881999999997,3.957541713615023,1.2672834115805944,9,9,10,9,4,7,1,4,3,2,41,17,58,5,16
MELONHEADS,23,227,9.680855806531158,7191,6383,1593,251,899,894,160,0.249569168102773,1173,71,46,1192,495.6618644444445,1417.95277,3.8030322080136405,1.2088258908780904,6,2,2,7,2,4,7,6,9,9,19,35,54,6,16
BIG RED MACHINE,23,208,9.818405856898032,7468,6629,1665,260,932,926,117,0.2511691054457686,1248,78,27,1216,539.8248011111111,1576.00297,3.8929673157051283,1.2628228926282052,8,5,7,2,3,8,3,8,6,3,25,28,53,7,16
FREE BIRDS,23,249,9.349163778481312,7292,6469,1627,240,885,896,136,0.25150718812799505,1292,80,30,1274,577.6845677777778,1627.6126800000002,4.024118506191951,1.2597621362229103,3,1,3,4,5,9,4,9,2,4,16,28,44,8,16
FREE AT LAST,23,249,8.36377380789032,7830,6929,1727,245,942,925,129,0.2492423149083562,1001,60,51,973,438.7385922222223,1253.7566,3.944702627372628,1.2525040959040958,5,6,6,3,1,1,8,1,4,5,21,19,40,9,16
ERIE LAKERS,23,181,8.074226823408978,7267,6470,1683,241,905,901,113,0.26012364760432766,1138,65,19,1011,546.5161033333334,1523.7635100000002,4.3221835940246045,1.3389837521968369,4,3,4,1,9,3,2,3,1,1,21,10,31,10,16
BLUE SOCKS,23,249,10.285293614302452,7722,6959,1765,227,936,898,200,0.2536283948843225,1237,78,43,1245,509.7569355555556,1506.75901,3.70882168148747,1.2180751899757478,2,6,4,9,5,9,6,8,10,8,26,41,67,1,17
HOOSIERS,23,234,10.264967653533839,7871,6977,1749,253,995,949,226,0.2506808083703598,1115,69,27,1055,468.1058577777778,1399.53525,3.7784329327354262,1.2551885650224215,7,10,9,10,4,5,4,3,9,6,40,27,67,1,17
LOUISVILLE SLUGGERS,23,206,10.72660187798669,7625,6874,1792,260,979,950,171,0.2606924643584521,1035,64,85,1050,448.82345444444445,1311.87407,3.902812647342995,1.2675111787439615,9,9,10,8,8,3,10,2,5,3,44,23,67,1,17
NATIONAL PASTIME,23,258,10.534585588564505,7625,6861,1796,245,948,928,164,0.26176942136714765,1206,75,52,1182,539.5057066666667,1496.7384599999998,4.026161990049752,1.2410766666666666,4,7,7,7,10,8,7,7,3,7,35,32,67,1,17
WESTSIDE MARAUDERS,22,270,10.987260409937445,7057,6330,1641,241,894,881,140,0.25924170616113745,1310,83,43,1346,552.5075444444444,1581.553016,3.795853358778626,1.2072923786259542,3,1,2,5,7,10,6,10,8,10,18,44,62,2,17
BIG RED MACHINE,23,203,9.758768609106669,7542,6703,1663,267,927,932,122,0.2480978666268835,1225,74,59,1136,530.5902966666667,1544.0045800000003,3.898214424489797,1.2604119020408164,10,5,8,2,2,7,8,6,6,4,27,31,58,3,17
MELONHEADS,23,224,9.749780086573129,7178,6368,1594,250,904,898,161,0.2503140703517588,1115,68,76,1092,474.1271222222223,1347.4422200000001,3.8270350672645743,1.2084683587443947,6,2,4,6,3,4,9,4,7,9,21,33,54,4,17
FREE BIRDS,23,255,9.346315940897325,7578,6723,1730,226,913,896,125,0.25732559869106053,1326,83,0,1332,591.75755,1669.68202,4.016453959276019,1.2591870437405732,1,3,3,3,6,10,3,9,4,5,16,31,47,5,17
FREE AT LAST,23,243,8.375505920600746,7865,6891,1688,259,976,923,129,0.2449571905383834,1209,73,0,1105,550.5696177777778,1550.1518700000001,4.098533134822167,1.2821768982630275,8,8,6,4,1,6,3,5,2,2,27,18,45,6,17
ERIE LAKERS,23,190,8.062545497481471,7368,6545,1710,246,925,912,109,0.2612681436210848,1056,60,28,952,496.9774077777777,1393.4933499999997,4.235602907196969,1.3195959753787876,5,4,5,1,9,2,5,1,1,1,24,10,34,7,17
WESTSIDE MARAUDERS,23,261,11.100895390943325,7645,6830,1748,263,959,948,141,0.25592972181551976,1355,85,32,1372,588.9643966666666,1665.719476,3.91194064206642,1.2293132664206643,9,8,8,5,8,10,4,10,7,9,38,40,78,1,18
HOOSIERS,23,233,10.252444933183092,7916,7021,1752,266,1004,980,215,0.24953710297678394,1172,70,17,1118,498.4099755555556,1467.15247,3.827380358361775,1.2518365784982934,10,10,10,10,2,5,3,6,8,5,42,27,69,2,18
LOUISVILLE SLUGGERS,23,214,10.696331855618052,7767,6996,1813,259,995,955,189,0.2591480846197827,970,63,78,1016,409.30762555555566,1215.95987,3.797699618556702,1.2535668762886596,8,9,9,8,9,1,9,2,9,4,43,25,68,3,18
BLUE SOCKS,23,260,10.138919169123168,7442,6717,1714,225,906,881,177,0.25517344052404345,1203,80,40,1278,486.32801333333333,1425.3114799999998,3.6383641895261847,1.1847975727348294,4,2,3,7,6,9,6,9,10,10,22,44,66,4,18
NATIONAL PASTIME,23,251,10.475843604428286,7709,6933,1768,263,946,944,139,0.25501226020481754,1168,72,79,1097,515.3342877777778,1440.18521,3.9708977654109594,1.2330352825342468,9,6,7,4,5,6,10,4,4,8,31,32,63,5,18
BIG RED MACHINE,23,208,9.767862139266787,7580,6722,1699,266,954,935,119,0.2527521570961023,1181,69,54,1109,517.6137155555556,1476.61684,3.9445583742591026,1.250310618120237,10,7,6,2,3,4,7,5,6,6,28,28,56,6,18
MELONHEADS,23,226,10.022545467762349,7563,6730,1708,244,945,921,197,0.2537890044576523,1321,77,0,1247,586.5438611111111,1629.28973,3.996135314155943,1.2333760257380773,6,5,5,9,4,8,1,8,2,7,29,26,55,7,18
FREE BIRDS,23,245,9.110638132885335,7295,6472,1656,220,882,858,109,0.2558714462299135,1215,76,62,1221,534.0377766666668,1537.4703100000002,3.9558353827160504,1.2654076625514405,3,1,1,1,7,7,8,7,5,3,13,30,43,8,18
