team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
ERIE LAKERS,23,198,8.073823558112476,7359,6550,1706,247,920,918,115,0.26045801526717555,1040,63,20,941,482.47478777777775,1355.90876,4.175262586538461,1.303758423076923,5,3,3,1,10,1,3,1,1,1,22,7,29,10,15
WESTSIDE MARAUDERS,23,268,11.09680219702468,7498,6666,1694,282,951,957,145,0.25412541254125415,1357,85,32,1316,587.66352,1659.011006,3.89754729550479,1.2225578526160648,10,7,9,4,5,10,5,9,5,10,35,39,74,1,16
BLUE SOCKS,23,254,10.473678590706118,8012,7212,1872,237,988,954,165,0.259567387687188,1122,71,56,1144,479.1453933333334,1375.97598,3.8434122459893056,1.2263600534759358,3,9,8,8,8,6,7,6,8,9,36,36,72,2,16
NATIONAL PASTIME,23,253,10.335924786751743,7506,6736,1720,248,918,903,130,0.25534441805225655,1215,74,79,1185,512.1870944444445,1493.0118300000001,3.7939784773662555,1.2288163209876544,7,4,4,3,7,8,10,7,10,8,25,43,68,3,16
MELONHEADS,23,226,9.849718085306247,7486,6669,1695,237,924,906,155,0.25416104363472786,1183,75,33,1207,503.8845455555556,1463.1744,3.833441174978867,1.2368338123415048,3,5,5,7,6,9,6,8,9,7,26,39,65,4,16
HOOSIERS,23,227,10.26232425264101,7916,7021,1752,266,1004,980,215,0.24953710297678394,1124,70,25,1106,483.85574777777776,1407.7948700000002,3.8742897953736652,1.2524865391459077,9,10,10,10,2,5,3,4,6,5,41,23,64,5,16
LOUISVILLE SLUGGERS,23,210,10.663107426557179,7522,6753,1770,246,983,913,198,0.2621057307863172,1112,69,68,1091,497.0946922222222,1410.3510499999998,4.023248408273381,1.2683013039568343,6,8,7,9,10,4,9,3,3,2,40,21,61,6,16
BIG RED MACHINE,23,214,9.76886421657165,7479,6629,1660,261,938,913,128,0.2504148438678534,1174,72,59,1137,501.9791444444445,1458.48372,3.8482217206132883,1.2423200340715501,8,6,7,2,3,7,8,5,7,6,26,33,59,7,16
FREE BIRDS,23,244,9.229921746184646,7222,6410,1610,235,871,874,146,0.25117004680187205,1384,85,0,1347,621.4992388888891,1742.7959899999998,4.041541293352602,1.2592456575144508,2,2,2,5,4,10,2,10,2,4,15,28,43,8,16
FREE AT LAST,22,252,8.32871019314592,7746,6821,1697,241,951,909,151,0.24879049992669697,958,58,33,923,424.58149333333336,1208.4180099999999,3.988761419624217,1.2613966701461377,4,7,6,6,1,2,6,1,4,3,24,16,40,9,16
ERIE LAKERS,23,192,8.06042865268007,7240,6451,1688,242,907,902,117,0.26166485816152535,1071,60,28,945,487.53304333333335,1391.7132100000003,4.0969163305322125,1.2994521101774046,5,3,3,1,9,3,4,2,1,1,21,11,32,10,16
LOUISVILLE SLUGGERS,23,211,10.755316546622408,7522,6748,1742,260,970,931,188,0.25815056312981627,980,64,88,1045,409.28028888888895,1222.01661,3.7586965306122457,1.2469557244897957,9,8,9,9,9,3,10,3,9,7,44,32,76,1,17
NATIONAL PASTIME,23,258,10.484037185392117,7713,6952,1794,254,948,936,151,0.2580552359033372,1188,73,52,1173,520.1554522222223,1459.16322,3.940571607744108,1.2282518686868686,8,7,10,6,8,6,7,6,4,8,39,31,70,2,17
WESTSIDE MARAUDERS,22,270,10.984521185251909,7253,6472,1668,247,920,901,134,0.257725587144623,1190,76,70,1251,497.63659333333334,1439.3132960000003,3.763638100840336,1.2095069714285716,6,5,5,4,6,8,8,9,8,9,26,42,68,3,17
HOOSIERS,23,235,10.132088721452686,7780,6898,1739,242,980,924,224,0.2521020585677008,1207,74,30,1062,527.1584911111112,1529.58228,3.9307592543496277,1.2672595526097763,5,10,8,10,4,7,6,4,5,3,37,25,62,4,17
BIG RED MACHINE,23,208,9.69275548150857,7469,6619,1638,274,931,931,105,0.24746940625472125,1119,68,86,1067,476.68351888888895,1396.3276799999999,3.8339157015192136,1.2478352815013403,10,6,9,1,1,5,9,5,7,6,27,32,59,5,17
BLUE SOCKS,20,260,10.094652218150452,6850,6163,1590,213,851,827,165,0.2579912380334253,1148,74,29,1197,473.1390244444445,1361.08037,3.7092780662020908,1.1856100783972126,2,1,2,7,7,7,5,7,10,10,19,39,58,6,17
MELONHEADS,23,212,9.841287103047001,7300,6508,1656,241,909,896,178,0.2544560540872772,1309,80,17,1236,568.09384666666665,1646.44522,3.9059164400305577,1.2577885561497326,4,3,4,8,5,10,3,8,6,4,24,31,55,7,17
FREE BIRDS,23,244,9.082634875645258,7389,6549,1650,234,886,886,122,0.25194686211635364,1281,79,19,1302,568.6753966666668,1601.38594,3.9953774941451994,1.2501061202185793,3,2,3,3,3,9,4,10,3,5,14,31,45,8,17
ERIE LAKERS,23,193,8.24230367880068,7282,6474,1689,249,918,911,120,0.2608897126969416,1143,66,8,1035,543.787288888889,1504.89327,4.281789676290464,1.3166170341207348,7,4,6,2,10,4,2,2,1,1,29,10,39,9,17
FREE AT LAST,22,238,8.295405599074417,7886,6939,1734,241,978,923,149,0.24989191526156507,1073,61,2,969,489.9654455555556,1371.22914,4.109682208760486,1.2779395526561044,4,9,7,5,2,2,1,1,2,2,27,8,35,10,17
WESTSIDE MARAUDERS,23,270,11.081324866563591,7519,6749,1729,256,948,934,162,0.2561861016446881,1282,81,51,1321,537.2639655555556,1566.485516,3.771743907956319,1.2219075787831513,8,6,8,8,7,9,8,9,10,9,37,45,82,1,18
BLUE SOCKS,23,244,10.377947058357261,7802,7035,1791,244,959,943,186,0.25458422174840084,1269,79,29,1212,550.5544222222222,1569.1320799999999,3.904641292356186,1.2365107013396375,5,8,9,9,6,8,5,7,6,7,37,33,70,2,18
LOUISVILLE SLUGGERS,23,211,10.572792377595697,7658,6899,1812,250,983,929,186,0.26264676040005797,1064,65,68,1059,461.28742666666676,1346.1377899999998,3.9018673308270686,1.2651670958646615,7,9,6,9,10,2,9,3,7,5,41,26,67,3,18
NATIONAL PASTIME,23,263,10.50758319299904,7559,6808,1748,245,914,909,137,0.25675675675675674,1203,74,79,1193,511.79434333333336,1454.32404,3.8288853615960097,1.2089144139650874,6,3,5,5,8,5,10,6,9,10,27,40,67,3,18
HOOSIERS,23,233,10.175202401174028,7839,6934,1745,250,997,943,226,0.25165849437554083,1075,67,50,1060,463.07415888888886,1361.54568,3.8768999348837205,1.2665541209302325,7,10,9,10,4,3,7,4,8,3,40,25,65,4,18
BIG RED MACHINE,23,207,9.77713131722137,7531,6667,1675,264,949,930,128,0.25123743812809357,1267,77,27,1189,553.3916788888889,1596.95815,3.9309590449881613,1.2604247434885556,10,7,7,4,3,7,4,5,5,6,31,27,58,5,18
MELONHEADS,23,215,9.720190613114779,7371,6535,1640,242,925,896,155,0.25095638867635806,1249,76,27,1226,549.2438400000001,1530.96537,3.9577218254603688,1.2257528983186547,4,4,4,7,2,6,4,8,4,8,21,30,51,6,18
ERIE LAKERS,23,207,8.352713034821392,7506,6651,1736,260,945,944,109,0.261013381446399,904,56,50,823,405.4657066666667,1182.2434200000002,4.036716106194691,1.30779139380531,9,5,10,2,9,1,7,2,2,1,35,13,48,7,18
FREE BIRDS,23,243,9.17400782249005,7208,6410,1621,237,868,885,124,0.2528861154446178,1379,84,0,1352,612.4218255555556,1745.1412900000003,3.996951725888325,1.2655121754894854,3,1,3,3,5,10,3,10,3,4,15,30,45,8,18
FREE AT LAST,22,240,8.031553837235107,7186,6296,1563,227,894,841,139,0.24825285895806862,1142,68,32,1060,518.2241255555556,1448.3005099999998,4.084078047285464,1.2682141068301225,2,2,2,6,1,4,6,4,1,2,13,17,30,9,18
WESTSIDE MARAUDERS,22,270,11.178391205337608,7708,6923,1789,255,970,952,178,0.25841398237758195,1131,71,54,1163,482.5418366666667,1386.0683460000002,3.8398554641909817,1.2255246206896553,8,9,10,9,8,6,8,7,8,9,44,38,82,1,19
LOUISVILLE SLUGGERS,23,209,10.545319880315413,7354,6614,1722,254,944,906,175,0.26035681886906564,1051,66,77,1092,444.96363111111117,1298.3288400000001,3.8103450808753574,1.2353271550903901,7,5,5,8,9,5,10,3,9,8,34,35,69,2,19
NATIONAL PASTIME,23,250,10.474160823697419,7765,6999,1803,255,950,946,150,0.25760822974710673,1214,75,52,1154,539.4626788888888,1511.94666,3.9993114579901152,1.2454255848434928,8,7,9,5,7,8,7,5,3,6,36,29,65,3,19
HOOSIERS,23,233,10.09661535289992,7636,6764,1692,248,973,922,219,0.25014784151389713,1250,76,2,1158,537.1397855555556,1551.44135,3.867406456,1.2411530800000001,5,10,6,10,2,9,1,6,7,7,33,30,63,4,19
BLUE SOCKS,20,260,9.990176338485119,6394,5757,1477,202,797,771,161,0.2565572346708355,1260,83,29,1360,516.1757177777778,1491.76589,3.686969412698413,1.1839411825396824,2,1,2,6,6,10,3,10,10,10,17,43,60,5,19
MELONHEADS,23,220,9.966054772161174,7398,6565,1664,256,935,922,173,0.25346534653465347,1274,76,17,1232,563.11988,1587.12129,3.9780839246467816,1.2457780926216642,9,4,6,7,4,9,2,9,4,5,30,29,59,6,19
BIG RED MACHINE,23,204,9.75080598251079,7601,6734,1693,266,952,935,109,0.2514107514107514,1195,72,46,1122,517.4334122222223,1521.1285899999998,3.896988041841005,1.2729109539748953,10,8,8,1,3,7,6,4,6,3,30,26,56,7,19
FREE BIRDS,23,242,9.07327076320833,7194,6357,1622,220,877,851,119,0.2551518011640711,1215,76,62,1221,534.0377766666668,1537.4703100000002,3.9558353827160504,1.2654076625514405,3,2,3,3,5,9,9,8,5,4,16,35,51,8,19
ERIE LAKERS,23,204,8.198944423740915,7464,6602,1721,249,946,930,111,0.2606785822478037,985,58,31,907,450.1385011111111,1272.02956,4.11294061928934,1.2914005685279186,6,6,7,2,10,4,4,1,2,2,31,13,44,9,19
FREE AT LAST,22,237,8.077777385410181,7389,6500,1592,241,898,884,134,0.2449230769230769,1125,66,43,992,514.4106933333334,1453.42923,4.115285546666667,1.2919370933333334,4,3,4,4,1,5,5,2,1,1,16,14,30,10,19
WESTSIDE MARAUDERS,23,270,11.013999847283236,7561,6718,1724,257,974,935,170,0.25662399523667756,1250,79,49,1292,531.8323700000001,1543.6504160000002,3.8291930640000005,1.2349203328000002,8,10,8,9,8,9,7,9,7,7,43,39,82,1,20
BLUE SOCKS,23,254,10.36731642355934,7904,7133,1825,238,965,938,168,0.25585307724660034,1093,69,80,1121,459.9599355555556,1334.09675,3.7874102653247945,1.2205825709057638,3,9,9,8,7,3,10,3,9,9,36,34,70,2,20
NATIONAL PASTIME,23,246,10.41702025579118,7660,6898,1764,260,937,941,139,0.25572629747752973,1219,76,52,1193,542.1551133333332,1512.32859,4.002785906480721,1.2406305086136178,10,6,10,4,6,8,8,8,3,6,36,33,69,3,20
LOUISVILLE SLUGGERS,23,222,10.477442064539403,7099,6363,1659,237,909,867,167,0.2607260726072607,1146,73,66,1182,477.0154877777778,1402.7871200000002,3.7461949301919724,1.2240725305410123,2,2,1,7,9,6,9,7,10,8,21,40,61,4,20
HOOSIERS,23,228,10.115123615462519,7613,6763,1705,247,963,919,216,0.25210705308295134,1164,75,24,1147,491.1576755555556,1465.9782200000002,3.797610893470791,1.2594314604810999,5,8,6,10,2,7,3,5,8,4,31,27,58,5,20
MELONHEADS,23,221,9.780678399657189,7300,6515,1661,249,910,916,154,0.25495011511895627,1194,70,43,1155,523.5119433333334,1446.27517,3.946069924623116,1.2112857370184253,6,3,5,5,5,4,6,6,5,10,24,31,55,6,20
BIG RED MACHINE,23,212,9.752393040657838,7545,6691,1694,259,950,922,119,0.25317590793603345,1195,72,38,1139,518.6182366666667,1493.3063800000002,3.9059114058577413,1.2496287698744772,9,7,7,2,3,5,4,4,6,5,28,24,52,7,20
FREE BIRDS,23,244,9.238327565719475,7334,6485,1645,229,896,871,133,0.2536622976098689,1384,83,0,1354,614.7256066666669,1753.0562300000001,3.9974931069364175,1.2666591257225435,1,1,2,3,4,10,1,10,4,3,11,28,39,8,20
FREE AT LAST,22,239,8.146397092659223,7732,6796,1654,250,936,915,162,0.24337845791642143,996,59,41,881,457.9932644444445,1284.5768599999997,4.138493353413655,1.289735803212851,7,5,4,6,1,1,5,1,1,2,23,10,33,9,20
ERIE LAKERS,23,197,8.09989542163771,7249,6458,1694,243,916,908,117,0.26231031279033756,1059,63,20,937,482.45428000000004,1374.6743300000003,4.100178016997168,1.2980871860245518,4,4,3,1,10,2,2,2,2,1,22,9,31,10,20
LOUISVILLE SLUGGERS,23,211,10.658345839534363,7550,6807,1749,275,960,959,162,0.25694138386954607,1015,66,67,1093,426.70001,1255.68546,3.7835468866995074,1.2371285320197043,10,9,9,7,8,4,9,4,9,7,43,33,76,1,21
WESTSIDE MARAUDERS,22,270,11.059751428241402,7281,6455,1650,273,939,925,135,0.25561580170410536,1200,76,65,1253,510.8271422222222,1460.8947360000002,3.8312035666666664,1.2174122800000002,9,7,7,4,7,8,8,9,7,8,34,40,74,2,21
BLUE SOCKS,23,256,10.38396909689525,7638,6873,1754,236,936,904,188,0.2552015131674669,1107,71,80,1160,463.91619888888897,1337.5376999999999,3.7716764137308045,1.2082544715447152,4,6,6,8,6,6,10,7,10,10,30,43,73,3,21
HOOSIERS,23,233,10.268459132975899,7937,7031,1762,265,1007,973,206,0.25060446593656666,1152,73,14,1106,488.0427266666666,1432.9816799999999,3.8128338020833334,1.2439077083333332,8,10,10,10,2,7,3,5,8,5,40,28,68,4,21
NATIONAL PASTIME,23,265,10.469336561296537,7559,6790,1750,242,929,898,142,0.25773195876288657,1272,79,52,1242,541.8948855555556,1545.1117800000002,3.834161926100629,1.2147105188679246,6,5,4,5,9,9,5,8,6,9,29,37,66,5,21
BIG RED MACHINE,23,211,9.752751537492044,7573,6730,1704,258,943,933,118,0.25319465081723624,1151,70,54,1085,496.42569666666674,1445.00329,3.881695282363163,1.2554329192006952,7,8,8,3,4,5,6,2,5,4,30,22,52,6,21
MELONHEADS,23,220,9.894998335436528,7391,6546,1637,239,922,894,189,0.2500763825236786,1201,73,57,1150,523.6971044444446,1492.8583400000002,3.9244579017485437,1.2430127726894256,5,4,3,9,1,7,7,6,4,6,22,30,52,6,21
FREE BIRDS,23,245,9.250473844874668,7285,6450,1641,223,889,866,143,0.2544186046511628,1387,85,0,1346,614.2591244444445,1761.62533,3.9858198413842834,1.270097570295602,2,1,1,6,5,10,2,10,3,3,15,28,43,7,21
ERIE LAKERS,23,186,8.040731183213408,7240,6451,1688,242,907,902,117,0.26166485816152535,1089,61,24,973,500.9888144444445,1437.1365700000001,4.140403425160698,1.3196846372819102,6,2,5,2,10,3,4,1,2,1,25,11,36,8,21
FREE AT LAST,22,242,8.256927975293493,7417,6552,1657,224,912,874,135,0.2528998778998779,1260,73,0,1087,595.96979,1632.39896,4.256927071428572,1.2955547301587302,3,3,2,4,3,7,2,3,1,2,15,15,30,9,21
