player,salary,avg_rank,avg_pts,win_pct,top3_pct,avg_hit_pts,avg_pit_pts,min_pts,max_pts
Geraldo Perdomo,1,4.5,63.25,0,5,29.05,34.2,59,67
Bo Bichette,19,5.55,58,0,0,27.4,30.6,52,63
Freddie Freeman,26,5.65,57.5,0,5,31.9,25.6,52,67
Bryce Harper,27,5.75,56.65,0,5,32.2,24.45,50,68
Austin Riley,20,6.2,54.65,0,0,26.25,28.4,47,59
