player,salary,avg_rank,avg_pts,win_pct,top3_pct,avg_hit_pts,avg_pit_pts,min_pts,max_pts
Shohei Ohtani,45,3.6,66.35,5,40,33.5,32.85,57,77
Ronald Acuna Jr.,40,4.8,59.9,0,15,28.1,31.8,51,68
Juan Soto,39,5,60.4,0,15,28.2,32.2,52,71
Trea Turner,29,5.05,59.2,0,0,25.55,33.65,51,68
Elly De La Cruz,33,5.25,58.05,0,5,26.5,31.55,50,69
