team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
ERIE LAKERS,23,211,8.16641335246496,7230,6446,1690,243,915,906,115,0.2621780949426001,954,54,50,930,437.66871111111107,1235.66259,4.1289501048218025,1.2952438050314465,5,2,5,2,10,1,7,1,2,2,24,13,37,9,40
FREE AT LAST,22,242,8.400906282630476,7977,7013,1734,250,971,924,157,0.24725509767574505,1119,66,0,974,514.4193466666667,1460.05334,4.137421018766756,1.304784039320822,6,8,6,7,1,3,2,2,1,1,28,9,37,9,40
WESTSIDE MARAUDERS,23,268,11.109808096056868,7540,6715,1722,275,956,956,136,0.25644080416976917,1276,81,46,1271,543.1148188888889,1545.760706,3.8307471551724137,1.211411211598746,10,8,9,4,6,10,6,9,9,10,37,44,81,1,41
HOOSIERS,23,230,10.297161870814897,7949,7054,1762,270,1004,984,197,0.24978735469237312,1114,69,36,1080,482.13913,1395.91394,3.895199434470377,1.2530645780969478,9,10,10,10,2,3,5,5,6,5,41,24,65,2,41
NATIONAL PASTIME,23,270,10.350360911361175,7359,6617,1707,231,901,872,141,0.2579718905848572,1251,80,52,1287,519.1370811111111,1517.5775,3.7347991446842523,1.2130915267785771,3,3,2,5,7,9,7,10,10,9,20,45,65,2,41
BLUE SOCKS,23,269,10.064146083912712,7592,6837,1769,229,933,917,182,0.25873921310516307,1153,70,56,1149,508.3116344444445,1420.4347900000002,3.967740424978318,1.2319469124024287,2,6,6,9,8,4,9,7,5,8,31,33,64,3,41
BIG RED MACHINE,23,215,9.798882208877785,7507,6668,1670,260,931,925,127,0.2504499100179964,1167,72,59,1146,503.0687722222222,1448.03009,3.8797077549271637,1.2408141302485005,8,5,7,3,4,6,10,6,7,6,27,35,62,4,41
MELONHEADS,23,239,9.794690832337235,7496,6641,1673,247,939,910,171,0.251919891582593,1237,76,22,1217,532.9206766666666,1533.3476,3.8773533468067902,1.2395696038803556,6,7,5,7,5,7,1,8,8,7,30,31,61,5,41
LOUISVILLE SLUGGERS,23,212,10.697778270720576,7839,7020,1834,257,1003,939,178,0.26125356125356125,1145,68,55,1074,514.3978344444445,1465.89511,4.043301755458515,1.2802577379912663,7,9,8,8,9,2,8,4,2,3,41,19,60,6,41
FREE BIRDS,23,245,9.234040235776947,7299,6485,1624,240,886,891,127,0.2504240555127217,1304,79,27,1271,576.0182777777779,1648.6516000000001,3.975586273006136,1.2643033742331289,4,1,3,3,3,8,2,9,4,4,14,27,41,7,41
ERIE LAKERS,23,205,8.18117558842314,7216,6439,1694,242,911,903,118,0.26308432986488584,1046,60,28,953,473.94691444444453,1356.01505,4.077937122370938,1.296381500956023,5,4,4,2,10,1,3,2,1,1,25,8,33,8,41
