team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
MELONHEADS,23,215,9.681964480597866,7269,6453,1629,247,914,901,160,0.2524407252440725,1364,83,0,1261,591.6042633333334,1699.98368,3.903547192082112,1.2463223460410557,5,4,4,6,4,10,2,7,6,6,23,31,54,5,46
BIG RED MACHINE,23,206,9.739510799083732,7542,6685,1665,267,940,923,117,0.24906507105459985,1186,72,59,1151,517.8753966666667,1478.28558,3.929914477234401,1.24644652613828,9,6,8,1,2,5,8,4,5,5,26,27,53,6,46
ERIE LAKERS,23,197,8.15101100534478,7424,6583,1710,254,935,921,120,0.25975998784748594,908,53,64,828,425.04569,1210.0373799999998,4.213007940528634,1.332640286343612,7,5,7,3,9,1,9,1,1,1,31,13,44,7,46
FREE BIRDS,23,244,9.072292550745884,7365,6547,1666,227,879,882,118,0.2544676951275393,1289,78,19,1303,563.7390633333334,1628.13022,3.9361144840961995,1.2630955934833203,2,1,2,2,5,7,3,10,4,4,12,28,40,8,46
FREE AT LAST,23,251,8.38366495751899,7697,6762,1675,246,966,906,163,0.2477077787636794,1074,65,29,987,478.0470344444445,1363.1776,4.00598073556797,1.2692528864059591,4,8,5,7,1,2,4,2,3,3,25,14,39,9,46
WESTSIDE MARAUDERS,23,269,11.032077676702919,7554,6714,1721,262,962,940,151,0.2563300565981531,1276,79,54,1271,548.5249422222222,1556.234056,3.868906332288401,1.2196191661442006,8,7,8,6,7,8,7,8,8,9,36,40,76,1,47
LOUISVILLE SLUGGERS,23,211,10.687718507349036,7508,6763,1756,252,981,930,193,0.25964808516930354,1049,67,64,1091,439.2275255555556,1300.90426,3.768396310772164,1.2401375214489991,7,9,6,8,9,4,9,4,10,7,39,34,73,2,47
NATIONAL PASTIME,23,269,10.570483483968612,7720,6928,1768,262,943,939,135,0.25519630484988454,1055,67,103,1102,442.8806733333334,1280.73612,3.7781289668246454,1.2139678862559242,8,6,7,5,6,4,10,6,9,10,32,39,71,3,47
HOOSIERS,23,231,10.263719244530654,8012,7090,1771,268,1014,984,205,0.24978843441466855,1146,70,35,1061,508.75791111111107,1452.7783200000001,3.9954809773123903,1.2676948691099477,9,10,10,10,1,6,6,2,3,4,40,21,61,4,47
BIG RED MACHINE,23,209,9.864916028797978,7755,6873,1731,269,969,949,126,0.25185508511567,1176,71,57,1066,515.36163,1495.26284,3.9440941071428575,1.2714820068027213,10,8,9,3,3,7,8,3,5,3,33,26,59,5,47
BLUE SOCKS,23,255,10.158229564388545,7589,6830,1751,230,928,897,199,0.25636896046852126,1281,79,29,1239,555.5571055555556,1601.0399799999998,3.9032115144418427,1.2498360499609678,3,4,3,9,8,8,5,7,6,5,27,31,58,6,47
MELONHEADS,23,211,9.829722035886954,7300,6480,1620,247,915,894,177,0.25,1353,81,0,1307,596.4360311111111,1669.92685,3.9674237102734664,1.234240096082779,6,3,2,7,2,9,3,9,4,8,20,33,53,7,47
FREE BIRDS,23,259,9.306534652837044,7264,6443,1640,227,877,868,115,0.25453981064721404,1403,88,0,1394,607.305898888889,1752.87789,3.8957612900926595,1.2493783962936564,2,1,1,1,5,10,3,10,7,6,10,36,46,8,47
