team,n_sims,wins,top_3,avg_rank,avg_pts,avg_sgpar,avg_hit_pts,avg_pit_pts,min_pts,max_pts
WESTSIDE MARAUDERS,100,77,98,1.3,74.97,11.032991617718928,34.77,40.2,66,85
LOUISVILLE SLUGGERS,100,22,85,2.33,70.18,10.70295116741622,40.87,29.31,59,80
BLUE SOCKS,100,2,47,3.69,65.96,10.390384641997837,29.83,36.13,58,75
MELONHEADS,100,4,45,3.79,65.3,10.320899628118553,28.67,36.63,56,75
NATIONAL PASTIME,100,1,33,4.05,64.62,10.447447316176376,29.24,35.38,56,72
HOOSIERS,100,1,31,4.16,64.32,10.309287275645328,40.74,23.58,54,76
BIG RED MACHINE,100,0,0,6.39,53.2,9.743706486351726,25.57,27.63,46,62
FREE BIRDS,100,0,0,7.48,43.4,9.218544511896896,14.67,28.73,32,51
ERIE LAKERS,100,0,0,8.51,35.74,8.10771924918784,22.43,13.31,29,47
FREE AT LAST,100,0,0,9.08,30.92,8.158936824743629,17.07,13.85,21,43
