team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
NATIONAL PASTIME,23,190,10.317319913451342,7248,6513,1686,227,889,864,144,0.2588668816213726,1187,76,84,1199,494.6884022222222,1438.00587,3.750796647009267,1.211462401010952,1,1,1,4,9,8,10,7,10,9,16,44,60,5,15
BIG RED MACHINE,23,151,9.743475330883884,7510,6677,1687,262,941,936,124,0.2526583795117568,1251,74,27,1178,551.3991911111111,1565.0790899999997,3.96690065547562,1.2510624220623499,8,6,8,3,3,6,4,6,4,6,28,26,54,6,15
FREE BIRDS,23,188,9.333730986579878,7382,6535,1660,232,908,887,120,0.2540168324407039,1268,80,30,1276,564.2310555555555,1595.14956,4.004794558359621,1.2580043848580442,2,2,3,2,5,9,5,9,3,4,14,30,44,7,15
ERIE LAKERS,23,168,8.02002497039213,7454,6612,1703,247,935,913,118,0.2575620084694495,1152,65,8,1002,553.6113133333333,1525.32243,4.325088385416667,1.324064609375,5,5,5,1,8,3,2,2,1,1,24,9,33,8,15
FREE AT LAST,22,151,8.190998961929969,7557,6656,1646,239,923,882,152,0.24729567307692307,1141,65,27,966,526.2762111111111,1485.40845,4.151170815074496,1.3018478965819456,4,4,2,5,1,3,4,1,2,2,16,12,28,9,15
WESTSIDE MARAUDERS,23,213,11.061296163832818,7449,6669,1726,245,945,918,182,0.2588094167041535,1283,79,49,1306,550.4871522222221,1576.786742,3.861562252533125,1.2289842104442712,5,7,5,9,8,8,7,9,8,8,34,40,74,1,16
BLUE SOCKS,23,221,10.554424447216734,7803,7052,1825,226,951,924,174,0.25879183210436757,1199,74,56,1187,499.88004333333333,1453.65753,3.752227180984154,1.2123916013344453,1,8,6,8,7,5,9,6,10,9,30,39,69,2,16
LOUISVILLE SLUGGERS,23,165,10.768319387103775,7639,6867,1795,253,975,926,170,0.26139507790883937,1194,77,36,1209,524.4303766666667,1513.0038499999996,3.9529927889447243,1.2671724036850918,7,9,7,7,10,7,5,7,5,4,40,28,68,3,16
HOOSIERS,23,190,10.307591158094917,8103,7182,1805,268,1025,991,209,0.25132275132275134,1103,67,33,1029,474.2814366666667,1410.7626999999998,3.869930126926564,1.2790233000906617,9,10,10,10,3,4,4,3,7,3,42,21,63,4,16
NATIONAL PASTIME,23,190,10.497402256526923,7828,7057,1803,261,945,953,150,0.2554910018421426,1218,76,52,1151,535.1102611111112,1498.98037,3.95401670771757,1.230689958949097,8,7,9,4,5,6,8,5,4,7,33,30,63,4,16
