team,n,total_salary,sgpar,PA,AB,H,HR,R,RBI,SB,AVG,IP,W,SV,SO,ER,WH,ERA,WHIP,hr_pts,r_pts,rbi_pts,sb_pts,avg_pts,w_pts,sv_pts,so_pts,era_pts,whip_pts,hit_pts,pit_pts,total_pts,rank,sim_num
ERIE LAKERS,23,206,8.03847766345511,7349,6522,1699,247,927,911,110,0.2605029132168047,959,57,36,894,432.55328555555553,1230.0185900000001,4.0594156100104275,1.2826054118873829,7,5,5,1,10,1,7,1,2,2,28,13,41,7,44
FREE AT LAST,22,224,8.10991932955527,7123,6258,1537,233,890,852,153,0.24560562480025566,1164,68,21,1078,529.4965911111111,1490.7276200000001,4.094045807560137,1.2806938316151204,2,2,1,5,1,3,2,3,1,3,11,12,23,8,44
BLUE SOCKS,23,248,10.41214188241047,7890,7084,1813,237,966,919,186,0.25592885375494073,1033,67,100,1062,436.45019888888896,1266.88866,3.802567076476283,1.2264169022265248,4,8,6,8,7,5,10,3,10,10,33,38,71,1,45
WESTSIDE MARAUDERS,23,266,10.957872795357986,7442,6630,1713,252,948,924,147,0.2583710407239819,1368,86,32,1360,594.9960622222221,1678.892376,3.9144477777777773,1.22726050877193,7,7,7,6,8,9,6,9,4,8,35,36,71,1,45
LOUISVILLE SLUGGERS,23,221,10.828465731496456,7823,7060,1879,243,1014,939,194,0.2661473087818697,1004,64,66,1032,424.59519888888894,1259.8343699999998,3.806132260956176,1.2548151095617528,5,10,8,9,10,4,9,2,9,4,42,28,70,2,45
NATIONAL PASTIME,23,254,10.386937583331092,7730,6911,1749,276,948,970,129,0.2530748082766604,1137,73,63,1128,495.6579844444445,1405.43454,3.923414124890062,1.23609018469657,10,7,10,4,6,7,8,6,3,7,37,31,68,3,45
HOOSIERS,23,236,10.252867532536577,7804,6914,1737,248,986,940,225,0.25122938964420016,1181,70,25,1074,500.7754111111111,1469.37138,3.8162393734123623,1.2441755969517359,6,9,9,10,3,6,4,5,8,6,37,29,66,4,45
MELONHEADS,23,235,9.830834452620334,7048,6265,1577,257,887,895,157,0.25171588188347965,1293,79,27,1248,550.0480266666666,1586.2323200000003,3.828640556844547,1.226784470224285,8,3,3,7,4,8,5,8,7,9,25,37,62,5,45
BIG RED MACHINE,23,201,9.750203574860851,7434,6588,1633,264,929,916,115,0.2478749241044323,1213,73,59,1157,524.2487388888889,1531.35002,3.8897268342951357,1.262448491343776,9,6,5,1,1,7,7,7,6,3,22,30,52,6,45
FREE BIRDS,23,257,9.31032171881671,7326,6495,1643,224,874,871,127,0.252963818321786,1417,88,0,1395,615.3403011111112,1767.73214,3.908301136203247,1.2475173888496824,2,2,2,3,5,10,2,10,5,5,14,32,46,7,45
